# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:13:34+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.5_NoS/1bh_p0.5_nos/manybhfar_1bh_p0.5_nos_16x17x25.par"
#
# ADMCONSTRAINTS::MOMENTUM z (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	20 20 0	0	5 5 4.9375	6.50511353100504e-10 2.34435021254694e-10 2.16604990020686e-10
0	0	0 0 0	20 20 1	0	5 5 4.940625	6.50511353100504e-10 2.34435021254694e-10 2.16604990020686e-10
0	0	0 0 0	20 20 2	0	5 5 4.94375	-3.23173562563617e-16 2.57443805856683e-16 -5.85469173142172e-17
0	0	0 0 0	20 20 3	0	5 5 4.946875	-1.98476760200628e-16 -3.12575486327571e-16 2.48770188476799e-16
0	0	0 0 0	20 20 4	0	5 5 4.95	-1.85889850604429e-16 -4.24194099984954e-16 8.13151629364128e-18
0	0	0 0 0	20 20 5	0	5 5 4.953125	-1.22643594498845e-15 1.81929124543068e-16 -4.25332512266063e-16
0	0	0 0 0	20 20 6	0	5 5 4.95625	2.49590116369741e-16 2.41614454138395e-16 -1.94072188874905e-17
0	0	0 0 0	20 20 7	0	5 5 4.959375	-1.44238530082504e-15 -1.71087102818213e-16 -5.12719207368395e-16
0	0	0 0 0	20 20 8	0	5 5 4.9625	-6.32438844133318e-16 -5.00684563253806e-16 -3.12683906544819e-16
0	0	0 0 0	20 20 9	0	5 5 4.965625	-6.9407234950733e-16 2.33862408605123e-16 2.84060969191202e-17
0	0	0 0 0	20 20 10	0	5 5 4.96875	-6.41349630738433e-16 2.23345647532014e-16 1.09667049746909e-16
0	0	0 0 0	20 20 11	0	5 5 4.971875	-2.59713854155325e-16 2.41126563160776e-16 -2.2659825404947e-17
0	0	0 0 0	20 20 12	0	5 5 4.975	-3.38713229013944e-16 1.77321265310004e-16 -2.57389595748059e-16
0	0	0 0 0	20 20 13	0	5 5 4.978125	-6.50395942615109e-16 -6.57731247938331e-16 -1.36457685429026e-15
0	0	0 0 0	20 20 14	0	5 5 4.98125	-7.69300733684773e-16 1.04137618667233e-16 -2.78748378546023e-16
0	0	0 0 0	20 20 15	0	5 5 4.984375	-8.81673206665212e-16 8.19114741312799e-17 8.76035355368288e-16
0	0	0 0 0	20 20 16	0	5 5 4.9875	-8.47376842630886e-16 -7.50810004446212e-16 -1.07287225978303e-15
0	0	0 0 0	20 20 17	0	5 5 4.990625	-1.44192112676994e-16 3.53341488013026e-16 -1.80682292044709e-16
0	0	0 0 0	20 20 18	0	5 5 4.99375	-2.65762939948141e-16 -3.48245737802344e-16 5.71428755008485e-16
0	0	0 0 0	20 20 19	0	5 5 4.996875	-6.25716790663908e-16 2.86337793753422e-16 -4.6636956449464e-16
0	0	0 0 0	20 20 20	0	5 5 5	-1.13408108999058e-16 2.24700900247621e-16 2.24755110356245e-16
0	0	0 0 0	20 20 21	0	5 5 5.003125	4.05777909645751e-16 3.91396984267267e-16 5.27464356914198e-16
0	0	0 0 0	20 20 22	0	5 5 5.00625	-1.16015138170106e-16 -9.26179705845742e-16 -4.36933475511658e-17
0	0	0 0 0	20 20 23	0	5 5 5.009375	-1.27351403619684e-16 -4.74338450462408e-17 -1.83663848019044e-16
0	0	0 0 0	20 20 24	0	5 5 5.0125	3.731857759013e-16 -4.06684234899313e-16 2.8086257278237e-16
0	0	0 0 0	20 20 25	0	5 5 5.015625	-9.85071365569492e-16 4.60243822220097e-17 -1.23436417337475e-16
