# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:13:47+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.5_NoS/1bh_p0.5_nos/manybhfar_1bh_p0.5_nos_24x25x33.par"
#
# ADMCONSTRAINTS::MOMENTUM y (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	20 0 20	0	5 4.9375 5	6.50511134220414e-10 2.16605167341951e-10 2.34435487624259e-10
0	0	0 0 0	20 1 20	0	5 4.940625 5	6.50511134220414e-10 2.16605167341951e-10 2.34435487624259e-10
0	0	0 0 0	20 2 20	0	5 4.94375 5	-1.37880023154055e-16 3.28784308806229e-16 4.1476154108433e-16
0	0	0 0 0	20 3 20	0	5 4.946875 5	-3.9024840759079e-16 1.10534411484897e-16 -3.17074925343386e-16
0	0	0 0 0	20 4 20	0	5 4.95 5	3.47622321553165e-16 2.72080535185237e-16 -4.68212708187865e-16
0	0	0 0 0	20 5 20	0	5 4.953125 5	-1.21585142127956e-15 -5.41721615482382e-16 -7.72060367026928e-16
0	0	0 0 0	20 6 20	0	5 4.95625 5	2.091900329175e-16 1.95210601156015e-16 2.19930410688685e-16
0	0	0 0 0	20 7 20	0	5 4.959375 5	-2.01150334995341e-15 -8.32775688686116e-16 -3.33500588256541e-16
0	0	0 0 0	20 8 20	0	5 4.9625 5	2.9682406164043e-16 2.66876364757307e-16 -3.31820074889189e-16
0	0	0 0 0	20 9 20	0	5 4.965625 5	-1.04269755807004e-17 -2.37440275774325e-16 2.97613496347271e-16
0	0	0 0 0	20 10 20	0	5 4.96875 5	9.32718800198545e-17 7.39317461417865e-16 4.6257485689094e-16
0	0	0 0 0	20 11 20	0	5 4.971875 5	-2.83396895360555e-16 8.16675286424706e-16 3.18321757841744e-16
0	0	0 0 0	20 12 20	0	5 4.975 5	-1.36358243761018e-15 -1.02890786168874e-16 1.66696084019646e-16
0	0	0 0 0	20 13 20	0	5 4.978125 5	1.98798632720584e-16 -3.39355279987963e-16 3.15502832193282e-17
0	0	0 0 0	20 14 20	0	5 4.98125 5	-2.23230451051187e-16 -6.49653941753314e-16 -6.39679281766448e-16
0	0	0 0 0	20 15 20	0	5 4.984375 5	-8.30409925664435e-16 5.41016884070267e-16 -8.99887803162969e-17
0	0	0 0 0	20 16 20	0	5 4.9875 5	-1.99087894472072e-15 3.5453411040276e-17 -1.73147086945935e-16
0	0	0 0 0	20 17 20	0	5 4.990625 5	5.82250447942606e-18 -6.03846399965802e-16 1.35145800800318e-16
0	0	0 0 0	20 18 20	0	5 4.99375 5	-2.35676329661668e-16 4.51515994731588e-16 -1.52872506320456e-17
0	0	0 0 0	20 19 20	0	5 4.996875 5	-6.59526110753563e-16 -4.1958624075189e-16 3.90204361877533e-16
0	0	0 0 0	20 20 20	0	5 5 5	2.42994264930908e-16 1.37639465797035e-16 1.37747886014283e-16
0	0	0 0 0	20 21 20	0	5 5.003125 5	2.30960050211356e-16 7.90329173633308e-16 -2.85145171363688e-17
0	0	0 0 0	20 22 20	0	5 5.00625 5	-2.65686283466415e-16 -2.36518703927713e-16 -5.87258106726773e-16
0	0	0 0 0	20 23 20	0	5 5.009375 5	-7.66217533756768e-17 -1.72984456620062e-16 -5.0415401020576e-16
0	0	0 0 0	20 24 20	0	5 5.0125 5	4.57580750633929e-16 1.73634977923554e-16 -5.90998604221848e-16
0	0	0 0 0	20 25 20	0	5 5.015625 5	-3.15597699883374e-16 -2.60262731505145e-16 -4.01913745340376e-16
0	0	0 0 0	20 26 20	0	5 5.01875 5	-6.4856635144904e-16 -2.18195687212708e-16 4.94233560327517e-16
0	0	0 0 0	20 27 20	0	5 5.021875 5	-5.08194357364163e-16 8.60856524953491e-17 -4.3796346757552e-16
0	0	0 0 0	20 28 20	0	5 5.025 5	7.86758082727684e-17 5.59394110893896e-16 1.99276359302836e-16
0	0	0 0 0	20 29 20	0	5 5.028125 5	-1.75156418503412e-15 -2.33970828822372e-16 -1.80519661718836e-16
0	0	0 0 0	20 30 20	0	5 5.03125 5	-5.87005690908492e-16 6.17236296795998e-16 -4.22730427052098e-16
0	0	0 0 0	20 31 20	0	5 5.034375 5	1.53907580582001e-16 -7.28258599258513e-16 -2.09793120375945e-17
0	0	0 0 0	20 32 20	0	5 5.0375 5	-6.39679281766448e-18 1.88325917360732e-16 2.71646854316243e-16
0	0	0 0 0	20 33 20	0	5 5.040625 5	1.7781932068299e-16 5.86716005640531e-16 -8.14777932622857e-17
0	0	0 0 0	20 34 20	0	5 5.04375 5	-1.01428468488735e-15 -4.46040773760537e-16 -5.23398598767377e-16
0	0	0 0 0	20 35 20	0	5 5.046875 5	-2.87669329546505e-16 -6.94323071259717e-16 1.59919820441612e-16
0	0	0 0 0	20 36 20	0	5 5.05 5	2.02484920107035e-16 8.12934788929631e-16 -1.66045562716155e-16
0	0	0 0 0	20 37 20	0	5 5.053125 5	-5.10384784565762e-16 8.36787236724312e-16 3.99203239909163e-16
0	0	0 0 0	20 38 20	0	5 5.05625 5	-4.03492614754059e-16 6.04063240400299e-16 3.52474126275037e-16
0	0	0 0 0	20 39 20	0	5 5.059375 5	6.16808126008463e-10 2.19327359063121e-10 2.02723441766056e-10
0	0	0 0 0	20 40 20	0	5 5.0625 5	6.16808126008463e-10 2.19327359063121e-10 2.02723441766056e-10


