# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:15:11+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.5_NoS/1bh_p0.5_nos/manybhfar_1bh_p0.5_nos_40x41x49.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 0 20	0	5 4.9375 5	1.12523526444881e-09
0	0	0 0 0	20 1 20	0	5 4.940625 5	1.12523526444881e-09
0	0	0 0 0	20 2 20	0	5 4.94375 5	1.6670208448236e-10
0	0	0 0 0	20 3 20	0	5 4.946875 5	-1.46002357014237e-10
0	0	0 0 0	20 4 20	0	5 4.95 5	8.42014216218077e-10
0	0	0 0 0	20 5 20	0	5 4.953125 5	-3.71629085631989e-10
0	0	0 0 0	20 6 20	0	5 4.95625 5	3.18997825387874e-10
0	0	0 0 0	20 7 20	0	5 4.959375 5	-2.52469585710659e-10
0	0	0 0 0	20 8 20	0	5 4.9625 5	3.37383219777519e-10
0	0	0 0 0	20 9 20	0	5 4.965625 5	-1.13625656193023e-12
0	0	0 0 0	20 10 20	0	5 4.96875 5	1.08900434649768e-09
0	0	0 0 0	20 11 20	0	5 4.971875 5	-8.41562023870925e-10
0	0	0 0 0	20 12 20	0	5 4.975 5	2.71604660366086e-10
0	0	0 0 0	20 13 20	0	5 4.978125 5	-8.88132179561671e-11
0	0	0 0 0	20 14 20	0	5 4.98125 5	7.72545712352055e-10
0	0	0 0 0	20 15 20	0	5 4.984375 5	-4.53542014057853e-11
0	0	0 0 0	20 16 20	0	5 4.9875 5	8.61448980183331e-11
0	0	0 0 0	20 17 20	0	5 4.990625 5	-1.15731025267631e-10
0	0	0 0 0	20 18 20	0	5 4.99375 5	4.27114105151435e-10
0	0	0 0 0	20 19 20	0	5 4.996875 5	1.61406387333331e-10
0	0	0 0 0	20 20 20	0	5 5 5	3.67878489064728e-10
0	0	0 0 0	20 21 20	0	5 5.003125 5	-1.0231182104325e-10
0	0	0 0 0	20 22 20	0	5 5.00625 5	-2.38088162141277e-10
0	0	0 0 0	20 23 20	0	5 5.009375 5	4.32114561580571e-10
0	0	0 0 0	20 24 20	0	5 5.0125 5	1.60522202084443e-11
0	0	0 0 0	20 25 20	0	5 5.015625 5	-3.39804886512933e-10
0	0	0 0 0	20 26 20	0	5 5.01875 5	-9.74631584178777e-10
0	0	0 0 0	20 27 20	0	5 5.021875 5	7.45522817200035e-10
0	0	0 0 0	20 28 20	0	5 5.025 5	2.17098444527542e-11
0	0	0 0 0	20 29 20	0	5 5.028125 5	-4.44771607618997e-10
0	0	0 0 0	20 30 20	0	5 5.03125 5	3.58971230561902e-10
0	0	0 0 0	20 31 20	0	5 5.034375 5	-6.78368195221758e-10
0	0	0 0 0	20 32 20	0	5 5.0375 5	2.28173283977999e-10
0	0	0 0 0	20 33 20	0	5 5.040625 5	-3.71533440189468e-10
0	0	0 0 0	20 34 20	0	5 5.04375 5	5.64694945751759e-10
0	0	0 0 0	20 35 20	0	5 5.046875 5	5.90088293983201e-11
0	0	0 0 0	20 36 20	0	5 5.05 5	2.07189910627487e-10
0	0	0 0 0	20 37 20	0	5 5.053125 5	3.98953060989698e-10
0	0	0 0 0	20 38 20	0	5 5.05625 5	2.26735227218822e-10
0	0	0 0 0	20 39 20	0	5 5.059375 5	1.61018252352904e-09
0	0	0 0 0	20 40 20	0	5 5.0625 5	1.61018252352904e-09


