# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:11:52+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.5_NoS/1bh_p0.5_nos/manybhmid_1bh_p0.5_nos_24x25x33.par"
#
# ADMBASE::CURV x (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	0 4 4	0	-2 0 0	-0.0485719234550135 0 0 0.0242859617275068 0 0.0242859617275068
0	0	0 0 0	1 4 4	0	-1.996875 0 0	-0.0486267503631652 0 0 0.0243133751815826 0 0.0243133751815826
0	0	0 0 0	2 4 4	0	-1.99375 0 0	-0.0486816703159492 0 0 0.0243408351579746 0 0.0243408351579746
0	0	0 0 0	3 4 4	0	-1.990625 0 0	-0.0487366835243574 0 0 0.0243683417621787 0 0.0243683417621787
0	0	0 0 0	4 4 4	0	-1.9875 0 0	-0.048791790199981 0 0 0.0243958950999905 0 0.0243958950999905
0	0	0 0 0	5 4 4	0	-1.984375 0 0	-0.0488469905550125 0 0 0.0244234952775063 0 0.0244234952775063
0	0	0 0 0	6 4 4	0	-1.98125 0 0	-0.0489022848022481 0 0 0.024451142401124 0 0.024451142401124
0	0	0 0 0	7 4 4	0	-1.978125 0 0	-0.048957673155089 0 0 0.0244788365775445 0 0.0244788365775445
0	0	0 0 0	8 4 4	0	-1.975 0 0	-0.049013155827544 0 0 0.024506577913772 0 0.024506577913772
0	0	0 0 0	9 4 4	0	-1.971875 0 0	-0.0490687330342318 0 0 0.0245343665171159 0 0.0245343665171159
0	0	0 0 0	10 4 4	0	-1.96875 0 0	-0.0491244049903823 0 0 0.0245622024951911 0 0.0245622024951911
0	0	0 0 0	11 4 4	0	-1.965625 0 0	-0.0491801719118395 0 0 0.0245900859559197 0 0.0245900859559197
0	0	0 0 0	12 4 4	0	-1.9625 0 0	-0.0492360340150632 0 0 0.0246180170075316 0 0.0246180170075316
