# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:09:26+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.5_NoS/1bh_p0.5_nos/manybhnear_1bh_p0.5_nos_12x13x17.par"
#
# ADMCONSTRAINTS::MOMENTUM y (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	20 0 20	0	3 0.4375 0.5	3.40924858572428e-06 0 0
0	0	0 0 0	20 1 20	0	3 0.440625 0.5	3.40924858572428e-06 0 0
0	0	0 0 0	20 2 20	0	3 0.44375 0.5	5.60590063952704e-11 0 0
0	0	0 0 0	20 3 20	0	3 0.446875 0.5	5.44130903529227e-11 0 0
0	0	0 0 0	20 4 20	0	3 0.45 0.5	5.28730566273783e-11 0 0
0	0	0 0 0	20 5 20	0	3 0.453125 0.5	5.14339144191966e-11 0 0
0	0	0 0 0	20 6 20	0	3 0.45625 0.5	5.00789115037703e-11 0 0
0	0	0 0 0	20 7 20	0	3 0.459375 0.5	4.88086359523576e-11 0 0
0	0	0 0 0	20 8 20	0	3 0.4625 0.5	4.76219124898036e-11 0 0
0	0	0 0 0	20 9 20	0	3 0.465625 0.5	4.65133712795884e-11 0 0
0	0	0 0 0	20 10 20	0	3 0.46875 0.5	4.54711962527554e-11 0 0
0	0	0 0 0	20 11 20	0	3 0.471875 0.5	4.45114396729895e-11 0 0
0	0	0 0 0	20 12 20	0	3 0.475 0.5	4.36145919727182e-11 0 0
0	0	0 0 0	20 13 20	0	3 0.478125 0.5	4.27739718644737e-11 0 0
0	0	0 0 0	20 14 20	0	3 0.48125 0.5	4.19967771496388e-11 0 0
0	0	0 0 0	20 15 20	0	3 0.484375 0.5	4.12708370083059e-11 0 0
0	0	0 0 0	20 16 20	0	3 0.4875 0.5	4.05940116590675e-11 0 0
0	0	0 0 0	20 17 20	0	3 0.490625 0.5	3.99831647825144e-11 0 0
0	0	0 0 0	20 18 20	0	3 0.49375 0.5	3.94087128381682e-11 0 0
0	0	0 0 0	20 19 20	0	3 0.496875 0.5	3.88748767335065e-11 0 0
0	0	0 0 0	20 20 20	0	3 0.5 0.5	3.838663880613e-11 0 0
0	0	0 0 0	20 21 20	0	3 0.503125 0.5	3.79375104464855e-11 0 0
0	0	0 0 0	20 22 20	0	3 0.50625 0.5	3.75206421921598e-11 0 0
0	0	0 0 0	20 23 20	0	3 0.509375 0.5	3.71477226149969e-11 0 0
0	0	0 0 0	20 24 20	0	3 0.5125 0.5	3.67966017898735e-11 0 0
0	0	0 0 0	20 25 20	0	3 0.515625 0.5	3.64726027157758e-11 0 0
0	0	0 0 0	20 26 20	0	3 0.51875 0.5	3.61859713200741e-11 0 0
0	0	0 0 0	20 27 20	0	3 0.521875 0.5	3.59283583786785e-11 0 0
0	0	0 0 0	20 28 20	0	3 0.525 0.5	3.56817735081005e-11 0 0
0	0	0 0 0	20 29 20	0	3 0.528125 0.5	3.54605060592927e-11 0 0
0	0	0 0 0	20 30 20	0	3 0.53125 0.5	3.52574818299201e-11 0 0
0	0	0 0 0	20 31 20	0	3 0.534375 0.5	3.50843425492298e-11 0 0
0	0	0 0 0	20 32 20	0	3 0.5375 0.5	3.49239933847278e-11 0 0
0	0	0 0 0	20 33 20	0	3 0.540625 0.5	3.47675846446016e-11 0 0
0	0	0 0 0	20 34 20	0	3 0.54375 0.5	3.46449475011057e-11 0 0
0	0	0 0 0	20 35 20	0	3 0.546875 0.5	3.45228776121864e-11 0 0
0	0	0 0 0	20 36 20	0	3 0.55 0.5	3.44170074384476e-11 0 0
0	0	0 0 0	20 37 20	0	3 0.553125 0.5	3.43218162224268e-11 0 0
0	0	0 0 0	20 38 20	0	3 0.55625 0.5	3.42436287659176e-11 0 0
0	0	0 0 0	20 39 20	0	3 0.559375 0.5	2.66712184614736e-06 0 0
0	0	0 0 0	20 40 20	0	3 0.5625 0.5	2.66712184614736e-06 0 0


