# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:09:37+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.5_NoS/1bh_p0.5_nos/manybhnear_1bh_p0.5_nos_16x17x25.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	2.9375 0.5 0.5	1.63498427457861e-05
0	0	0 0 0	1 20 20	0	2.940625 0.5 0.5	1.63498427457861e-05
0	0	0 0 0	2 20 20	0	2.94375 0.5 0.5	-1.09042567423417e-09
0	0	0 0 0	3 20 20	0	2.946875 0.5 0.5	-1.13945981643215e-09
0	0	0 0 0	4 20 20	0	2.95 0.5 0.5	-1.10817651235995e-09
0	0	0 0 0	5 20 20	0	2.953125 0.5 0.5	-1.20241402772059e-09
0	0	0 0 0	6 20 20	0	2.95625 0.5 0.5	-1.06168231150949e-09
0	0	0 0 0	7 20 20	0	2.959375 0.5 0.5	-1.1679981296378e-09
0	0	0 0 0	8 20 20	0	2.9625 0.5 0.5	-1.265306026621e-09
0	0	0 0 0	9 20 20	0	2.965625 0.5 0.5	-1.17229544214364e-09
0	0	0 0 0	10 20 20	0	2.96875 0.5 0.5	-1.16173183659779e-09
0	0	0 0 0	11 20 20	0	2.971875 0.5 0.5	-1.25400286335453e-09
0	0	0 0 0	12 20 20	0	2.975 0.5 0.5	-1.31700913629657e-09
0	0	0 0 0	13 20 20	0	2.978125 0.5 0.5	-1.26480801266454e-09
0	0	0 0 0	14 20 20	0	2.98125 0.5 0.5	-1.22686594477422e-09
0	0	0 0 0	15 20 20	0	2.984375 0.5 0.5	-1.35853599290275e-09
0	0	0 0 0	16 20 20	0	2.9875 0.5 0.5	-1.3156639475792e-09
0	0	0 0 0	17 20 20	0	2.990625 0.5 0.5	-1.34427967802414e-09
0	0	0 0 0	18 20 20	0	2.99375 0.5 0.5	-1.33342433275563e-09
0	0	0 0 0	19 20 20	0	2.996875 0.5 0.5	-1.26018503965319e-09
0	0	0 0 0	20 20 20	0	3 0.5 0.5	-1.30557028903133e-09
0	0	0 0 0	21 20 20	0	3.003125 0.5 0.5	-1.26018503965319e-09
0	0	0 0 0	22 20 20	0	3.00625 0.5 0.5	-1.33342433275563e-09
0	0	0 0 0	23 20 20	0	3.009375 0.5 0.5	-1.34427967802414e-09
0	0	0 0 0	24 20 20	0	3.0125 0.5 0.5	-1.3156639475792e-09
0	0	0 0 0	25 20 20	0	3.015625 0.5 0.5	-1.35853599290275e-09
0	0	0 0 0	26 20 20	0	3.01875 0.5 0.5	-1.22686594477422e-09
0	0	0 0 0	27 20 20	0	3.021875 0.5 0.5	-1.26480801266454e-09
0	0	0 0 0	28 20 20	0	3.025 0.5 0.5	-1.31700913629657e-09
0	0	0 0 0	29 20 20	0	3.028125 0.5 0.5	-1.25400286335453e-09
0	0	0 0 0	30 20 20	0	3.03125 0.5 0.5	-1.16173183659779e-09
0	0	0 0 0	31 20 20	0	3.034375 0.5 0.5	-1.17229544214364e-09
0	0	0 0 0	32 20 20	0	3.0375 0.5 0.5	-1.265306026621e-09
0	0	0 0 0	33 20 20	0	3.040625 0.5 0.5	-1.1679981296378e-09
0	0	0 0 0	34 20 20	0	3.04375 0.5 0.5	-1.06168231150949e-09
0	0	0 0 0	35 20 20	0	3.046875 0.5 0.5	-1.20241402772059e-09
0	0	0 0 0	36 20 20	0	3.05 0.5 0.5	-1.10817651235995e-09
0	0	0 0 0	37 20 20	0	3.053125 0.5 0.5	-1.13945981643215e-09
0	0	0 0 0	38 20 20	0	3.05625 0.5 0.5	-1.09042567423417e-09
0	0	0 0 0	39 20 20	0	3.059375 0.5 0.5	1.63498427457861e-05
0	0	0 0 0	40 20 20	0	3.0625 0.5 0.5	1.63498427457861e-05


