# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:09:52+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.5_NoS/1bh_p0.5_nos/manybhnear_1bh_p0.5_nos_24x25x33.par"
#
# ADMCONSTRAINTS::MOMENTUM x (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	0 20 20	0	2.9375 0.5 0.5	3.1081698434519e-06 -1.88673243150389e-07 -1.88673243149522e-07
0	0	0 0 0	1 20 20	0	2.940625 0.5 0.5	3.1081698434519e-06 -1.88673243150389e-07 -1.88673243149522e-07
0	0	0 0 0	2 20 20	0	2.94375 0.5 0.5	1.00651590007592e-11 5.20468806941565e-11 5.20468815615183e-11
0	0	0 0 0	3 20 20	0	2.946875 0.5 0.5	1.29730280660435e-11 4.98407964205638e-11 4.98407964205638e-11
0	0	0 0 0	4 20 20	0	2.95 0.5 0.5	1.57368951628854e-11 4.75090982179904e-11 4.7508987195688e-11
0	0	0 0 0	5 20 20	0	2.953125 0.5 0.5	1.83609145371653e-11 4.50836711712865e-11 4.50836703039248e-11
0	0	0 0 0	6 20 20	0	2.95625 0.5 0.5	2.08571367623845e-11 4.25588774291552e-11 4.25588774291552e-11
0	0	0 0 0	7 20 20	0	2.959375 0.5 0.5	2.31888739377742e-11 3.99313642047983e-11 3.99313633374365e-11
0	0	0 0 0	8 20 20	0	2.9625 0.5 0.5	2.5391292616164e-11 3.72204138170129e-11 3.72204142506938e-11
0	0	0 0 0	9 20 20	0	2.965625 0.5 0.5	2.74170814945413e-11 3.44176527555806e-11 3.44176518882189e-11
0	0	0 0 0	10 20 20	0	2.96875 0.5 0.5	2.92747671099521e-11 3.15399694209018e-11 3.15399698545826e-11
0	0	0 0 0	11 20 20	0	2.971875 0.5 0.5	3.09806184060919e-11 2.85891167510488e-11 2.85891167510488e-11
0	0	0 0 0	12 20 20	0	2.975 0.5 0.5	3.25236653287153e-11 2.55755065563246e-11 2.55755069900054e-11
0	0	0 0 0	13 20 20	0	2.978125 0.5 0.5	3.3880862179848e-11 2.25084837920941e-11 2.25084833584133e-11
0	0	0 0 0	14 20 20	0	2.98125 0.5 0.5	3.50788255009741e-11 1.93875575316138e-11 1.93875575316138e-11
0	0	0 0 0	15 20 20	0	2.984375 0.5 0.5	3.60778112402226e-11 1.62229615591897e-11 1.62229615591897e-11
0	0	0 0 0	16 20 20	0	2.9875 0.5 0.5	3.69241196639808e-11 1.30263174379086e-11 1.30263174379086e-11
0	0	0 0 0	17 20 20	0	2.990625 0.5 0.5	3.75554572612313e-11 9.79543627200458e-12 9.79543648884501e-12
0	0	0 0 0	18 20 20	0	2.99375 0.5 0.5	3.80241241457685e-11 6.53852460456156e-12 6.53851582252396e-12
0	0	0 0 0	19 20 20	0	2.996875 0.5 0.5	3.82969595429616e-11 3.27190585822784e-12 3.27190585822784e-12
0	0	0 0 0	20 20 20	0	3 0.5 0.5	3.83831234839333e-11 0 0
0	0	0 0 0	21 20 20	0	3.003125 0.5 0.5	3.82969595429616e-11 -3.27190585822784e-12 -3.27190585822784e-12
0	0	0 0 0	22 20 20	0	3.00625 0.5 0.5	3.80241241457685e-11 -6.53852460456156e-12 -6.53851582252396e-12
0	0	0 0 0	23 20 20	0	3.009375 0.5 0.5	3.75554572612313e-11 -9.79543627200458e-12 -9.79543648884501e-12
0	0	0 0 0	24 20 20	0	3.0125 0.5 0.5	3.69241196639808e-11 -1.30263174379086e-11 -1.30263174379086e-11
0	0	0 0 0	25 20 20	0	3.015625 0.5 0.5	3.60778112402226e-11 -1.62229615591897e-11 -1.62229615591897e-11
0	0	0 0 0	26 20 20	0	3.01875 0.5 0.5	3.50788255009741e-11 -1.93875575316138e-11 -1.93875575316138e-11
0	0	0 0 0	27 20 20	0	3.021875 0.5 0.5	3.3880862179848e-11 -2.25084837920941e-11 -2.25084833584133e-11
0	0	0 0 0	28 20 20	0	3.025 0.5 0.5	3.25236653287153e-11 -2.55755065563246e-11 -2.55755069900054e-11
