# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:11:16+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.5_NoS/1bh_p0.5_nos/manybhnear_1bh_p0.5_nos_40x41x49.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 0 20	0	3 0.4375 0.5	1.83286783845939e-05
0	0	0 0 0	20 1 20	0	3 0.440625 0.5	1.83286783845939e-05
0	0	0 0 0	20 2 20	0	3 0.44375 0.5	-1.72203202392085e-09
0	0	0 0 0	20 3 20	0	3 0.446875 0.5	-1.60562944797465e-09
0	0	0 0 0	20 4 20	0	3 0.45 0.5	-1.71006503315446e-09
0	0	0 0 0	20 5 20	0	3 0.453125 0.5	-1.53655028371086e-09
0	0	0 0 0	20 6 20	0	3 0.45625 0.5	-1.63759985606637e-09
0	0	0 0 0	20 7 20	0	3 0.459375 0.5	-1.58906547902821e-09
0	0	0 0 0	20 8 20	0	3 0.4625 0.5	-1.48584906965038e-09
0	0	0 0 0	20 9 20	0	3 0.465625 0.5	-1.5078010558861e-09
0	0	0 0 0	20 10 20	0	3 0.46875 0.5	-1.54608305585197e-09
0	0	0 0 0	20 11 20	0	3 0.471875 0.5	-1.42761839242583e-09
0	0	0 0 0	20 12 20	0	3 0.475 0.5	-1.46300150292988e-09
0	0	0 0 0	20 13 20	0	3 0.478125 0.5	-1.51623238704018e-09
0	0	0 0 0	20 14 20	0	3 0.48125 0.5	-1.41173848045711e-09
0	0	0 0 0	20 15 20	0	3 0.484375 0.5	-1.35192669732664e-09
0	0	0 0 0	20 16 20	0	3 0.4875 0.5	-1.44610527892663e-09
0	0	0 0 0	20 17 20	0	3 0.490625 0.5	-1.3478110112361e-09
0	0	0 0 0	20 18 20	0	3 0.49375 0.5	-1.31742253998285e-09
0	0	0 0 0	20 19 20	0	3 0.496875 0.5	-1.34068288415445e-09
0	0	0 0 0	20 20 20	0	3 0.5 0.5	-1.37566613048895e-09
0	0	0 0 0	20 21 20	0	3 0.503125 0.5	-1.28253665413608e-09
0	0	0 0 0	20 22 20	0	3 0.50625 0.5	-1.29685859273643e-09
0	0	0 0 0	20 23 20	0	3 0.509375 0.5	-1.20270167262848e-09
0	0	0 0 0	20 24 20	0	3 0.5125 0.5	-1.2628178971269e-09
0	0	0 0 0	20 25 20	0	3 0.515625 0.5	-1.19392332999235e-09
0	0	0 0 0	20 26 20	0	3 0.51875 0.5	-1.24927889647714e-09
0	0	0 0 0	20 27 20	0	3 0.521875 0.5	-1.2441029196425e-09
0	0	0 0 0	20 28 20	0	3 0.525 0.5	-1.1247070740017e-09
0	0	0 0 0	20 29 20	0	3 0.528125 0.5	-1.17880146963123e-09
0	0	0 0 0	20 30 20	0	3 0.53125 0.5	-1.04942582575263e-09
0	0	0 0 0	20 31 20	0	3 0.534375 0.5	-1.22573189532266e-09
0	0	0 0 0	20 32 20	0	3 0.5375 0.5	-1.07497078946639e-09
0	0	0 0 0	20 33 20	0	3 0.540625 0.5	-1.04565877311058e-09
0	0	0 0 0	20 34 20	0	3 0.54375 0.5	-1.10116131490923e-09
0	0	0 0 0	20 35 20	0	3 0.546875 0.5	-1.03789530095377e-09
0	0	0 0 0	20 36 20	0	3 0.55 0.5	-1.14449490769969e-09
0	0	0 0 0	20 37 20	0	3 0.553125 0.5	-1.06497562765012e-09
0	0	0 0 0	20 38 20	0	3 0.55625 0.5	-1.01017933080982e-09
0	0	0 0 0	20 39 20	0	3 0.559375 0.5	1.21736622728614e-05
0	0	0 0 0	20 40 20	0	3 0.5625 0.5	1.21736622728614e-05


