# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 06:37:54+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.5_NoS/1bh_p0.5_nos/twopunfar_1bh_p0.5_nos_20.par"
#
# ADMCONSTRAINTS::MOMENTUM y (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	20 0 20	0	5 4.9375 5	4.97272005812858e-10 1.64920134786053e-10 1.78702860831586e-10
0	0	0 0 0	20 1 20	0	5 4.940625 5	4.97272005812858e-10 1.64920134786053e-10 1.78702860831586e-10
0	0	0 0 0	20 2 20	0	5 4.94375 5	-8.91854542691209e-16 -2.3787395664332e-16 4.96564594998361e-17
0	0	0 0 0	20 3 20	0	5 4.946875 5	1.02226712338227e-16 -2.42861286636753e-16 -3.00757682647479e-16
0	0	0 0 0	20 4 20	0	5 4.95 5	-5.6958561131526e-16 -1.83175957041426e-16 3.40981583246691e-16
0	0	0 0 0	20 5 20	0	5 4.953125 5	-8.95689907876376e-16 6.88468379528295e-17 9.37292778113719e-17
0	0	0 0 0	20 6 20	0	5 4.95625 5	3.03197137535571e-16 1.80302821284339e-16 3.85704922861718e-16
0	0	0 0 0	20 7 20	0	5 4.959375 5	-9.70228807234755e-16 -3.70526092446921e-16 -3.50414142147315e-16
0	0	0 0 0	20 8 20	0	5 4.9625 5	-1.9376217481621e-16 7.69783542464708e-18 3.33934269125535e-17
0	0	0 0 0	20 9 20	0	5 4.965625 5	-4.00829543167891e-16 1.96782694306119e-17 1.75261281182282e-16
0	0	0 0 0	20 10 20	0	5 4.96875 5	-4.62947551387732e-16 1.90385901488455e-16 -2.92192485484843e-16
0	0	0 0 0	20 11 20	0	5 4.971875 5	-1.31871171426233e-16 -1.10425991267649e-16 7.82793968534534e-17
0	0	0 0 0	20 12 20	0	5 4.975 5	-2.22923825124281e-16 -4.08202117940792e-17 4.54551760814548e-16
0	0	0 0 0	20 13 20	0	5 4.978125 5	-6.25239064081656e-16 -3.65321922018991e-16 -2.31260323391158e-16
0	0	0 0 0	20 14 20	0	5 4.98125 5	1.14647603476764e-16 -4.08256328049417e-16 -1.50107790780618e-16
0	0	0 0 0	20 15 20	0	5 4.984375 5	-8.11483821490985e-16 3.61744054849789e-16 -1.98408997564847e-16
0	0	0 0 0	20 16 20	0	5 4.9875 5	-3.48067860883421e-16 3.23580138378299e-16 3.28567468371732e-16
0	0	0 0 0	20 17 20	0	5 4.990625 5	4.13939072092546e-16 -2.33211887301632e-16 -1.32597925694977e-16
0	0	0 0 0	20 18 20	0	5 4.99375 5	-4.58563308852744e-16 -9.16150835750251e-18 7.77372957672107e-17
0	0	0 0 0	20 19 20	0	5 4.996875 5	2.58994934941342e-16 -6.33174068731535e-17 6.35884574162748e-17
0	0	0 0 0	20 20 20	0	5 5 5	5.1748997188718e-16 -3.59467230287569e-16 -3.59413020178945e-16
0	0	0 0 0	20 21 20	0	5 5.003125 5	-3.16787145899556e-16 1.43765208071578e-16 -9.43255890062389e-18
0	0	0 0 0	20 22 20	0	5 5.00625 5	-4.52754356900474e-16 -3.3957212042246e-16 -9.02273047942437e-16
0	0	0 0 0	20 23 20	0	5 5.009375 5	-1.01119216759692e-16 -1.34061598627833e-16 3.2309224740068e-17
0	0	0 0 0	20 24 20	0	5 5.0125 5	1.22746085485462e-16 6.11869496042194e-16 -5.05238212378245e-17
0	0	0 0 0	20 25 20	0	5 5.015625 5	-5.40256248483632e-16 4.86806775445991e-16 -5.74627151417317e-17
0	0	0 0 0	20 26 20	0	5 5.01875 5	-1.14782281715377e-16 1.04517089427603e-16 1.08637057683048e-16
0	0	0 0 0	20 27 20	0	5 5.021875 5	-6.87107197582058e-16 -7.47503187820131e-16 -4.04678460880215e-16
0	0	0 0 0	20 28 20	0	5 5.025 5	-3.80842953744479e-17 -2.97179815478277e-16 1.69894480428479e-16
0	0	0 0 0	20 29 20	0	5 5.028125 5	-4.19315190208769e-16 -7.49237911296108e-16 -7.60730454324454e-16
0	0	0 0 0	20 30 20	0	5 5.03125 5	-4.87343794334551e-16 1.87675396057241e-16 -2.06540513858489e-16
0	0	0 0 0	20 31 20	0	5 5.034375 5	1.52245701939488e-16 -2.99727690583618e-16 7.0906822080552e-17
0	0	0 0 0	20 32 20	0	5 5.0375 5	-1.96765753647174e-16 8.115253261054e-17 8.60856524953491e-17
0	0	0 0 0	20 33 20	0	5 5.040625 5	-8.24764451070985e-16 4.66965875689507e-16 -3.6049722235143e-17
0	0	0 0 0	20 34 20	0	5 5.04375 5	-1.34435309564161e-15 1.99059518868339e-16 1.16009632455949e-16
0	0	0 0 0	20 35 20	0	5 5.046875 5	5.16869668809941e-16 1.5634195327241e-16 4.19044139665647e-17
0	0	0 0 0	20 36 20	0	5 5.05 5	-6.5201208147847e-17 4.78458418717853e-16 -2.12286785372662e-16
0	0	0 0 0	20 37 20	0	5 5.053125 5	1.89833636006845e-16 1.95156391047391e-17 -6.63531729561129e-17
0	0	0 0 0	20 38 20	0	5 5.05625 5	-7.24589252531008e-16 1.41271543074861e-16 8.88503680351871e-17
0	0	0 0 0	20 39 20	0	5 5.059375 5	4.72016259838749e-10 1.67276022894347e-10 1.54431003521107e-10
