# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 06:41:48+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.5_NoS/1bh_p0.5_nos/twopunfar_1bh_p0.5_nos_30.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	4.9375 5 5	1.56248117065159e-09
0	0	0 0 0	1 20 20	0	4.940625 5 5	1.56248117065159e-09
0	0	0 0 0	2 20 20	0	4.94375 5 5	1.08515657953044e-10
0	0	0 0 0	3 20 20	0	4.946875 5 5	7.80911855145783e-10
0	0	0 0 0	4 20 20	0	4.95 5 5	-3.53141706076698e-10
0	0	0 0 0	5 20 20	0	4.953125 5 5	8.51942888644938e-10
0	0	0 0 0	6 20 20	0	4.95625 5 5	1.56681674741681e-10
0	0	0 0 0	7 20 20	0	4.959375 5 5	-4.86924276168143e-10
0	0	0 0 0	8 20 20	0	4.9625 5 5	-5.40399554098403e-10
0	0	0 0 0	9 20 20	0	4.965625 5 5	-5.02401259700261e-11
0	0	0 0 0	10 20 20	0	4.96875 5 5	4.48968659396299e-10
0	0	0 0 0	11 20 20	0	4.971875 5 5	7.64097799694553e-10
0	0	0 0 0	12 20 20	0	4.975 5 5	2.13757897558724e-10
0	0	0 0 0	13 20 20	0	4.978125 5 5	-3.21824249771585e-10
0	0	0 0 0	14 20 20	0	4.98125 5 5	1.35560804606378e-10
0	0	0 0 0	15 20 20	0	4.984375 5 5	7.48921890757377e-11
0	0	0 0 0	16 20 20	0	4.9875 5 5	3.49910546094652e-11
0	0	0 0 0	17 20 20	0	4.990625 5 5	7.01447544254781e-10
0	0	0 0 0	18 20 20	0	4.99375 5 5	-7.56114047566724e-10
0	0	0 0 0	19 20 20	0	4.996875 5 5	-6.73179093022068e-10
0	0	0 0 0	20 20 20	0	5 5 5	7.08643595301491e-10
0	0	0 0 0	21 20 20	0	5.003125 5 5	-2.23783226798997e-10
0	0	0 0 0	22 20 20	0	5.00625 5 5	2.44360077203236e-10
0	0	0 0 0	23 20 20	0	5.009375 5 5	1.11849812547168e-10
0	0	0 0 0	24 20 20	0	5.0125 5 5	3.09151178506765e-10
0	0	0 0 0	25 20 20	0	5.015625 5 5	-3.83858318883049e-10
0	0	0 0 0	26 20 20	0	5.01875 5 5	-5.87418100408488e-11
0	0	0 0 0	27 20 20	0	5.021875 5 5	-1.31205832467176e-10
0	0	0 0 0	28 20 20	0	5.025 5 5	1.83034856531244e-10
0	0	0 0 0	29 20 20	0	5.028125 5 5	8.37218659444127e-10
0	0	0 0 0	30 20 20	0	5.03125 5 5	-8.0808196191353e-10
0	0	0 0 0	31 20 20	0	5.034375 5 5	4.3401387251642e-10
0	0	0 0 0	32 20 20	0	5.0375 5 5	5.05482418549914e-10
0	0	0 0 0	33 20 20	0	5.040625 5 5	-4.94395411586366e-10
0	0	0 0 0	34 20 20	0	5.04375 5 5	9.59899880908317e-10
0	0	0 0 0	35 20 20	0	5.046875 5 5	-3.17347711545107e-10
0	0	0 0 0	36 20 20	0	5.05 5 5	-6.04675683520605e-10
0	0	0 0 0	37 20 20	0	5.053125 5 5	3.94098175222749e-10
0	0	0 0 0	38 20 20	0	5.05625 5 5	2.32986972854214e-10
0	0	0 0 0	39 20 20	0	5.059375 5 5	2.55003842943979e-09
0	0	0 0 0	40 20 20	0	5.0625 5 5	2.55003842943979e-09


