# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 06:56:17+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.5_NoS/1bh_p0.5_nos/twopunfar_1bh_p0.5_nos_40.par"
#
# ADMCONSTRAINTS::MOMENTUM x (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	0 20 20	0	4.9375 5 5	4.8539153439362e-10 1.60531800634696e-10 1.60531800526276e-10
0	0	0 0 0	1 20 20	0	4.940625 5 5	4.8539153439362e-10 1.60531800634696e-10 1.60531800526276e-10
0	0	0 0 0	2 20 20	0	4.94375 5 5	-4.73437944202531e-16 3.45481022262506e-16 3.4553523237113e-16
0	0	0 0 0	3 20 20	0	4.946875 5 5	-5.94379529105424e-16 -4.63604848954802e-16 -4.34277180189069e-16
0	0	0 0 0	4 20 20	0	4.95 5 5	-9.4590014460184e-16 -9.95839695427936e-17 -1.6192559446071e-16
0	0	0 0 0	5 20 20	0	4.953125 5 5	-9.48093353682553e-16 6.39950332309569e-16 6.10622663543836e-16
0	0	0 0 0	6 20 20	0	4.95625 5 5	-1.51253879412799e-15 -1.24086938640966e-16 -1.1666015375944e-16
0	0	0 0 0	7 20 20	0	4.959375 5 5	7.23316032768198e-16 2.50450701844152e-17 2.50450701844152e-17
0	0	0 0 0	8 20 20	0	4.9625 5 5	4.33261754326493e-16 1.701655309716e-16 1.73906028466675e-16
0	0	0 0 0	9 20 20	0	4.965625 5 5	-3.84054259717431e-16 -2.60750622482764e-16 -2.60750622482764e-16
0	0	0 0 0	10 20 20	0	4.96875 5 5	-6.94850370526424e-16 1.61329283265843e-16 1.17310675062932e-16
0	0	0 0 0	11 20 20	0	4.971875 5 5	5.78254762123615e-16 -8.01767506553031e-17 -7.65446733774766e-17
0	0	0 0 0	12 20 20	0	4.975 5 5	-2.63698217918577e-16 -3.81856005149395e-16 -3.81747584932146e-16
0	0	0 0 0	13 20 20	0	4.978125 5 5	-7.1610402736947e-16 4.33572448776953e-16 3.89499630465417e-16
0	0	0 0 0	14 20 20	0	4.98125 5 5	-1.65503768980671e-16 9.7307144980574e-17 4.22296746183104e-17
0	0	0 0 0	15 20 20	0	4.984375 5 5	2.50886120704951e-16 -5.05617683138615e-16 -5.01931395752164e-16
0	0	0 0 0	16 20 20	0	4.9875 5 5	1.0319549816225e-17 -1.79435459546351e-17 -1.79435459546351e-17
0	0	0 0 0	17 20 20	0	4.990625 5 5	-5.22066044013902e-16 2.05510521794627e-16 1.94505869743899e-16
0	0	0 0 0	18 20 20	0	4.99375 5 5	-9.04042986527296e-16 6.72747448027256e-17 3.79470760369927e-17
0	0	0 0 0	19 20 20	0	4.996875 5 5	-1.31256243669522e-15 1.46367293285543e-16 9.49219002011059e-17
0	0	0 0 0	20 20 20	0	5 5 5	6.58148142911281e-16 -2.17490955800592e-16 -2.17545165909216e-16
0	0	0 0 0	21 20 20	0	5.003125 5 5	-2.06665558005236e-16 -3.8218126580114e-16 -3.85813343078967e-16
0	0	0 0 0	22 20 20	0	5.00625 5 5	-9.84186723813486e-17 4.72170046117437e-17 4.71627945031194e-17
0	0	0 0 0	23 20 20	0	5.009375 5 5	-7.19811542336289e-16 3.77790247002574e-16 3.77790247002574e-16
0	0	0 0 0	24 20 20	0	5.0125 5 5	-4.22980914757098e-16 -1.82145964977565e-17 -9.89876583479266e-17
0	0	0 0 0	25 20 20	0	5.015625 5 5	4.86408601095446e-16 -2.78639958328775e-16 -2.82272035606601e-16
0	0	0 0 0	26 20 20	0	5.01875 5 5	8.96328770884651e-16 -7.07441917546792e-17 -1.03812358015487e-16
0	0	0 0 0	27 20 20	0	5.021875 5 5	9.25992328533075e-17 -3.36048463361882e-16 -1.23111156685729e-16
0	0	0 0 0	28 20 20	0	5.025 5 5	4.25020761441513e-16 5.26000683981342e-16 5.26000683981342e-16
0	0	0 0 0	29 20 20	0	5.028125 5 5	-5.98222103790103e-16 -1.83284377258675e-16 -1.83284377258675e-16
0	0	0 0 0	30 20 20	0	5.03125 5 5	-7.65042372981949e-16 3.04660810468427e-17 3.04660810468427e-17
0	0	0 0 0	31 20 20	0	5.034375 5 5	-6.10834910486769e-16 4.17472046515543e-16 4.17472046515543e-16
0	0	0 0 0	32 20 20	0	5.0375 5 5	-4.36910231833131e-16 -7.03647209943092e-17 -7.03647209943092e-17
0	0	0 0 0	33 20 20	0	5.040625 5 5	-4.59805531850635e-16 -3.02329775797583e-16 -3.61039323437673e-16
0	0	0 0 0	34 20 20	0	5.04375 5 5	-7.53673783975521e-16 3.03034507209698e-16 3.06720794596149e-16
0	0	0 0 0	35 20 20	0	5.046875 5 5	-3.27541298239733e-16 -4.18122567819035e-16 -4.18122567819035e-16
0	0	0 0 0	36 20 20	0	5.05 5 5	-1.11805436808399e-16 -4.04678460880215e-16 -4.04678460880215e-16
0	0	0 0 0	37 20 20	0	5.053125 5 5	-1.07321064605324e-15 5.82921298036831e-16 6.12357387019813e-16
0	0	0 0 0	38 20 20	0	5.05625 5 5	-4.01671214006981e-17 4.28747749109393e-16 5.72133486420601e-16
0	0	0 0 0	39 20 20	0	5.059375 5 5	4.84138083379885e-10 1.72001311251561e-10 1.72001311251561e-10
0	0	0 0 0	40 20 20	0	5.0625 5 5	4.84138083379885e-10 1.72001311251561e-10 1.72001311251561e-10


