# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 06:10:35+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.5_NoS/1bh_p0.5_nos/twopunmid_1bh_p0.5_nos_20.par"
#
# ADMBASE::METRIC x (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	0 4 4	0	-2 0 0	6.67188284899732 0 0 6.67188284899732 0 6.67188284899732
0	0	0 0 0	1 4 4	0	-1.996875 0 0	6.64714652353688 0 0 6.64714652353688 0 6.64714652353688
0	0	0 0 0	2 4 4	0	-1.99375 0 0	6.62264015684295 0 0 6.62264015684295 0 6.62264015684295
0	0	0 0 0	3 4 4	0	-1.990625 0 0	6.59836080551601 0 0 6.59836080551601 0 6.59836080551601
0	0	0 0 0	4 4 4	0	-1.9875 0 0	6.57430557439393 0 0 6.57430557439393 0 6.57430557439393
0	0	0 0 0	5 4 4	0	-1.984375 0 0	6.55047161559744 0 0 6.55047161559744 0 6.55047161559744
0	0	0 0 0	6 4 4	0	-1.98125 0 0	6.52685612759757 0 0 6.52685612759757 0 6.52685612759757
0	0	0 0 0	7 4 4	0	-1.978125 0 0	6.50345635430462 0 0 6.50345635430462 0 6.50345635430462
0	0	0 0 0	8 4 4	0	-1.975 0 0	6.48026958417801 0 0 6.48026958417801 0 6.48026958417801
0	0	0 0 0	9 4 4	0	-1.971875 0 0	6.45729314935651 0 0 6.45729314935651 0 6.45729314935651
0	0	0 0 0	10 4 4	0	-1.96875 0 0	6.43452442480832 0 0 6.43452442480832 0 6.43452442480832
0	0	0 0 0	11 4 4	0	-1.965625 0 0	6.41196082750048 0 0 6.41196082750048 0 6.41196082750048
0	0	0 0 0	12 4 4	0	-1.9625 0 0	6.38959981558703 0 0 6.38959981558703 0 6.38959981558703
0	0	0 0 0	13 4 4	0	-1.959375 0 0	6.36743888761563 0 0 6.36743888761563 0 6.36743888761563
0	0	0 0 0	14 4 4	0	-1.95625 0 0	6.34547558175188 0 0 6.34547558175188 0 6.34547558175188
0	0	0 0 0	15 4 4	0	-1.953125 0 0	6.32370747502118 0 0 6.32370747502118 0 6.32370747502118
0	0	0 0 0	16 4 4	0	-1.95 0 0	6.30213218256746 0 0 6.30213218256746 0 6.30213218256746
0	0	0 0 0	17 4 4	0	-1.946875 0 0	6.2807473569285 0 0 6.2807473569285 0 6.2807473569285
0	0	0 0 0	18 4 4	0	-1.94375 0 0	6.2595506873273 0 0 6.2595506873273 0 6.2595506873273
0	0	0 0 0	19 4 4	0	-1.940625 0 0	6.23853989897915 0 0 6.23853989897915 0 6.23853989897915
0	0	0 0 0	20 4 4	0	-1.9375 0 0	6.21771275241402 0 0 6.21771275241402 0 6.21771275241402
0	0	0 0 0	21 4 4	0	-1.934375 0 0	6.19706704281388 0 0 6.19706704281388 0 6.19706704281388
0	0	0 0 0	22 4 4	0	-1.93125 0 0	6.17660059936449 0 0 6.17660059936449 0 6.17660059936449
0	0	0 0 0	23 4 4	0	-1.928125 0 0	6.15631128462145 0 0 6.15631128462145 0 6.15631128462145
0	0	0 0 0	24 4 4	0	-1.925 0 0	6.13619699388999 0 0 6.13619699388999 0 6.13619699388999
0	0	0 0 0	25 4 4	0	-1.921875 0 0	6.11625565461829 0 0 6.11625565461829 0 6.11625565461829
0	0	0 0 0	26 4 4	0	-1.91875 0 0	6.0964852258039 0 0 6.0964852258039 0 6.0964852258039
0	0	0 0 0	27 4 4	0	-1.915625 0 0	6.07688369741309 0 0 6.07688369741309 0 6.07688369741309
0	0	0 0 0	28 4 4	0	-1.9125 0 0	6.05744908981249 0 0 6.05744908981249 0 6.05744908981249
0	0	0 0 0	29 4 4	0	-1.909375 0 0	6.03817945321313 0 0 6.03817945321313 0 6.03817945321313
0	0	0 0 0	30 4 4	0	-1.90625 0 0	6.01907286712627 0 0 6.01907286712627 0 6.01907286712627
0	0	0 0 0	31 4 4	0	-1.903125 0 0	6.00012743983087 0 0 6.00012743983087 0 6.00012743983087
0	0	0 0 0	32 4 4	0	-1.9 0 0	5.98134130785234 0 0 5.98134130785234 0 5.98134130785234
0	0	0 0 0	33 4 4	0	-1.896875 0 0	5.9627126354524 0 0 5.9627126354524 0 5.9627126354524
0	0	0 0 0	34 4 4	0	-1.89375 0 0	5.94423961412967 0 0 5.94423961412967 0 5.94423961412967
0	0	0 0 0	35 4 4	0	-1.890625 0 0	5.92592046213078 0 0 5.92592046213078 0 5.92592046213078
0	0	0 0 0	36 4 4	0	-1.8875 0 0	5.9077534239718 0 0 5.9077534239718 0 5.9077534239718
0	0	0 0 0	37 4 4	0	-1.884375 0 0	5.88973676996964 0 0 5.88973676996964 0 5.88973676996964
0	0	0 0 0	38 4 4	0	-1.88125 0 0	5.87186879578324 0 0 5.87186879578324 0 5.87186879578324
0	0	0 0 0	39 4 4	0	-1.878125 0 0	5.85414782196429 0 0 5.85414782196429 0 5.85414782196429
0	0	0 0 0	40 4 4	0	-1.875 0 0	5.83657219351733 0 0 5.83657219351733 0 5.83657219351733
0	0	0 0 0	41 4 4	0	-1.871875 0 0	5.81914027946889 0 0 5.81914027946889 0 5.81914027946889
0	0	0 0 0	42 4 4	0	-1.86875 0 0	5.80185047244555 0 0 5.80185047244555 0 5.80185047244555
0	0	0 0 0	43 4 4	0	-1.865625 0 0	5.78470118826065 0 0 5.78470118826065 0 5.78470118826065
0	0	0 0 0	44 4 4	0	-1.8625 0 0	5.7676908655095 0 0 5.7676908655095 0 5.7676908655095
0	0	0 0 0	45 4 4	0	-1.859375 0 0	5.75081796517282 0 0 5.75081796517282 0 5.75081796517282
0	0	0 0 0	46 4 4	0	-1.85625 0 0	5.73408097022832 0 0 5.73408097022832 0 5.73408097022832
0	0	0 0 0	47 4 4	0	-1.853125 0 0	5.71747838527012 0 0 5.71747838527012 0 5.71747838527012
0	0	0 0 0	48 4 4	0	-1.85 0 0	5.7010087361359 0 0 5.7010087361359 0 5.7010087361359
0	0	0 0 0	49 4 4	0	-1.846875 0 0	5.68467056954157 0 0 5.68467056954157 0 5.68467056954157
0	0	0 0 0	50 4 4	0	-1.84375 0 0	5.66846245272336 0 0 5.66846245272336 0 5.66846245272336
0	0	0 0 0	51 4 4	0	-1.840625 0 0	5.65238297308695 0 0 5.65238297308695 0 5.65238297308695
0	0	0 0 0	52 4 4	0	-1.8375 0 0	5.6364307378638 0 0 5.6364307378638 0 5.6364307378638
0	0	0 0 0	53 4 4	0	-1.834375 0 0	5.6206043737742 0 0 5.6206043737742 0 5.6206043737742
0	0	0 0 0	54 4 4	0	-1.83125 0 0	5.60490252669711 0 0 5.60490252669711 0 5.60490252669711
