# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 06:10:35+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.5_NoS/1bh_p0.5_nos/twopunmid_1bh_p0.5_nos_20.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	640 0 4	0	0 -0.0125 0	-2.27726303058801e-05
0	0	0 0 0	640 1 4	0	0 -0.009375 0	-2.27726303058801e-05
0	0	0 0 0	640 2 4	0	0 -0.00625 0	-2.57592186066551e-05
0	0	0 0 0	640 3 4	0	0 -0.003125 0	-3.0794810391884e-05
0	0	0 0 0	640 4 4	0	0 0 0	-0.000122896606295557
0	0	0 0 0	640 5 4	0	0 0.003125 0	-3.0794810391884e-05
0	0	0 0 0	640 6 4	0	0 0.00625 0	-2.57592870852494e-05
0	0	0 0 0	640 7 4	0	0 0.009375 0	-2.27726303058801e-05
0	0	0 0 0	640 8 4	0	0 0.0125 0	-2.27726303058801e-05


