# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 05:48:00+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.5_NoS/1bh_p0.5_nos/twopunnear_1bh_p0.5_nos_20.par"
#
# ADMBASE::CURV y (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	20 0 20	0	3 0.4375 0.5	0 0.325688688998088 0.372215644569243 0 0 0
0	0	0 0 0	20 1 20	0	3 0.440625 0.5	0 0.325802362836556 0.369704808892546 0 0 0
0	0	0 0 0	20 2 20	0	3 0.44375 0.5	0 0.325896235002274 0.367207025354675 0 0 0
0	0	0 0 0	20 3 20	0	3 0.446875 0.5	0 0.325970636220172 0.364722390176416 0 0 0
0	0	0 0 0	20 4 20	0	3 0.45 0.5	0 0.326025894597051 0.362250993996723 0 0 0
0	0	0 0 0	20 5 20	0	3 0.453125 0.5	0 0.3260623355607 0.359792921998014 0 0 0
0	0	0 0 0	20 6 20	0	3 0.45625 0.5	0 0.326080281802776 0.357348254030439 0 0 0
0	0	0 0 0	20 7 20	0	3 0.459375 0.5	0 0.326080053225326 0.354917064735048 0 0 0
0	0	0 0 0	20 8 20	0	3 0.4625 0.5	0 0.326061966890865 0.3524994236658 0 0 0
0	0	0 0 0	20 9 20	0	3 0.465625 0.5	0 0.326026336975895 0.350095395410357 0 0 0
0	0	0 0 0	20 10 20	0	3 0.46875 0.5	0 0.325973474727766 0.347705039709618 0 0 0
0	0	0 0 0	20 11 20	0	3 0.471875 0.5	0 0.325903688424789 0.345328411575935 0 0 0
0	0	0 0 0	20 12 20	0	3 0.475 0.5	0 0.325817283339482 0.342965561409981 0 0 0
0	0	0 0 0	20 13 20	0	3 0.478125 0.5	0 0.32571456170488 0.340616535116214 0 0 0
0	0	0 0 0	20 14 20	0	3 0.48125 0.5	0 0.325595822683777 0.338281374216911 0 0 0
0	0	0 0 0	20 15 20	0	3 0.484375 0.5	0 0.325461362340837 0.335960115964735 0 0 0
0	0	0 0 0	20 16 20	0	3 0.4875 0.5	0 0.325311473617461 0.333652793453806 0 0 0
0	0	0 0 0	20 17 20	0	3 0.490625 0.5	0 0.325146446309322 0.331359435729246 0 0 0
0	0	0 0 0	20 18 20	0	3 0.49375 0.5	0 0.324966567046481 0.32908006789517 0 0 0
0	0	0 0 0	20 19 20	0	3 0.496875 0.5	0 0.324772119275986 0.326814711221118 0 0 0
0	0	0 0 0	20 20 20	0	3 0.5 0.5	0 0.324563383246878 0.324563383246878 0 0 0
0	0	0 0 0	20 21 20	0	3 0.503125 0.5	0 0.324340635997509 0.322326097885723 0 0 0
0	0	0 0 0	20 22 20	0	3 0.50625 0.5	0 0.324104151345084 0.320102865526009 0 0 0
0	0	0 0 0	20 23 20	0	3 0.509375 0.5	0 0.323854199877359 0.31789369313115 0 0 0
0	0	0 0 0	20 24 20	0	3 0.5125 0.5	0 0.323591048946398 0.315698584337949 0 0 0
0	0	0 0 0	20 25 20	0	3 0.515625 0.5	0 0.323314962664316 0.313517539553276 0 0 0
0	0	0 0 0	20 26 20	0	3 0.51875 0.5	0 0.323026201900933 0.311350556049092 0 0 0
0	0	0 0 0	20 27 20	0	3 0.521875 0.5	0 0.32272502428326 0.309197628055818 0 0 0
0	0	0 0 0	20 28 20	0	3 0.525 0.5	0 0.322411684196734 0.307058746854032 0 0 0
0	0	0 0 0	20 29 20	0	3 0.528125 0.5	0 0.322086432788152 0.304933900864522 0 0 0
0	0	0 0 0	20 30 20	0	3 0.53125 0.5	0 0.321749517970206 0.302823075736664 0 0 0
0	0	0 0 0	20 31 20	0	3 0.534375 0.5	0 0.321401184427569 0.300726254435152 0 0 0
0	0	0 0 0	20 32 20	0	3 0.5375 0.5	0 0.321041673624458 0.298643417325077 0 0 0
0	0	0 0 0	20 33 20	0	3 0.540625 0.5	0 0.320671223813604 0.296574542255357 0 0 0
0	0	0 0 0	20 34 20	0	3 0.54375 0.5	0 0.320290070046578 0.294519604640531 0 0 0
0	0	0 0 0	20 35 20	0	3 0.546875 0.5	0 0.31989844418539 0.292478577540928 0 0 0
0	0	0 0 0	20 36 20	0	3 0.55 0.5	0 0.319496574915324 0.290451431741204 0 0 0
0	0	0 0 0	20 37 20	0	3 0.553125 0.5	0 0.319084687758935 0.288438135827286 0 0 0
0	0	0 0 0	20 38 20	0	3 0.55625 0.5	0 0.318663005091146 0.286438656261704 0 0 0
0	0	0 0 0	20 39 20	0	3 0.559375 0.5	0 0.318231746155411 0.284452957457351 0 0 0
0	0	0 0 0	20 40 20	0	3 0.5625 0.5	0 0.317791127080868 0.282481001849661 0 0 0


