# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:19:18+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.75_NoS/1bh_p0.75_nos/manybhfar_1bh_p0.75_nos_12x13x17.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 20 0	0	5 5 4.9375	1.63406116844003e-09
0	0	0 0 0	20 20 1	0	5 5 4.940625	1.63406116844003e-09
0	0	0 0 0	20 20 2	0	5 5 4.94375	7.58290276273513e-10
0	0	0 0 0	20 20 3	0	5 5 4.946875	-1.03918456370415e-09
0	0	0 0 0	20 20 4	0	5 5 4.95	6.83434015272526e-10
0	0	0 0 0	20 20 5	0	5 5 4.953125	-6.49249398275605e-10
0	0	0 0 0	20 20 6	0	5 5 4.95625	-4.86786059161401e-10
0	0	0 0 0	20 20 7	0	5 5 4.959375	4.11353163662885e-10
0	0	0 0 0	20 20 8	0	5 5 4.9625	2.72909337272961e-10
0	0	0 0 0	20 20 9	0	5 5 4.965625	1.71618263328753e-10
0	0	0 0 0	20 20 10	0	5 5 4.96875	2.9618796868261e-10
0	0	0 0 0	20 20 11	0	5 5 4.971875	-4.93966315334021e-10
0	0	0 0 0	20 20 12	0	5 5 4.975	-1.11483794201436e-10
0	0	0 0 0	20 20 13	0	5 5 4.978125	4.93230018188805e-10
0	0	0 0 0	20 20 14	0	5 5 4.98125	4.32401314406916e-10
0	0	0 0 0	20 20 15	0	5 5 4.984375	2.09754281543621e-11
0	0	0 0 0	20 20 16	0	5 5 4.9875	6.51271456794493e-10
0	0	0 0 0	20 20 17	0	5 5 4.990625	-2.75323045991534e-10
0	0	0 0 0	20 20 18	0	5 5 4.99375	2.80939068341389e-10
0	0	0 0 0	20 20 19	0	5 5 4.996875	-2.56700472510418e-11
0	0	0 0 0	20 20 20	0	5 5 5	-1.19179344019484e-10
0	0	0 0 0	20 20 21	0	5 5 5.003125	1.89400297583107e-10
0	0	0 0 0	20 20 22	0	5 5 5.00625	-4.32814395434633e-10
0	0	0 0 0	20 20 23	0	5 5 5.009375	-3.38477173264344e-10
0	0	0 0 0	20 20 24	0	5 5 5.0125	7.88674184987181e-10
0	0	0 0 0	20 20 25	0	5 5 5.015625	-1.61233075176605e-10
0	0	0 0 0	20 20 26	0	5 5 5.01875	-2.07963832732274e-10
0	0	0 0 0	20 20 27	0	5 5 5.021875	-1.13989724018389e-10
0	0	0 0 0	20 20 28	0	5 5 5.025	-1.34540512574093e-10
0	0	0 0 0	20 20 29	0	5 5 5.028125	-3.97989763161691e-10
0	0	0 0 0	20 20 30	0	5 5 5.03125	4.27798011154012e-10
0	0	0 0 0	20 20 31	0	5 5 5.034375	5.00104550165466e-10
0	0	0 0 0	20 20 32	0	5 5 5.0375	4.52434296407608e-10
0	0	0 0 0	20 20 33	0	5 5 5.040625	9.27700252229859e-11
0	0	0 0 0	20 20 34	0	5 5 5.04375	6.90595584570183e-10
0	0	0 0 0	20 20 35	0	5 5 5.046875	-4.24475361760976e-10
0	0	0 0 0	20 20 36	0	5 5 5.05	-3.30421214044321e-10
0	0	0 0 0	20 20 37	0	5 5 5.053125	3.36235992824327e-10
0	0	0 0 0	20 20 38	0	5 5 5.05625	-2.06196517705311e-10
0	0	0 0 0	20 20 39	0	5 5 5.059375	1.67375913796104e-09
0	0	0 0 0	20 20 40	0	5 5 5.0625	1.67375913796104e-09


