# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:19:27+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.75_NoS/1bh_p0.75_nos/manybhfar_1bh_p0.75_nos_16x17x25.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	4.9375 5 5	1.79056476443855e-09
0	0	0 0 0	1 20 20	0	4.940625 5 5	1.79056476443855e-09
0	0	0 0 0	2 20 20	0	4.94375 5 5	-5.83278265096909e-11
0	0	0 0 0	3 20 20	0	4.946875 5 5	-4.79329528868012e-10
0	0	0 0 0	4 20 20	0	4.95 5 5	5.44783553826315e-10
0	0	0 0 0	5 20 20	0	4.953125 5 5	-1.49930785885502e-10
0	0	0 0 0	6 20 20	0	4.95625 5 5	4.1525541165377e-10
0	0	0 0 0	7 20 20	0	4.959375 5 5	-3.72541875278375e-11
0	0	0 0 0	8 20 20	0	4.9625 5 5	1.49380860871122e-11
0	0	0 0 0	9 20 20	0	4.965625 5 5	3.8423745576336e-10
0	0	0 0 0	10 20 20	0	4.96875 5 5	1.22739757214222e-10
0	0	0 0 0	11 20 20	0	4.971875 5 5	1.1965040579414e-10
0	0	0 0 0	12 20 20	0	4.975 5 5	1.87313554098935e-10
0	0	0 0 0	13 20 20	0	4.978125 5 5	-3.05603891368258e-10
0	0	0 0 0	14 20 20	0	4.98125 5 5	9.24459780103117e-10
0	0	0 0 0	15 20 20	0	4.984375 5 5	5.2139581947731e-10
0	0	0 0 0	16 20 20	0	4.9875 5 5	-2.45278932798146e-10
0	0	0 0 0	17 20 20	0	4.990625 5 5	4.01444701265963e-10
0	0	0 0 0	18 20 20	0	4.99375 5 5	-9.58687467085551e-10
0	0	0 0 0	19 20 20	0	4.996875 5 5	-1.31574999918775e-11
0	0	0 0 0	20 20 20	0	5 5 5	-5.62927856455689e-10
0	0	0 0 0	21 20 20	0	5.003125 5 5	3.10493343438478e-10
0	0	0 0 0	22 20 20	0	5.00625 5 5	2.00358239547949e-10
0	0	0 0 0	23 20 20	0	5.009375 5 5	3.7695937381765e-10
0	0	0 0 0	24 20 20	0	5.0125 5 5	3.98821775734678e-10
0	0	0 0 0	25 20 20	0	5.015625 5 5	-5.5622734803501e-10
0	0	0 0 0	26 20 20	0	5.01875 5 5	-1.25694677647996e-11
0	0	0 0 0	27 20 20	0	5.021875 5 5	1.29645910868816e-10
0	0	0 0 0	28 20 20	0	5.025 5 5	-1.27294523988471e-10
0	0	0 0 0	29 20 20	0	5.028125 5 5	4.34807505755516e-11
0	0	0 0 0	30 20 20	0	5.03125 5 5	-4.34071481449777e-10
0	0	0 0 0	31 20 20	0	5.034375 5 5	4.08979210686413e-10
0	0	0 0 0	32 20 20	0	5.0375 5 5	3.54605350562798e-10
0	0	0 0 0	33 20 20	0	5.040625 5 5	-1.5092199441135e-10
0	0	0 0 0	34 20 20	0	5.04375 5 5	-2.66146586106603e-11
0	0	0 0 0	35 20 20	0	5.046875 5 5	-2.21873110162196e-10
0	0	0 0 0	36 20 20	0	5.05 5 5	-1.63287219683006e-10
0	0	0 0 0	37 20 20	0	5.053125 5 5	4.688766961497e-10
0	0	0 0 0	38 20 20	0	5.05625 5 5	1.53684878842139e-10
0	0	0 0 0	39 20 20	0	5.059375 5 5	1.95284118964609e-09
0	0	0 0 0	40 20 20	0	5.0625 5 5	1.95284118964609e-09


