# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:19:44+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.75_NoS/1bh_p0.75_nos/manybhfar_1bh_p0.75_nos_24x25x33.par"
#
# ADMBASE::METRIC z (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	20 20 0	0	5 5 4.9375	1.38546386566799 0 0 1.38546386566799 0 1.38546386566799
0	0	0 0 0	20 20 1	0	5 5 4.940625	1.38534335868342 0 0 1.38534335868342 0 1.38534335868342
0	0	0 0 0	20 20 2	0	5 5 4.94375	1.38522288572292 0 0 1.38522288572292 0 1.38522288572292
0	0	0 0 0	20 20 3	0	5 5 4.946875	1.38510244682923 0 0 1.38510244682923 0 1.38510244682923
0	0	0 0 0	20 20 4	0	5 5 4.95	1.38498204204492 0 0 1.38498204204492 0 1.38498204204492
0	0	0 0 0	20 20 5	0	5 5 4.953125	1.38486167141241 0 0 1.38486167141241 0 1.38486167141241
0	0	0 0 0	20 20 6	0	5 5 4.95625	1.384741334974 0 0 1.384741334974 0 1.384741334974
0	0	0 0 0	20 20 7	0	5 5 4.959375	1.38462103277182 0 0 1.38462103277182 0 1.38462103277182
0	0	0 0 0	20 20 8	0	5 5 4.9625	1.38450076484783 0 0 1.38450076484783 0 1.38450076484783
0	0	0 0 0	20 20 9	0	5 5 4.965625	1.3843805312439 0 0 1.3843805312439 0 1.3843805312439
0	0	0 0 0	20 20 10	0	5 5 4.96875	1.38426033200169 0 0 1.38426033200169 0 1.38426033200169
0	0	0 0 0	20 20 11	0	5 5 4.971875	1.38414016716275 0 0 1.38414016716275 0 1.38414016716275
0	0	0 0 0	20 20 12	0	5 5 4.975	1.38402003676848 0 0 1.38402003676848 0 1.38402003676848
0	0	0 0 0	20 20 13	0	5 5 4.978125	1.38389994086012 0 0 1.38389994086012 0 1.38389994086012
0	0	0 0 0	20 20 14	0	5 5 4.98125	1.38377987947877 0 0 1.38377987947877 0 1.38377987947877
0	0	0 0 0	20 20 15	0	5 5 4.984375	1.38365985266538 0 0 1.38365985266538 0 1.38365985266538
0	0	0 0 0	20 20 16	0	5 5 4.9875	1.38353986046077 0 0 1.38353986046077 0 1.38353986046077
0	0	0 0 0	20 20 17	0	5 5 4.990625	1.38341990290558 0 0 1.38341990290558 0 1.38341990290558
0	0	0 0 0	20 20 18	0	5 5 4.99375	1.38329998004035 0 0 1.38329998004035 0 1.38329998004035
0	0	0 0 0	20 20 19	0	5 5 4.996875	1.38318009190543 0 0 1.38318009190543 0 1.38318009190543
0	0	0 0 0	20 20 20	0	5 5 5	1.38306023854106 0 0 1.38306023854106 0 1.38306023854106
0	0	0 0 0	20 20 21	0	5 5 5.003125	1.38294041998731 0 0 1.38294041998731 0 1.38294041998731
0	0	0 0 0	20 20 22	0	5 5 5.00625	1.38282063628412 0 0 1.38282063628412 0 1.38282063628412
0	0	0 0 0	20 20 23	0	5 5 5.009375	1.38270088747129 0 0 1.38270088747129 0 1.38270088747129
0	0	0 0 0	20 20 24	0	5 5 5.0125	1.38258117358845 0 0 1.38258117358845 0 1.38258117358845
0	0	0 0 0	20 20 25	0	5 5 5.015625	1.38246149467512 0 0 1.38246149467512 0 1.38246149467512
0	0	0 0 0	20 20 26	0	5 5 5.01875	1.38234185077065 0 0 1.38234185077065 0 1.38234185077065
0	0	0 0 0	20 20 27	0	5 5 5.021875	1.38222224191426 0 0 1.38222224191426 0 1.38222224191426
0	0	0 0 0	20 20 28	0	5 5 5.025	1.38210266814504 0 0 1.38210266814504 0 1.38210266814504
0	0	0 0 0	20 20 29	0	5 5 5.028125	1.3819831295019 0 0 1.3819831295019 0 1.3819831295019
0	0	0 0 0	20 20 30	0	5 5 5.03125	1.38186362602363 0 0 1.38186362602363 0 1.38186362602363
0	0	0 0 0	20 20 31	0	5 5 5.034375	1.3817441577489 0 0 1.3817441577489 0 1.3817441577489
0	0	0 0 0	20 20 32	0	5 5 5.0375	1.38162472471619 0 0 1.38162472471619 0 1.38162472471619
0	0	0 0 0	20 20 33	0	5 5 5.040625	1.38150532696388 0 0 1.38150532696388 0 1.38150532696388
0	0	0 0 0	20 20 34	0	5 5 5.04375	1.38138596453019 0 0 1.38138596453019 0 1.38138596453019
0	0	0 0 0	20 20 35	0	5 5 5.046875	1.38126663745319 0 0 1.38126663745319 0 1.38126663745319
0	0	0 0 0	20 20 36	0	5 5 5.05	1.38114734577084 0 0 1.38114734577084 0 1.38114734577084
0	0	0 0 0	20 20 37	0	5 5 5.053125	1.38102808952093 0 0 1.38102808952093 0 1.38102808952093
0	0	0 0 0	20 20 38	0	5 5 5.05625	1.38090886874111 0 0 1.38090886874111 0 1.38090886874111
0	0	0 0 0	20 20 39	0	5 5 5.059375	1.38078968346892 0 0 1.38078968346892 0 1.38078968346892
0	0	0 0 0	20 20 40	0	5 5 5.0625	1.38067053374173 0 0 1.38067053374173 0 1.38067053374173


