# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:20:18+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.75_NoS/1bh_p0.75_nos/manybhfar_1bh_p0.75_nos_32x33x41.par"
#
# ADMCONSTRAINTS::MOMENTUM x (admconstraints-momentum)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:momx 14:momy 15:momz
0	0	0 0 0	0 20 20	0	4.9375 5 5	9.06208263334786e-10 2.99735793151713e-10 2.99735793151713e-10
0	0	0 0 0	1 20 20	0	4.940625 5 5	9.06208263334786e-10 2.99735793151713e-10 2.99735793151713e-10
0	0	0 0 0	2 20 20	0	4.94375 5 5	-1.23079203837702e-15 -7.8387817070702e-17 -7.8387817070702e-17
0	0	0 0 0	3 20 20	0	4.946875 5 5	-5.89718476757836e-16 -4.45823933326039e-16 -4.45823933326039e-16
0	0	0 0 0	4 20 20	0	4.95 5 5	-1.64698838194891e-15 1.68701858038744e-16 1.68701858038744e-16
0	0	0 0 0	5 20 20	0	4.953125 5 5	1.07037022003589e-15 1.39536819598884e-16 1.39536819598884e-16
0	0	0 0 0	6 20 20	0	4.95625 5 5	1.32936845876983e-15 6.98768300166908e-16 6.98768300166908e-16
0	0	0 0 0	7 20 20	0	4.959375 5 5	6.37281160229177e-16 7.04731412115578e-16 7.04731412115578e-16
0	0	0 0 0	8 20 20	0	4.9625 5 5	-3.96423512369814e-16 -1.05644659686988e-15 -1.05644659686988e-15
0	0	0 0 0	9 20 20	0	4.965625 5 5	-1.56325667854013e-15 -5.03937169771262e-16 -5.03937169771262e-16
0	0	0 0 0	10 20 20	0	4.96875 5 5	-1.97927154820888e-15 -1.12431765286747e-16 -1.12431765286747e-16
0	0	0 0 0	11 20 20	0	4.971875 5 5	3.46777863100049e-16 -1.42681005899092e-16 -1.42681005899092e-16
