# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:21:19+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.75_NoS/1bh_p0.75_nos/manybhfar_1bh_p0.75_nos_40x41x49.par"
#
# ADMBASE::CURV x (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	0 20 20	0	4.9375 5 5	0.00502956957139468 0.0129795343777927 0.0129795343777927 -0.00251478478569734 0.00218647230382597 -0.00251478478569734
0	0	0 0 0	1 20 20	0	4.940625 5 5	0.00503704839862303 0.0129779024763234 0.0129779024763234 -0.00251852419931151 0.00218880099449915 -0.00251852419931151
0	0	0 0 0	2 20 20	0	4.94375 5 5	0.00504452396237705 0.0129762674273365 0.0129762674273365 -0.00252226198118852 0.00219112481924725 -0.00252226198118852
0	0	0 0 0	3 20 20	0	4.946875 5 5	0.00505199625636124 0.0129746292298202 0.0129746292298202 -0.00252599812818062 0.00219344377676228 -0.00252599812818062
0	0	0 0 0	4 20 20	0	4.95 5 5	0.00505946527428063 0.0129729878827708 0.0129729878827708 -0.00252973263714031 0.00219575786575845 -0.00252973263714031
0	0	0 0 0	5 20 20	0	4.953125 5 5	0.00506693100984074 0.0129713433851923 0.0129713433851923 -0.00253346550492037 0.00219806708497222 -0.00253346550492037
0	0	0 0 0	6 20 20	0	4.95625 5 5	0.00507439345674769 0.0129696957360963 0.0129696957360963 -0.00253719672837384 0.00220037143316218 -0.00253719672837384
0	0	0 0 0	7 20 20	0	4.959375 5 5	0.00508185260870819 0.0129680449345026 0.0129680449345026 -0.00254092630435409 0.00220267090910911 -0.00254092630435409
0	0	0 0 0	8 20 20	0	4.9625 5 5	0.00508930845942958 0.0129663909794384 0.0129663909794384 -0.00254465422971479 0.00220496551161591 -0.00254465422971479
0	0	0 0 0	9 20 20	0	4.965625 5 5	0.00509676100261986 0.0129647338699392 0.0129647338699392 -0.00254838050130993 0.00220725523950758 -0.00254838050130993
0	0	0 0 0	10 20 20	0	4.96875 5 5	0.00510421023198774 0.0129630736050482 0.0129630736050482 -0.00255210511599387 0.0022095400916312 -0.00255210511599387
0	0	0 0 0	11 20 20	0	4.971875 5 5	0.00511165614124266 0.0129614101838166 0.0129614101838166 -0.00255582807062133 0.00221182006685593 -0.00255582807062133
0	0	0 0 0	12 20 20	0	4.975 5 5	0.00511909872409483 0.0129597436053034 0.0129597436053034 -0.00255954936204741 0.00221409516407293 -0.00255954936204741
0	0	0 0 0	13 20 20	0	4.978125 5 5	0.00512653797425523 0.0129580738685756 0.0129580738685756 -0.00256326898712761 0.00221636538219539 -0.00256326898712761
0	0	0 0 0	14 20 20	0	4.98125 5 5	0.00513397388543568 0.0129564009727083 0.0129564009727083 -0.00256698694271784 0.00221863072015846 -0.00256698694271784
0	0	0 0 0	15 20 20	0	4.984375 5 5	0.00514140645134888 0.0129547249167846 0.0129547249167846 -0.00257070322567444 0.00222089117691926 -0.00257070322567444
0	0	0 0 0	16 20 20	0	4.9875 5 5	0.00514883566570841 0.0129530456998954 0.0129530456998954 -0.00257441783285421 0.00222314675145683 -0.00257441783285421
0	0	0 0 0	17 20 20	0	4.990625 5 5	0.00515626152222877 0.0129513633211398 0.0129513633211398 -0.00257813076111439 0.00222539744277212 -0.00257813076111439
0	0	0 0 0	18 20 20	0	4.99375 5 5	0.00516368401462544 0.0129496777796249 0.0129496777796249 -0.00258184200731272 0.00222764324988796 -0.00258184200731272
0	0	0 0 0	19 20 20	0	4.996875 5 5	0.00517110313661487 0.012947989074466 0.012947989074466 -0.00258555156830744 0.00222988417184901 -0.00258555156830744
0	0	0 0 0	20 20 20	0	5 5 5	0.00517851888191455 0.0129462972047864 0.0129462972047864 -0.00258925944095727 0.00223212020772179 -0.00258925944095727
0	0	0 0 0	21 20 20	0	5.003125 5 5	0.00518593124424302 0.0129446021697174 0.0129446021697174 -0.00259296562212151 0.00223435135659458 -0.00259296562212151
0	0	0 0 0	22 20 20	0	5.00625 5 5	0.00519334021731993 0.0129429039683986 0.0129429039683986 -0.00259667010865996 0.00223657761757746 -0.00259667010865996
0	0	0 0 0	23 20 20	0	5.009375 5 5	0.00520074579486604 0.0129412025999777 0.0129412025999777 -0.00260037289743302 0.00223879898980225 -0.00260037289743302
0	0	0 0 0	24 20 20	0	5.0125 5 5	0.00520814797060326 0.0129394980636106 0.0129394980636106 -0.00260407398530163 0.00224101547242248 -0.00260407398530163
0	0	0 0 0	25 20 20	0	5.015625 5 5	0.00521554673825471 0.0129377903584613 0.0129377903584613 -0.00260777336912736 0.00224322706461338 -0.00260777336912736
0	0	0 0 0	26 20 20	0	5.01875 5 5	0.00522294209154473 0.0129360794837021 0.0129360794837021 -0.00261147104577237 0.00224543376557183 -0.00261147104577237
0	0	0 0 0	27 20 20	0	5.021875 5 5	0.00523033402419891 0.0129343654385135 0.0129343654385135 -0.00261516701209946 0.00224763557451636 -0.00261516701209946
0	0	0 0 0	28 20 20	0	5.025 5 5	0.00523772252994414 0.0129326482220843 0.0129326482220843 -0.00261886126497207 0.00224983249068711 -0.00261886126497207
0	0	0 0 0	29 20 20	0	5.028125 5 5	0.00524510760250862 0.0129309278336114 0.0129309278336114 -0.00262255380125431 0.00225202451334581 -0.00262255380125431
0	0	0 0 0	30 20 20	0	5.03125 5 5	0.00525248923562191 0.0129292042723001 0.0129292042723001 -0.00262624461781095 0.00225421164177571 -0.00262624461781095
0	0	0 0 0	31 20 20	0	5.034375 5 5	0.00525986742301498 0.012927477537364 0.012927477537364 -0.00262993371150749 0.00225639387528162 -0.00262993371150749
0	0	0 0 0	32 20 20	0	5.0375 5 5	0.00526724215842019 0.012925747628025 0.012925747628025 -0.00263362107921009 0.00225857121318984 -0.00263362107921009
0	0	0 0 0	33 20 20	0	5.040625 5 5	0.00527461343557139 0.0129240145435134 0.0129240145435134 -0.00263730671778569 0.00226074365484814 -0.00263730671778569
0	0	0 0 0	34 20 20	0	5.04375 5 5	0.00528198124820389 0.0129222782830676 0.0129222782830676 -0.00264099062410195 0.00226291119962573 -0.00264099062410195
0	0	0 0 0	35 20 20	0	5.046875 5 5	0.00528934559005456 0.0129205388459348 0.0129205388459348 -0.00264467279502728 0.00226507384691324 -0.00264467279502728
0	0	0 0 0	36 20 20	0	5.05 5 5	0.00529670645486178 0.0129187962313702 0.0129187962313702 -0.00264835322743089 0.00226723159612267 -0.00264835322743089
0	0	0 0 0	37 20 20	0	5.053125 5 5	0.00530406383636556 0.0129170504386376 0.0129170504386376 -0.00265203191818278 0.0022693844466874 -0.00265203191818278
0	0	0 0 0	38 20 20	0	5.05625 5 5	0.0053114177283075 0.0129153014670091 0.0129153014670091 -0.00265570886415375 0.00227153239806212 -0.00265570886415375
0	0	0 0 0	39 20 20	0	5.059375 5 5	0.0053187681244309 0.0129135493157655 0.0129135493157655 -0.00265938406221545 0.00227367544972284 -0.00265938406221545
0	0	0 0 0	40 20 20	0	5.0625 5 5	0.0053261150184807 0.0129117939841956 0.0129117939841956 -0.00266305750924035 0.00227581360116681 -0.00266305750924035


