# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:21:19+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.75_NoS/1bh_p0.75_nos/manybhfar_1bh_p0.75_nos_40x41x49.par"
#
# ADMBASE::CURV y (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	20 0 20	0	5 4.9375 5	0.00526881567149721 0.0130073886890087 0.013172039178743 -0.00266292378958372 0.00226692865708097 -0.00260589188191349
0	0	0 0 0	20 1 20	0	5 4.940625 5	0.00526426536444388 0.0130043805331028 0.0131606634111097 -0.00265919339572617 0.00226518575357924 -0.00260507196871772
0	0	0 0 0	20 2 20	0	5 4.94375 5	0.00525971879696212 0.0130013674012407 0.0131492969924053 -0.00265546799643428 0.00226344308747793 -0.00260425080052784
0	0	0 0 0	20 3 20	0	5 4.946875 5	0.00525517596806041 0.0129983493084994 0.013137939920151 -0.00265174758695275 0.00226170066279429 -0.00260342838110766
0	0	0 0 0	20 4 20	0	5 4.95 5	0.00525063687673955 0.0129953262699304 0.0131265921918489 -0.00264803216252245 0.00225995848353209 -0.00260260471421711
0	0	0 0 0	20 5 20	0	5 4.953125 5	0.00524610152199269 0.01299229830056 0.0131152538049817 -0.00264432171838044 0.00225821655368157 -0.00260177980361225
0	0	0 0 0	20 6 20	0	5 4.95625 5	0.00524156990280533 0.0129892654153895 0.0131039247570133 -0.00264061624976007 0.00225647487721954 -0.00260095365304526
0	0	0 0 0	20 7 20	0	5 4.959375 5	0.00523704201815539 0.0129862276293947 0.0130926050453885 -0.00263691575189097 0.00225473345810936 -0.00260012626626442
0	0	0 0 0	20 8 20	0	5 4.9625 5	0.00523251786701322 0.0129831849575266 0.0130812946675331 -0.00263322021999912 0.00225299230030097 -0.00259929764701411
0	0	0 0 0	20 9 20	0	5 4.965625 5	0.00522799744834164 0.0129801374147107 0.0130699936208541 -0.00262952964930687 0.00225125140773093 -0.00259846779903477
0	0	0 0 0	20 10 20	0	5 4.96875 5	0.00522348076109592 0.0129770850158477 0.0130587019027398 -0.002625844035033 0.00224951078432245 -0.00259763672606292
0	0	0 0 0	20 11 20	0	5 4.971875 5	0.0052189678042239 0.0129740277758129 0.0130474195105598 -0.00262216337239275 0.00224777043398538 -0.00259680443183115
0	0	0 0 0	20 12 20	0	5 4.975 5	0.00521445857666593 0.0129709657094565 0.0130361464416648 -0.00261848765659786 0.00224603036061627 -0.00259597092006807
0	0	0 0 0	20 13 20	0	5 4.978125 5	0.00520995307735495 0.0129678988316038 0.0130248826933874 -0.00261481688285661 0.00224429056809837 -0.00259513619449834
0	0	0 0 0	20 14 20	0	5 4.98125 5	0.0052054513052165 0.0129648271570548 0.0130136282630412 -0.00261115104637386 0.00224255106030169 -0.00259430025884264
0	0	0 0 0	20 15 20	0	5 4.984375 5	0.00520095325916875 0.0129617507005846 0.0130023831479219 -0.00260749014235109 0.00224081184108296 -0.00259346311681766
0	0	0 0 0	20 16 20	0	5 4.9875 5	0.00519645893812254 0.0129586694769431 0.0129911473453063 -0.00260383416598644 0.00223907291428575 -0.0025926247721361
0	0	0 0 0	20 17 20	0	5 4.990625 5	0.0051919683409814 0.0129555835008551 0.0129799208524535 -0.00260018311247476 0.00223733428374041 -0.00259178522850664
0	0	0 0 0	20 18 20	0	5 4.99375 5	0.00518748146664156 0.0129524927870206 0.0129687036666039 -0.00259653697700763 0.00223559595326411 -0.00259094448963393
0	0	0 0 0	20 19 20	0	5 4.996875 5	0.00518299831399202 0.0129493973501144 0.0129574957849801 -0.00259289575477341 0.00223385792666093 -0.00259010255921861
0	0	0 0 0	20 20 20	0	5 5 5	0.00517851888191455 0.0129462972047864 0.0129462972047864 -0.00258925944095727 0.00223212020772179 -0.00258925944095727
0	0	0 0 0	20 21 20	0	5 5.003125 5	0.0051740431692837 0.0129431923656613 0.0129351079232093 -0.00258562803074126 0.00223038280022454 -0.00258841513854244
0	0	0 0 0	20 22 20	0	5 5.00625 5	0.00516957117496689 0.012940082847339 0.0129239279374172 -0.00258200151930429 0.00222864570793398 -0.0025875696556626
0	0	0 0 0	20 23 20	0	5 5.009375 5	0.00516510289782435 0.0129369686643944 0.0129127572445609 -0.00257837990182223 0.00222690893460185 -0.00258672299600212
0	0	0 0 0	20 24 20	0	5 5.0125 5	0.00516063833670925 0.0129338498313776 0.0129015958417731 -0.00257476317346791 0.00222517248396688 -0.00258587516324134
0	0	0 0 0	20 25 20	0	5 5.015625 5	0.00515617749046765 0.0129307263628134 0.0128904437261691 -0.00257115132941119 0.00222343635975482 -0.00258502616105646
0	0	0 0 0	20 26 20	0	5 5.01875 5	0.00515172035793854 0.012927598273202 0.0128793008948464 -0.00256754436481894 0.00222170056567846 -0.0025841759931196
0	0	0 0 0	20 27 20	0	5 5.021875 5	0.0051472669379539 0.0129244655770186 0.0128681673448848 -0.00256394227485515 0.00221996510543762 -0.00258332466309876
0	0	0 0 0	20 28 20	0	5 5.025 5	0.00514281722933872 0.0129213282887135 0.0128570430733468 -0.00256034505468092 0.00221822998271925 -0.0025824721746578
0	0	0 0 0	20 29 20	0	5 5.028125 5	0.00513837123091098 0.0129181864227121 0.0128459280772774 -0.00255675269945452 0.00221649520119737 -0.00258161853145646
0	0	0 0 0	20 30 20	0	5 5.03125 5	0.00513392894148174 0.012915039993415 0.0128348223537043 -0.00255316520433141 0.00221476076453318 -0.00258076373715032
