# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:16:54+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.75_NoS/1bh_p0.75_nos/manybhmid_1bh_p0.75_nos_12x13x17.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 4 4	0	-2 0 0	-2.99371092412487e-08
0	0	0 0 0	1 4 4	0	-1.996875 0 0	-2.99371092412487e-08
0	0	0 0 0	2 4 4	0	-1.99375 0 0	-5.41051115802299e-10
0	0	0 0 0	3 4 4	0	-1.990625 0 0	1.25347196597986e-10
0	0	0 0 0	4 4 4	0	-1.9875 0 0	-3.77859735254532e-10
0	0	0 0 0	5 4 4	0	-1.984375 0 0	3.76073993561127e-10
0	0	0 0 0	6 4 4	0	-1.98125 0 0	-5.69273426575395e-10
0	0	0 0 0	7 4 4	0	-1.978125 0 0	-1.68983617463564e-10
0	0	0 0 0	8 4 4	0	-1.975 0 0	9.87179786700321e-11
0	0	0 0 0	9 4 4	0	-1.971875 0 0	9.0193958204865e-11
0	0	0 0 0	10 4 4	0	-1.96875 0 0	9.03162930727952e-11
0	0	0 0 0	11 4 4	0	-1.965625 0 0	1.94030749800511e-10
0	0	0 0 0	12 4 4	0	-1.9625 0 0	4.49274458781679e-10
0	0	0 0 0	13 4 4	0	-1.959375 0 0	-5.65391613301797e-10
0	0	0 0 0	14 4 4	0	-1.95625 0 0	1.87626563591392e-10
0	0	0 0 0	15 4 4	0	-1.953125 0 0	2.44725367141291e-10
0	0	0 0 0	16 4 4	0	-1.95 0 0	3.20777553391299e-10
0	0	0 0 0	17 4 4	0	-1.946875 0 0	-7.63165156937584e-10
0	0	0 0 0	18 4 4	0	-1.94375 0 0	-7.30148678931147e-10
0	0	0 0 0	19 4 4	0	-1.940625 0 0	3.28940099984798e-10
0	0	0 0 0	20 4 4	0	-1.9375 0 0	1.9803590104589e-10
0	0	0 0 0	21 4 4	0	-1.934375 0 0	-2.63913401115506e-10
0	0	0 0 0	22 4 4	0	-1.93125 0 0	5.08671313837611e-10
0	0	0 0 0	23 4 4	0	-1.928125 0 0	2.57829460906245e-10
0	0	0 0 0	24 4 4	0	-1.925 0 0	5.50128028634772e-10
0	0	0 0 0	25 4 4	0	-1.921875 0 0	2.63490447342807e-10
0	0	0 0 0	26 4 4	0	-1.91875 0 0	1.15790277973454e-10
0	0	0 0 0	27 4 4	0	-1.915625 0 0	6.82787476731506e-10
0	0	0 0 0	28 4 4	0	-1.9125 0 0	-2.35913858760706e-10
0	0	0 0 0	29 4 4	0	-1.909375 0 0	-2.27202213640143e-10
0	0	0 0 0	30 4 4	0	-1.90625 0 0	1.57884551786613e-11
0	0	0 0 0	31 4 4	0	-1.903125 0 0	-5.68941634256082e-11
0	0	0 0 0	32 4 4	0	-1.9 0 0	-6.64556358293683e-10
0	0	0 0 0	33 4 4	0	-1.896875 0 0	8.59176475624668e-11
0	0	0 0 0	34 4 4	0	-1.89375 0 0	5.20395275482866e-10
0	0	0 0 0	35 4 4	0	-1.890625 0 0	-4.68283229033972e-10
0	0	0 0 0	36 4 4	0	-1.8875 0 0	-4.95206224117306e-11
0	0	0 0 0	37 4 4	0	-1.884375 0 0	1.54282674743461e-10
0	0	0 0 0	38 4 4	0	-1.88125 0 0	-7.11234096791025e-11
0	0	0 0 0	39 4 4	0	-1.878125 0 0	4.32499340161097e-11
0	0	0 0 0	40 4 4	0	-1.875 0 0	7.97985063877987e-10
0	0	0 0 0	41 4 4	0	-1.871875 0 0	-9.16056393501091e-10
0	0	0 0 0	42 4 4	0	-1.86875 0 0	-7.69270992392879e-11
0	0	0 0 0	43 4 4	0	-1.865625 0 0	-6.78720143022088e-10
0	0	0 0 0	44 4 4	0	-1.8625 0 0	-4.09922780181954e-10
0	0	0 0 0	45 4 4	0	-1.859375 0 0	-2.72821207032009e-10
0	0	0 0 0	46 4 4	0	-1.85625 0 0	3.63886158618459e-10
0	0	0 0 0	47 4 4	0	-1.853125 0 0	7.80643286124594e-10
0	0	0 0 0	48 4 4	0	-1.85 0 0	-2.51559597371637e-10
0	0	0 0 0	49 4 4	0	-1.846875 0 0	-9.80815680409752e-11
0	0	0 0 0	50 4 4	0	-1.84375 0 0	5.70433288712285e-10
0	0	0 0 0	51 4 4	0	-1.840625 0 0	-4.47320234239074e-10
0	0	0 0 0	52 4 4	0	-1.8375 0 0	-2.86066548053909e-10
0	0	0 0 0	53 4 4	0	-1.834375 0 0	6.19112208982003e-10
0	0	0 0 0	54 4 4	0	-1.83125 0 0	3.04556251311955e-10
0	0	0 0 0	55 4 4	0	-1.828125 0 0	4.2727705575063e-10
0	0	0 0 0	56 4 4	0	-1.825 0 0	-9.18605668961958e-11
0	0	0 0 0	57 4 4	0	-1.821875 0 0	-1.52541331996381e-10
0	0	0 0 0	58 4 4	0	-1.81875 0 0	3.25703630732477e-10
0	0	0 0 0	59 4 4	0	-1.815625 0 0	-2.86995098693066e-10
0	0	0 0 0	60 4 4	0	-1.8125 0 0	-5.68800310671302e-11
0	0	0 0 0	61 4 4	0	-1.809375 0 0	-2.4134957053723e-10
0	0	0 0 0	62 4 4	0	-1.80625 0 0	6.3004573433445e-10
0	0	0 0 0	63 4 4	0	-1.803125 0 0	-8.17138448919175e-11
0	0	0 0 0	64 4 4	0	-1.8 0 0	2.48941787756723e-10
0	0	0 0 0	65 4 4	0	-1.796875 0 0	9.39915515210665e-11
0	0	0 0 0	66 4 4	0	-1.79375 0 0	1.41047474481321e-10
0	0	0 0 0	67 4 4	0	-1.790625 0 0	5.244755732145e-10
0	0	0 0 0	68 4 4	0	-1.7875 0 0	2.74903182249236e-10
0	0	0 0 0	69 4 4	0	-1.784375 0 0	8.17216663263898e-11
0	0	0 0 0	70 4 4	0	-1.78125 0 0	4.03728025837047e-10
0	0	0 0 0	71 4 4	0	-1.778125 0 0	-1.3787219022704e-10
0	0	0 0 0	72 4 4	0	-1.775 0 0	-1.6307748641059e-10
0	0	0 0 0	73 4 4	0	-1.771875 0 0	3.75013624754478e-10
0	0	0 0 0	74 4 4	0	-1.76875 0 0	-3.49147382013026e-11
0	0	0 0 0	75 4 4	0	-1.765625 0 0	-1.95664786890176e-10
0	0	0 0 0	76 4 4	0	-1.7625 0 0	8.01695311698769e-11
0	0	0 0 0	77 4 4	0	-1.759375 0 0	-3.46850151898559e-10
0	0	0 0 0	78 4 4	0	-1.75625 0 0	-9.6240509485368e-11
0	0	0 0 0	79 4 4	0	-1.753125 0 0	4.72423194747967e-10
0	0	0 0 0	80 4 4	0	-1.75 0 0	-4.60895183997112e-10
0	0	0 0 0	81 4 4	0	-1.746875 0 0	8.47772052212092e-11
0	0	0 0 0	82 4 4	0	-1.74375 0 0	2.4555584388769e-10
0	0	0 0 0	83 4 4	0	-1.740625 0 0	1.70294506360996e-10
0	0	0 0 0	84 4 4	0	-1.7375 0 0	-4.01832783627348e-10
0	0	0 0 0	85 4 4	0	-1.734375 0 0	1.83814263289561e-10
0	0	0 0 0	86 4 4	0	-1.73125 0 0	-1.90540044679721e-11
0	0	0 0 0	87 4 4	0	-1.728125 0 0	-1.74471924321157e-10
0	0	0 0 0	88 4 4	0	-1.725 0 0	6.49985534145747e-12
