# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:17:05+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.75_NoS/1bh_p0.75_nos/manybhmid_1bh_p0.75_nos_16x17x25.par"
#
# ADMBASE::METRIC z (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	640 4 0	0	0 0 -0.0125	2.07352074722725 0 0 2.07352074722725 0 2.07352074722725
0	0	0 0 0	640 4 1	0	0 0 -0.009375	2.07352580164223 0 0 2.07352580164223 0 2.07352580164223
0	0	0 0 0	640 4 2	0	0 0 -0.00625	2.07352941197933 0 0 2.07352941197933 0 2.07352941197933
0	0	0 0 0	640 4 3	0	0 0 -0.003125	2.07353157819787 0 0 2.07353157819787 0 2.07353157819787
0	0	0 0 0	640 4 4	0	0 0 0	2.07353230027344 0 0 2.07353230027344 0 2.07353230027344
0	0	0 0 0	640 4 5	0	0 0 0.003125	2.07353157819787 0 0 2.07353157819787 0 2.07353157819787
0	0	0 0 0	640 4 6	0	0 0 0.00625	2.07352941197933 0 0 2.07352941197933 0 2.07352941197933
0	0	0 0 0	640 4 7	0	0 0 0.009375	2.07352580164223 0 0 2.07352580164223 0 2.07352580164223
0	0	0 0 0	640 4 8	0	0 0 0.0125	2.07352074722725 0 0 2.07352074722725 0 2.07352074722725


# iteration 1   time 0.00078125
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
1	0	0 0 0	640 4 0	0.00078125	0 0 -0.0125	2.07352074722725 0 0 2.07352074722725 0 2.07352074722725
1	0	0 0 0	640 4 1	0.00078125	0 0 -0.009375	2.07352580164223 0 0 2.07352580164223 0 2.07352580164223
1	0	0 0 0	640 4 2	0.00078125	0 0 -0.00625	2.07352941197933 0 0 2.07352941197933 0 2.07352941197933
1	0	0 0 0	640 4 3	0.00078125	0 0 -0.003125	-nan -nan -nan -nan -nan -nan
1	0	0 0 0	640 4 4	0.00078125	0 0 0	-nan -nan -nan -nan -nan -nan
1	0	0 0 0	640 4 5	0.00078125	0 0 0.003125	-nan -nan -nan -nan -nan -nan
1	0	0 0 0	640 4 6	0.00078125	0 0 0.00625	2.07352941197933 0 0 2.07352941197933 0 2.07352941197933
1	0	0 0 0	640 4 7	0.00078125	0 0 0.009375	2.07352580164223 0 0 2.07352580164223 0 2.07352580164223
1	0	0 0 0	640 4 8	0.00078125	0 0 0.0125	2.07352074722725 0 0 2.07352074722725 0 2.07352074722725


# iteration 2   time 0.0015625
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
2	0	0 0 0	640 4 0	0.0015625	0 0 -0.0125	2.07352074722725 0 0 2.07352074722725 0 2.07352074722725
2	0	0 0 0	640 4 1	0.0015625	0 0 -0.009375	2.07352580164223 0 0 2.07352580164223 0 2.07352580164223
2	0	0 0 0	640 4 2	0.0015625	0 0 -0.00625	2.07352941197933 0 0 2.07352941197933 0 2.07352941197933
2	0	0 0 0	640 4 3	0.0015625	0 0 -0.003125	-nan -nan -nan -nan -nan -nan
2	0	0 0 0	640 4 4	0.0015625	0 0 0	-nan -nan -nan -nan -nan -nan
2	0	0 0 0	640 4 5	0.0015625	0 0 0.003125	-nan -nan -nan -nan -nan -nan
2	0	0 0 0	640 4 6	0.0015625	0 0 0.00625	2.07352941197933 0 0 2.07352941197933 0 2.07352941197933
2	0	0 0 0	640 4 7	0.0015625	0 0 0.009375	2.07352580164223 0 0 2.07352580164223 0 2.07352580164223
2	0	0 0 0	640 4 8	0.0015625	0 0 0.0125	2.07352074722725 0 0 2.07352074722725 0 2.07352074722725


# iteration 3   time 0.00234375
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
3	0	0 0 0	640 4 0	0.00234375	0 0 -0.0125	2.07352074722725 0 0 2.07352074722725 0 2.07352074722725
3	0	0 0 0	640 4 1	0.00234375	0 0 -0.009375	2.07352580164223 0 0 2.07352580164223 0 2.07352580164223
3	0	0 0 0	640 4 2	0.00234375	0 0 -0.00625	2.07352941197933 0 0 2.07352941197933 0 2.07352941197933
3	0	0 0 0	640 4 3	0.00234375	0 0 -0.003125	-nan -nan -nan -nan -nan -nan
3	0	0 0 0	640 4 4	0.00234375	0 0 0	-nan -nan -nan -nan -nan -nan
3	0	0 0 0	640 4 5	0.00234375	0 0 0.003125	-nan -nan -nan -nan -nan -nan
3	0	0 0 0	640 4 6	0.00234375	0 0 0.00625	2.07352941197933 0 0 2.07352941197933 0 2.07352941197933
3	0	0 0 0	640 4 7	0.00234375	0 0 0.009375	2.07352580164223 0 0 2.07352580164223 0 2.07352580164223
3	0	0 0 0	640 4 8	0.00234375	0 0 0.0125	2.07352074722725 0 0 2.07352074722725 0 2.07352074722725


# iteration 4   time 0.003125
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
4	0	0 0 0	640 4 0	0.003125	0 0 -0.0125	2.07352074722725 0 0 2.07352074722725 0 2.07352074722725
4	0	0 0 0	640 4 1	0.003125	0 0 -0.009375	2.07352580164223 0 0 2.07352580164223 0 2.07352580164223
4	0	0 0 0	640 4 2	0.003125	0 0 -0.00625	2.07352941197933 0 0 2.07352941197933 0 2.07352941197933
4	0	0 0 0	640 4 3	0.003125	0 0 -0.003125	-nan -nan -nan -nan -nan -nan
4	0	0 0 0	640 4 4	0.003125	0 0 0	-nan -nan -nan -nan -nan -nan
4	0	0 0 0	640 4 5	0.003125	0 0 0.003125	-nan -nan -nan -nan -nan -nan
4	0	0 0 0	640 4 6	0.003125	0 0 0.00625	2.07352941197933 0 0 2.07352941197933 0 2.07352941197933
4	0	0 0 0	640 4 7	0.003125	0 0 0.009375	2.07352580164223 0 0 2.07352580164223 0 2.07352580164223
4	0	0 0 0	640 4 8	0.003125	0 0 0.0125	2.07352074722725 0 0 2.07352074722725 0 2.07352074722725


# iteration 5   time 0.00390625
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
5	0	0 0 0	640 4 0	0.00390625	0 0 -0.0125	2.07352074722725 0 0 2.07352074722725 0 2.07352074722725
5	0	0 0 0	640 4 1	0.00390625	0 0 -0.009375	2.07352580164223 0 0 2.07352580164223 0 2.07352580164223
5	0	0 0 0	640 4 2	0.00390625	0 0 -0.00625	2.07352941197933 0 0 2.07352941197933 0 2.07352941197933
5	0	0 0 0	640 4 3	0.00390625	0 0 -0.003125	-nan -nan -nan -nan -nan -nan
5	0	0 0 0	640 4 4	0.00390625	0 0 0	-nan -nan -nan -nan -nan -nan
5	0	0 0 0	640 4 5	0.00390625	0 0 0.003125	-nan -nan -nan -nan -nan -nan
5	0	0 0 0	640 4 6	0.00390625	0 0 0.00625	2.07352941197933 0 0 2.07352941197933 0 2.07352941197933
5	0	0 0 0	640 4 7	0.00390625	0 0 0.009375	2.07352580164223 0 0 2.07352580164223 0 2.07352580164223
5	0	0 0 0	640 4 8	0.00390625	0 0 0.0125	2.07352074722725 0 0 2.07352074722725 0 2.07352074722725


