# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 06 2016 at 05:14:41+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_P0.75_NoS/1bh_p0.75_nos/manybhnear_1bh_p0.75_nos_12x13x17.par"
#
# ADMBASE::METRIC z (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	20 20 0	0	3 0.5 0.4375	10.6277993713155 0 0 10.6277993713155 0 10.6277993713155
0	0	0 0 0	20 20 1	0	3 0.5 0.440625	10.5724816678642 0 0 10.5724816678642 0 10.5724816678642
0	0	0 0 0	20 20 2	0	3 0.5 0.44375	10.5174972756712 0 0 10.5174972756712 0 10.5174972756712
0	0	0 0 0	20 20 3	0	3 0.5 0.446875	10.462847145614 0 0 10.462847145614 0 10.462847145614
0	0	0 0 0	20 20 4	0	3 0.5 0.45	10.4085321093559 0 0 10.4085321093559 0 10.4085321093559
0	0	0 0 0	20 20 5	0	3 0.5 0.453125	10.3545528828723 0 0 10.3545528828723 0 10.3545528828723
0	0	0 0 0	20 20 6	0	3 0.5 0.45625	10.3009100699182 0 0 10.3009100699182 0 10.3009100699182
0	0	0 0 0	20 20 7	0	3 0.5 0.459375	10.2476041654391 0 0 10.2476041654391 0 10.2476041654391
0	0	0 0 0	20 20 8	0	3 0.5 0.4625	10.194635558922 0 0 10.194635558922 0 10.194635558922
0	0	0 0 0	20 20 9	0	3 0.5 0.465625	10.1420045376874 0 0 10.1420045376874 0 10.1420045376874
0	0	0 0 0	20 20 10	0	3 0.5 0.46875	10.0897112901226 0 0 10.0897112901226 0 10.0897112901226
0	0	0 0 0	20 20 11	0	3 0.5 0.471875	10.0377559088537 0 0 10.0377559088537 0 10.0377559088537
0	0	0 0 0	20 20 12	0	3 0.5 0.475	9.98613839385806 0 0 9.98613839385806 0 9.98613839385806
0	0	0 0 0	20 20 13	0	3 0.5 0.478125	9.93485865551636 0 0 9.93485865551636 0 9.93485865551636
0	0	0 0 0	20 20 14	0	3 0.5 0.48125	9.88391651760406 0 0 9.88391651760406 0 9.88391651760406
0	0	0 0 0	20 20 15	0	3 0.5 0.484375	9.83331172022237 0 0 9.83331172022237 0 9.83331172022237
0	0	0 0 0	20 20 16	0	3 0.5 0.4875	9.78304392266902 0 0 9.78304392266902 0 9.78304392266902
0	0	0 0 0	20 20 17	0	3 0.5 0.490625	9.73311270624864 0 0 9.73311270624864 0 9.73311270624864
0	0	0 0 0	20 20 18	0	3 0.5 0.49375	9.68351757702317 0 0 9.68351757702317 0 9.68351757702317
0	0	0 0 0	20 20 19	0	3 0.5 0.496875	9.63425796850254 0 0 9.63425796850254 0 9.63425796850254
0	0	0 0 0	20 20 20	0	3 0.5 0.5	9.5853332442759 0 0 9.5853332442759 0 9.5853332442759
0	0	0 0 0	20 20 21	0	3 0.5 0.503125	9.53674270058381 0 0 9.53674270058381 0 9.53674270058381
0	0	0 0 0	20 20 22	0	3 0.5 0.50625	9.48848556883181 0 0 9.48848556883181 0 9.48848556883181
0	0	0 0 0	20 20 23	0	3 0.5 0.509375	9.44056101804586 0 0 9.44056101804586 0 9.44056101804586
0	0	0 0 0	20 20 24	0	3 0.5 0.5125	9.39296815727013 0 0 9.39296815727013 0 9.39296815727013
0	0	0 0 0	20 20 25	0	3 0.5 0.515625	9.34570603790776 0 0 9.34570603790776 0 9.34570603790776
0	0	0 0 0	20 20 26	0	3 0.5 0.51875	9.29877365600507 0 0 9.29877365600507 0 9.29877365600507
0	0	0 0 0	20 20 27	0	3 0.5 0.521875	9.25216995448003 0 0 9.25216995448003 0 9.25216995448003
0	0	0 0 0	20 20 28	0	3 0.5 0.525	9.20589382529539 0 0 9.20589382529539 0 9.20589382529539
0	0	0 0 0	20 20 29	0	3 0.5 0.528125	9.15994411157739 0 0 9.15994411157739 0 9.15994411157739
0	0	0 0 0	20 20 30	0	3 0.5 0.53125	9.11431960968066 0 0 9.11431960968066 0 9.11431960968066
0	0	0 0 0	20 20 31	0	3 0.5 0.534375	9.06901907119996 0 0 9.06901907119996 0 9.06901907119996
0	0	0 0 0	20 20 32	0	3 0.5 0.5375	9.02404120492975 0 0 9.02404120492975 0 9.02404120492975
0	0	0 0 0	20 20 33	0	3 0.5 0.540625	8.97938467877197 0 0 8.97938467877197 0 8.97938467877197
0	0	0 0 0	20 20 34	0	3 0.5 0.54375	8.9350481215933 0 0 8.9350481215933 0 8.9350481215933
0	0	0 0 0	20 20 35	0	3 0.5 0.546875	8.89103012503228 0 0 8.89103012503228 0 8.89103012503228
0	0	0 0 0	20 20 36	0	3 0.5 0.55	8.84732924525727 0 0 8.84732924525727 0 8.84732924525727
0	0	0 0 0	20 20 37	0	3 0.5 0.553125	8.80394400467619 0 0 8.80394400467619 0 8.80394400467619
0	0	0 0 0	20 20 38	0	3 0.5 0.55625	8.76087289359863 0 0 8.76087289359863 0 8.76087289359863
0	0	0 0 0	20 20 39	0	3 0.5 0.559375	8.71811437185138 0 0 8.71811437185138 0 8.71811437185138
0	0	0 0 0	20 20 40	0	3 0.5 0.5625	8.67566687034799 0 0 8.67566687034799 0 8.67566687034799


