# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 15:33:41+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.75_NoS/1bh_p0.75_nos/twopunfar_1bh_p0.75_nos_20.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 20 0	0	5 5 4.9375	3.09763339076397e-08
0	0	0 0 0	20 20 1	0	5 5 4.940625	3.09763339076397e-08
0	0	0 0 0	20 20 2	0	5 5 4.94375	2.98483811676949e-08
0	0	0 0 0	20 20 3	0	5 5 4.946875	2.8271045059234e-08
0	0	0 0 0	20 20 4	0	5 5 4.95	2.96595801158083e-08
0	0	0 0 0	20 20 5	0	5 5 4.953125	2.84216961700964e-08
0	0	0 0 0	20 20 6	0	5 5 4.95625	2.90302759137705e-08
0	0	0 0 0	20 20 7	0	5 5 4.959375	2.82681199565012e-08
0	0	0 0 0	20 20 8	0	5 5 4.9625	2.86053016919146e-08
0	0	0 0 0	20 20 9	0	5 5 4.965625	2.892195028709e-08
0	0	0 0 0	20 20 10	0	5 5 4.96875	2.90305606316307e-08
0	0	0 0 0	20 20 11	0	5 5 4.971875	2.84632975765253e-08
0	0	0 0 0	20 20 12	0	5 5 4.975	2.83856869299646e-08
0	0	0 0 0	20 20 13	0	5 5 4.978125	2.87037264964354e-08
0	0	0 0 0	20 20 14	0	5 5 4.98125	2.89497837437395e-08
0	0	0 0 0	20 20 15	0	5 5 4.984375	2.81886603107153e-08
0	0	0 0 0	20 20 16	0	5 5 4.9875	2.87545138794422e-08
0	0	0 0 0	20 20 17	0	5 5 4.990625	2.8357749900105e-08
0	0	0 0 0	20 20 18	0	5 5 4.99375	2.78379372558961e-08
0	0	0 0 0	20 20 19	0	5 5 4.996875	2.81756648710029e-08
0	0	0 0 0	20 20 20	0	5 5 5	2.85289318806151e-08
0	0	0 0 0	20 20 21	0	5 5 5.003125	2.78679606438331e-08
0	0	0 0 0	20 20 22	0	5 5 5.00625	2.74539314599304e-08
0	0	0 0 0	20 20 23	0	5 5 5.009375	2.78942415115604e-08
0	0	0 0 0	20 20 24	0	5 5 5.0125	2.79718327036852e-08
0	0	0 0 0	20 20 25	0	5 5 5.015625	2.82938391775521e-08
0	0	0 0 0	20 20 26	0	5 5 5.01875	2.6752948286134e-08
0	0	0 0 0	20 20 27	0	5 5 5.021875	2.82163079467677e-08
0	0	0 0 0	20 20 28	0	5 5 5.025	2.77676466294951e-08
0	0	0 0 0	20 20 29	0	5 5 5.028125	2.73251719017662e-08
0	0	0 0 0	20 20 30	0	5 5 5.03125	2.77779562181271e-08
0	0	0 0 0	20 20 31	0	5 5 5.034375	2.70169513299254e-08
0	0	0 0 0	20 20 32	0	5 5 5.0375	2.80867489699395e-08
0	0	0 0 0	20 20 33	0	5 5 5.040625	2.72373050312484e-08
0	0	0 0 0	20 20 34	0	5 5 5.04375	2.75140311532731e-08
0	0	0 0 0	20 20 35	0	5 5 5.046875	2.63372675676635e-08
0	0	0 0 0	20 20 36	0	5 5 5.05	2.77859223974655e-08
0	0	0 0 0	20 20 37	0	5 5 5.053125	2.67467711714874e-08
0	0	0 0 0	20 20 38	0	5 5 5.05625	2.69242881417947e-08
0	0	0 0 0	20 20 39	0	5 5 5.059375	2.90706807689321e-08
0	0	0 0 0	20 20 40	0	5 5 5.0625	2.90706807689321e-08


