# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 15:52:14+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.75_NoS/1bh_p0.75_nos/twopunfar_1bh_p0.75_nos_40.par"
#
# ADMBASE::METRIC z (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	20 20 0	0	5 5 4.9375	1.61381470337921 0 0 1.61381470337921 0 1.61381470337921
0	0	0 0 0	20 20 1	0	5 5 4.940625	1.61364937263161 0 0 1.61364937263161 0 1.61364937263161
0	0	0 0 0	20 20 2	0	5 5 4.94375	1.61348407504071 0 0 1.61348407504071 0 1.61348407504071
0	0	0 0 0	20 20 3	0	5 5 4.946875	1.61331881067042 0 0 1.61331881067042 0 1.61331881067042
0	0	0 0 0	20 20 4	0	5 5 4.95	1.61315357958447 0 0 1.61315357958447 0 1.61315357958447
0	0	0 0 0	20 20 5	0	5 5 4.953125	1.6129883818464 0 0 1.6129883818464 0 1.6129883818464
0	0	0 0 0	20 20 6	0	5 5 4.95625	1.61282321751958 0 0 1.61282321751958 0 1.61282321751958
0	0	0 0 0	20 20 7	0	5 5 4.959375	1.6126580866672 0 0 1.6126580866672 0 1.6126580866672
0	0	0 0 0	20 20 8	0	5 5 4.9625	1.61249298935227 0 0 1.61249298935227 0 1.61249298935227
0	0	0 0 0	20 20 9	0	5 5 4.965625	1.61232792563763 0 0 1.61232792563763 0 1.61232792563763
0	0	0 0 0	20 20 10	0	5 5 4.96875	1.61216289558592 0 0 1.61216289558592 0 1.61216289558592
0	0	0 0 0	20 20 11	0	5 5 4.971875	1.61199789925963 0 0 1.61199789925963 0 1.61199789925963
0	0	0 0 0	20 20 12	0	5 5 4.975	1.61183293672104 0 0 1.61183293672104 0 1.61183293672104
0	0	0 0 0	20 20 13	0	5 5 4.978125	1.61166800803229 0 0 1.61166800803229 0 1.61166800803229
0	0	0 0 0	20 20 14	0	5 5 4.98125	1.61150311325531 0 0 1.61150311325531 0 1.61150311325531
0	0	0 0 0	20 20 15	0	5 5 4.984375	1.61133825245187 0 0 1.61133825245187 0 1.61133825245187
0	0	0 0 0	20 20 16	0	5 5 4.9875	1.61117342568355 0 0 1.61117342568355 0 1.61117342568355
0	0	0 0 0	20 20 17	0	5 5 4.990625	1.61100863301178 0 0 1.61100863301178 0 1.61100863301178
0	0	0 0 0	20 20 18	0	5 5 4.99375	1.61084387449778 0 0 1.61084387449778 0 1.61084387449778
0	0	0 0 0	20 20 19	0	5 5 4.996875	1.61067915020263 0 0 1.61067915020263 0 1.61067915020263
0	0	0 0 0	20 20 20	0	5 5 5	1.6105144601872 0 0 1.6105144601872 0 1.6105144601872
0	0	0 0 0	20 20 21	0	5 5 5.003125	1.6103498045122 0 0 1.6103498045122 0 1.6103498045122
0	0	0 0 0	20 20 22	0	5 5 5.00625	1.61018518323818 0 0 1.61018518323818 0 1.61018518323818
0	0	0 0 0	20 20 23	0	5 5 5.009375	1.61002059642549 0 0 1.61002059642549 0 1.61002059642549
0	0	0 0 0	20 20 24	0	5 5 5.0125	1.60985604413431 0 0 1.60985604413431 0 1.60985604413431
0	0	0 0 0	20 20 25	0	5 5 5.015625	1.60969152642467 0 0 1.60969152642467 0 1.60969152642467
0	0	0 0 0	20 20 26	0	5 5 5.01875	1.6095270433564 0 0 1.6095270433564 0 1.6095270433564
0	0	0 0 0	20 20 27	0	5 5 5.021875	1.60936259498917 0 0 1.60936259498917 0 1.60936259498917
0	0	0 0 0	20 20 28	0	5 5 5.025	1.60919818138247 0 0 1.60919818138247 0 1.60919818138247
0	0	0 0 0	20 20 29	0	5 5 5.028125	1.60903380259562 0 0 1.60903380259562 0 1.60903380259562
0	0	0 0 0	20 20 30	0	5 5 5.03125	1.60886945868777 0 0 1.60886945868777 0 1.60886945868777
0	0	0 0 0	20 20 31	0	5 5 5.034375	1.60870514971788 0 0 1.60870514971788 0 1.60870514971788
0	0	0 0 0	20 20 32	0	5 5 5.0375	1.60854087574478 0 0 1.60854087574478 0 1.60854087574478
0	0	0 0 0	20 20 33	0	5 5 5.040625	1.60837663682708 0 0 1.60837663682708 0 1.60837663682708
0	0	0 0 0	20 20 34	0	5 5 5.04375	1.60821243302325 0 0 1.60821243302325 0 1.60821243302325
0	0	0 0 0	20 20 35	0	5 5 5.046875	1.60804826439158 0 0 1.60804826439158 0 1.60804826439158
0	0	0 0 0	20 20 36	0	5 5 5.05	1.60788413099019 0 0 1.60788413099019 0 1.60788413099019
0	0	0 0 0	20 20 37	0	5 5 5.053125	1.60772003287702 0 0 1.60772003287702 0 1.60772003287702
0	0	0 0 0	20 20 38	0	5 5 5.05625	1.60755597010985 0 0 1.60755597010985 0 1.60755597010985
0	0	0 0 0	20 20 39	0	5 5 5.059375	1.60739194274629 0 0 1.60739194274629 0 1.60739194274629
0	0	0 0 0	20 20 40	0	5 5 5.0625	1.60722795084378 0 0 1.60722795084378 0 1.60722795084378


