# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 14:57:34+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.75_NoS/1bh_p0.75_nos/twopunnear_1bh_p0.75_nos_30.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 20 0	0	3 0.5 0.4375	1.35138008236814e-05
0	0	0 0 0	20 20 1	0	3 0.5 0.440625	1.35138008236814e-05
0	0	0 0 0	20 20 2	0	3 0.5 0.44375	5.15257961037491e-08
0	0	0 0 0	20 20 3	0	3 0.5 0.446875	5.3446726214039e-08
0	0	0 0 0	20 20 4	0	3 0.5 0.45	5.50531544839597e-08
0	0	0 0 0	20 20 5	0	3 0.5 0.453125	5.68145379666041e-08
0	0	0 0 0	20 20 6	0	3 0.5 0.45625	5.84100853960254e-08
0	0	0 0 0	20 20 7	0	3 0.5 0.459375	6.00243899757935e-08
0	0	0 0 0	20 20 8	0	3 0.5 0.4625	6.15995893226209e-08
0	0	0 0 0	20 20 9	0	3 0.5 0.465625	6.295579396947e-08
0	0	0 0 0	20 20 10	0	3 0.5 0.46875	6.44138024117474e-08
0	0	0 0 0	20 20 11	0	3 0.5 0.471875	6.58361132260116e-08
0	0	0 0 0	20 20 12	0	3 0.5 0.475	6.71328640247659e-08
0	0	0 0 0	20 20 13	0	3 0.5 0.478125	6.8256635713318e-08
0	0	0 0 0	20 20 14	0	3 0.5 0.48125	6.95792598624095e-08
0	0	0 0 0	20 20 15	0	3 0.5 0.484375	7.06692754402077e-08
0	0	0 0 0	20 20 16	0	3 0.5 0.4875	7.17364900138656e-08
0	0	0 0 0	20 20 17	0	3 0.5 0.490625	7.27577528546533e-08
0	0	0 0 0	20 20 18	0	3 0.5 0.49375	7.37477406755407e-08
0	0	0 0 0	20 20 19	0	3 0.5 0.496875	7.46738416119302e-08
0	0	0 0 0	20 20 20	0	3 0.5 0.5	7.54515496123598e-08
0	0	0 0 0	20 20 21	0	3 0.5 0.503125	7.63205802375988e-08
0	0	0 0 0	20 20 22	0	3 0.5 0.50625	7.69966825835827e-08
0	0	0 0 0	20 20 23	0	3 0.5 0.509375	7.76582396097569e-08
0	0	0 0 0	20 20 24	0	3 0.5 0.5125	7.81898206961978e-08
0	0	0 0 0	20 20 25	0	3 0.5 0.515625	7.89039233776989e-08
0	0	0 0 0	20 20 26	0	3 0.5 0.51875	7.92809937075201e-08
0	0	0 0 0	20 20 27	0	3 0.5 0.521875	7.96950371919139e-08
0	0	0 0 0	20 20 28	0	3 0.5 0.525	8.02535786922909e-08
0	0	0 0 0	20 20 29	0	3 0.5 0.528125	8.04681136940336e-08
0	0	0 0 0	20 20 30	0	3 0.5 0.53125	8.08232263329808e-08
0	0	0 0 0	20 20 31	0	3 0.5 0.534375	8.08976690757496e-08
0	0	0 0 0	20 20 32	0	3 0.5 0.5375	8.12685544433062e-08
0	0	0 0 0	20 20 33	0	3 0.5 0.540625	8.12321060417176e-08
0	0	0 0 0	20 20 34	0	3 0.5 0.54375	8.12633567989079e-08
0	0	0 0 0	20 20 35	0	3 0.5 0.546875	8.13466896135151e-08
0	0	0 0 0	20 20 36	0	3 0.5 0.55	8.12988973520473e-08
0	0	0 0 0	20 20 37	0	3 0.5 0.553125	8.11515669628393e-08
0	0	0 0 0	20 20 38	0	3 0.5 0.55625	8.10937894803881e-08
0	0	0 0 0	20 20 39	0	3 0.5 0.559375	8.99621025055725e-06
0	0	0 0 0	20 20 40	0	3 0.5 0.5625	8.99621025055725e-06


