# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 15:12:32+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.75_NoS/1bh_p0.75_nos/twopunnear_1bh_p0.75_nos_40.par"
#
# ADMBASE::CURV z (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	20 20 0	0	3 0.5 0.4375	0 0.54653129001718 0.478214878765033 0 0 0
0	0	0 0 0	20 20 1	0	3 0.5 0.440625	0 0.542836123876314 0.478374334166002 0 0 0
0	0	0 0 0	20 20 2	0	3 0.5 0.44375	0 0.539160274909745 0.478504743982399 0 0 0
0	0	0 0 0	20 20 3	0	3 0.5 0.446875	0 0.535503883438121 0.478606595822821 0 0 0
0	0	0 0 0	20 20 4	0	3 0.5 0.45	0 0.531867081549713 0.478680373394741 0 0 0
0	0	0 0 0	20 20 5	0	3 0.5 0.453125	0 0.528249993286103 0.478726556415531 0 0 0
0	0	0 0 0	20 20 6	0	3 0.5 0.45625	0 0.524652734826335 0.47874562052903 0 0 0
0	0	0 0 0	20 20 7	0	3 0.5 0.459375	0 0.521075414669395 0.478738037227507 0 0 0
0	0	0 0 0	20 20 8	0	3 0.5 0.4625	0 0.517518133814978 0.478704273778855 0 0 0
0	0	0 0 0	20 20 9	0	3 0.5 0.465625	0 0.513980985942419 0.478644793158878 0 0 0
0	0	0 0 0	20 20 10	0	3 0.5 0.46875	0 0.51046405758774 0.478560053988506 0 0 0
0	0	0 0 0	20 20 11	0	3 0.5 0.471875	0 0.506967428318735 0.478450510475806 0 0 0
0	0	0 0 0	20 20 12	0	3 0.5 0.475	0 0.503491170908021 0.47831661236262 0 0 0
0	0	0 0 0	20 20 13	0	3 0.5 0.478125	0 0.500035351504013 0.478158804875712 0 0 0
0	0	0 0 0	20 20 14	0	3 0.5 0.48125	0 0.496600029799748 0.477977528682257 0 0 0
0	0	0 0 0	20 20 15	0	3 0.5 0.484375	0 0.493185259199527 0.477773219849542 0 0 0
0	0	0 0 0	20 20 16	0	3 0.5 0.4875	0 0.48979108698332 0.477546309808737 0 0 0
0	0	0 0 0	20 20 17	0	3 0.5 0.490625	0 0.486417554468897 0.477297225322605 0 0 0
0	0	0 0 0	20 20 18	0	3 0.5 0.49375	0 0.483064697171646 0.477026388457 0 0 0
0	0	0 0 0	20 20 19	0	3 0.5 0.496875	0 0.479732544962054 0.476734216556042 0 0 0
0	0	0 0 0	20 20 20	0	3 0.5 0.5	0 0.476421122220818 0.476421122220818 0 0 0
0	0	0 0 0	20 20 21	0	3 0.5 0.503125	0 0.473130447991553 0.4760875132915 0 0 0
0	0	0 0 0	20 20 22	0	3 0.5 0.50625	0 0.469860536131101 0.47573379283274 0 0 0
0	0	0 0 0	20 20 23	0	3 0.5 0.509375	0 0.466611395457397 0.475360359122223 0 0 0
0	0	0 0 0	20 20 24	0	3 0.5 0.5125	0 0.463383029894893 0.474967605642265 0 0 0
0	0	0 0 0	20 20 25	0	3 0.5 0.515625	0 0.460175438617532 0.47455592107433 0 0 0
0	0	0 0 0	20 20 26	0	3 0.5 0.51875	0 0.456988616189252 0.474125689296349 0 0 0
0	0	0 0 0	20 20 27	0	3 0.5 0.521875	0 0.453822552702026 0.47367728938274 0 0 0
0	0	0 0 0	20 20 28	0	3 0.5 0.525	0 0.450677233911433 0.473211095607004 0 0 0
0	0	0 0 0	20 20 29	0	3 0.5 0.528125	0 0.447552641369756 0.472727477446805 0 0 0
0	0	0 0 0	20 20 30	0	3 0.5 0.53125	0 0.444448752556622 0.472226799591411 0 0 0
0	0	0 0 0	20 20 31	0	3 0.5 0.534375	0 0.441365541007169 0.471709421951411 0 0 0
0	0	0 0 0	20 20 32	0	3 0.5 0.5375	0 0.438302976437769 0.471175699670601 0 0 0
0	0	0 0 0	20 20 33	0	3 0.5 0.540625	0 0.435261024869303 0.470625983139934 0 0 0
0	0	0 0 0	20 20 34	0	3 0.5 0.54375	0 0.432239648748006 0.470060618013456 0 0 0
0	0	0 0 0	20 20 35	0	3 0.5 0.546875	0 0.429238807063882 0.469479945226121 0 0 0
0	0	0 0 0	20 20 36	0	3 0.5 0.55	0 0.42625845546673 0.468884301013404 0 0 0
0	0	0 0 0	20 20 37	0	3 0.5 0.553125	0 0.423298546379767 0.468274016932617 0 0 0
0	0	0 0 0	20 20 38	0	3 0.5 0.55625	0 0.420359029110885 0.46764941988586 0 0 0
0	0	0 0 0	20 20 39	0	3 0.5 0.559375	0 0.417439849961561 0.467010832144496 0 0 0
0	0	0 0 0	20 20 40	0	3 0.5 0.5625	0 0.414540952333426 0.466358571375104 0 0 0


