# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 15:12:32+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.75_NoS/1bh_p0.75_nos/twopunnear_1bh_p0.75_nos_40.par"
#
# ADMBASE::METRIC x (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	0 20 20	0	2.9375 0.5 0.5	11.1046016707649 0 0 11.1046016707649 0 11.1046016707649
0	0	0 0 0	1 20 20	0	2.940625 0.5 0.5	11.1101050866556 0 0 11.1101050866556 0 11.1101050866556
0	0	0 0 0	2 20 20	0	2.94375 0.5 0.5	11.115285149112 0 0 11.115285149112 0 11.115285149112
0	0	0 0 0	3 20 20	0	2.946875 0.5 0.5	11.1201404574349 0 0 11.1201404574349 0 11.1201404574349
0	0	0 0 0	4 20 20	0	2.95 0.5 0.5	11.1246696852041 0 0 11.1246696852041 0 11.1246696852041
0	0	0 0 0	5 20 20	0	2.953125 0.5 0.5	11.1288715810897 0 0 11.1288715810897 0 11.1288715810897
0	0	0 0 0	6 20 20	0	2.95625 0.5 0.5	11.1327449696216 0 0 11.1327449696216 0 11.1327449696216
0	0	0 0 0	7 20 20	0	2.959375 0.5 0.5	11.136288751914 0 0 11.136288751914 0 11.136288751914
0	0	0 0 0	8 20 20	0	2.9625 0.5 0.5	11.139501906347 0 0 11.139501906347 0 11.139501906347
0	0	0 0 0	9 20 20	0	2.965625 0.5 0.5	11.1423834892017 0 0 11.1423834892017 0 11.1423834892017
0	0	0 0 0	10 20 20	0	2.96875 0.5 0.5	11.1449326352503 0 0 11.1449326352503 0 11.1449326352503
0	0	0 0 0	11 20 20	0	2.971875 0.5 0.5	11.1471485582992 0 0 11.1471485582992 0 11.1471485582992
0	0	0 0 0	12 20 20	0	2.975 0.5 0.5	11.1490305516848 0 0 11.1490305516848 0 11.1490305516848
0	0	0 0 0	13 20 20	0	2.978125 0.5 0.5	11.1505779887218 0 0 11.1505779887218 0 11.1505779887218
0	0	0 0 0	14 20 20	0	2.98125 0.5 0.5	11.1517903231029 0 0 11.1517903231029 0 11.1517903231029
0	0	0 0 0	15 20 20	0	2.984375 0.5 0.5	11.1526670892497 0 0 11.1526670892497 0 11.1526670892497
0	0	0 0 0	16 20 20	0	2.9875 0.5 0.5	11.1532079026149 0 0 11.1532079026149 0 11.1532079026149
0	0	0 0 0	17 20 20	0	2.990625 0.5 0.5	11.1534124599342 0 0 11.1534124599342 0 11.1534124599342
0	0	0 0 0	18 20 20	0	2.99375 0.5 0.5	11.153280539429 0 0 11.153280539429 0 11.153280539429
0	0	0 0 0	19 20 20	0	2.996875 0.5 0.5	11.1528120009587 0 0 11.1528120009587 0 11.1528120009587
0	0	0 0 0	20 20 20	0	3 0.5 0.5	11.1520067861225 0 0 11.1520067861225 0 11.1520067861225
0	0	0 0 0	21 20 20	0	3.003125 0.5 0.5	11.1508649183116 0 0 11.1508649183116 0 11.1508649183116
0	0	0 0 0	22 20 20	0	3.00625 0.5 0.5	11.1493865027101 0 0 11.1493865027101 0 11.1493865027101
0	0	0 0 0	23 20 20	0	3.009375 0.5 0.5	11.1475717262457 0 0 11.1475717262457 0 11.1475717262457
0	0	0 0 0	24 20 20	0	3.0125 0.5 0.5	11.1454208574901 0 0 11.1454208574901 0 11.1454208574901
0	0	0 0 0	25 20 20	0	3.015625 0.5 0.5	11.1429342465092 0 0 11.1429342465092 0 11.1429342465092
0	0	0 0 0	26 20 20	0	3.01875 0.5 0.5	11.1401123246626 0 0 11.1401123246626 0 11.1401123246626
0	0	0 0 0	27 20 20	0	3.021875 0.5 0.5	11.1369556043537 0 0 11.1369556043537 0 11.1369556043537
0	0	0 0 0	28 20 20	0	3.025 0.5 0.5	11.1334646787298 0 0 11.1334646787298 0 11.1334646787298
0	0	0 0 0	29 20 20	0	3.028125 0.5 0.5	11.1296402213335 0 0 11.1296402213335 0 11.1296402213335
0	0	0 0 0	30 20 20	0	3.03125 0.5 0.5	11.1254829857041 0 0 11.1254829857041 0 11.1254829857041
0	0	0 0 0	31 20 20	0	3.034375 0.5 0.5	11.1209938049316 0 0 11.1209938049316 0 11.1209938049316
0	0	0 0 0	32 20 20	0	3.0375 0.5 0.5	11.116173591162 0 0 11.116173591162 0 11.116173591162
0	0	0 0 0	33 20 20	0	3.040625 0.5 0.5	11.1110233350555 0 0 11.1110233350555 0 11.1110233350555
0	0	0 0 0	34 20 20	0	3.04375 0.5 0.5	11.105544105198 0 0 11.105544105198 0 11.105544105198
0	0	0 0 0	35 20 20	0	3.046875 0.5 0.5	11.0997370474662 0 0 11.0997370474662 0 11.0997370474662
0	0	0 0 0	36 20 20	0	3.05 0.5 0.5	11.0936033843471 0 0 11.0936033843471 0 11.0936033843471
0	0	0 0 0	37 20 20	0	3.053125 0.5 0.5	11.0871444142136 0 0 11.0871444142136 0 11.0871444142136
0	0	0 0 0	38 20 20	0	3.05625 0.5 0.5	11.0803615105552 0 0 11.0803615105552 0 11.0803615105552
0	0	0 0 0	39 20 20	0	3.059375 0.5 0.5	11.0732561211664 0 0 11.0732561211664 0 11.0732561211664
0	0	0 0 0	40 20 20	0	3.0625 0.5 0.5	11.0658297672928 0 0 11.0658297672928 0 11.0658297672928


