# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 08 2016 at 00:42:02+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Static/1BH_Static/1bh_static_0.0_near/manybhnear_1bh_static_0.0_near_16x17x25.par"
#
# ADMBASE::METRIC x (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	0 3 3	0	0 0.00078125 0.00078125	1.85262338499638 0 0 1.85262338499638 0 1.85262338499638
0	0	0 0 0	1 3 3	0	0.00156290700703308 0.00078125 0.00078125	1.85317525363294 0 0 1.85317525363294 0 1.85317525363294
0	0	0 0 0	2 3 3	0	0.00312581401406616 0.00078125 0.00078125	1.85372782136085 0 0 1.85372782136085 0 1.85372782136085
0	0	0 0 0	3 3 3	0	0.00468872102109924 0.00078125 0.00078125	1.85428108948626 0 0 1.85428108948626 0 1.85428108948626
0	0	0 0 0	4 3 3	0	0.00625162802813233 0.00078125 0.00078125	1.85483505931855 0 0 1.85483505931855 0 1.85483505931855
0	0	0 0 0	5 3 3	0	0.00781453503516541 0.00078125 0.00078125	1.85538973217029 0 0 1.85538973217029 0 1.85538973217029
0	0	0 0 0	6 3 3	0	0.00937744204219849 0.00078125 0.00078125	1.85594510935732 0 0 1.85594510935732 0 1.85594510935732
0	0	0 0 0	7 3 3	0	0.0109403490492316 0.00078125 0.00078125	1.85650119219868 0 0 1.85650119219868 0 1.85650119219868
0	0	0 0 0	8 3 3	0	0.0125032560562647 0.00078125 0.00078125	1.8570579820167 0 0 1.8570579820167 0 1.8570579820167
0	0	0 0 0	9 3 3	0	0.0140661630632977 0.00078125 0.00078125	1.85761548013693 0 0 1.85761548013693 0 1.85761548013693
0	0	0 0 0	10 3 3	0	0.0156290700703308 0.00078125 0.00078125	1.85817368788821 0 0 1.85817368788821 0 1.85817368788821
0	0	0 0 0	11 3 3	0	0.0171919770773639 0.00078125 0.00078125	1.85873260660266 0 0 1.85873260660266 0 1.85873260660266
0	0	0 0 0	12 3 3	0	0.018754884084397 0.00078125 0.00078125	1.85929223761568 0 0 1.85929223761568 0 1.85929223761568
0	0	0 0 0	13 3 3	0	0.0203177910914301 0.00078125 0.00078125	1.85985258226597 0 0 1.85985258226597 0 1.85985258226597
0	0	0 0 0	14 3 3	0	0.0218806980984631 0.00078125 0.00078125	1.86041364189555 0 0 1.86041364189555 0 1.86041364189555
0	0	0 0 0	15 3 3	0	0.0234436051054962 0.00078125 0.00078125	1.86097541784976 0 0 1.86097541784976 0 1.86097541784976
