# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 27 2016 at 23:55:41+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Static/1BH_Static_out1D_0.1_dx0.0015625_near/1bh_static_out1D_0.1_dx0.0015625_near/manybhmid_1bh_static_out1D_0.1_dx0.0015625_near_4x5x9.par"
#
# ADMBASE::SHIFT z (admbase-shift)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:betax 14:betay 15:betaz
0	0	0 0 0	640 4 0	0	0 0 -0.0125	0 0 0
0	0	0 0 0	640 4 1	0	0 0 -0.009375	0 0 0
0	0	0 0 0	640 4 2	0	0 0 -0.00625	0 0 0
0	0	0 0 0	640 4 3	0	0 0 -0.003125	0 0 0
0	0	0 0 0	640 4 4	0	0 0 0	0 0 0
0	0	0 0 0	640 4 5	0	0 0 0.003125	0 0 0
0	0	0 0 0	640 4 6	0	0 0 0.00625	0 0 0
0	0	0 0 0	640 4 7	0	0 0 0.009375	0 0 0
0	0	0 0 0	640 4 8	0	0 0 0.0125	0 0 0


# iteration 1   time 0.00078125
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:betax 14:betay 15:betaz
1	0	0 0 0	640 4 0	0.00078125	0 0 -0.0125	0 0 0
1	0	0 0 0	640 4 1	0.00078125	0 0 -0.009375	0 0 0
1	0	0 0 0	640 4 2	0.00078125	0 0 -0.00625	0 0 0
1	0	0 0 0	640 4 3	0.00078125	0 0 -0.003125	-nan -nan -nan
1	0	0 0 0	640 4 4	0.00078125	0 0 0	-nan -nan -nan
1	0	0 0 0	640 4 5	0.00078125	0 0 0.003125	-nan -nan -nan
1	0	0 0 0	640 4 6	0.00078125	0 0 0.00625	0 0 0
1	0	0 0 0	640 4 7	0.00078125	0 0 0.009375	0 0 0
1	0	0 0 0	640 4 8	0.00078125	0 0 0.0125	0 0 0


# iteration 2   time 0.0015625
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:betax 14:betay 15:betaz
2	0	0 0 0	640 4 0	0.0015625	0 0 -0.0125	0 0 0
2	0	0 0 0	640 4 1	0.0015625	0 0 -0.009375	0 0 0
2	0	0 0 0	640 4 2	0.0015625	0 0 -0.00625	0 0 0
2	0	0 0 0	640 4 3	0.0015625	0 0 -0.003125	-nan -nan -nan
2	0	0 0 0	640 4 4	0.0015625	0 0 0	-nan -nan -nan
2	0	0 0 0	640 4 5	0.0015625	0 0 0.003125	-nan -nan -nan
2	0	0 0 0	640 4 6	0.0015625	0 0 0.00625	0 0 0
2	0	0 0 0	640 4 7	0.0015625	0 0 0.009375	0 0 0
2	0	0 0 0	640 4 8	0.0015625	0 0 0.0125	0 0 0


# iteration 3   time 0.00234375
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:betax 14:betay 15:betaz
3	0	0 0 0	640 4 0	0.00234375	0 0 -0.0125	0 0 0
3	0	0 0 0	640 4 1	0.00234375	0 0 -0.009375	0 0 0
