# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 27 2016 at 23:54:30+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Static/1BH_Static_out1D_0.1_dx0.0015625_near/1bh_static_out1D_0.1_dx0.0015625_near/twopunmid_1bh_static_out1D_0.1_dx0.0015625_near_20.par"
#
# ADMBASE::METRIC x (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	0 4 4	0	-2 0 0	6.5536 0 0 6.5536 0 6.5536
0	0	0 0 0	1 4 4	0	-1.996875 0 0	6.52913870406495 0 0 6.52913870406495 0 6.52913870406495
0	0	0 0 0	2 4 4	0	-1.99375 0 0	6.50490484890691 0 0 6.50490484890691 0 6.50490484890691
0	0	0 0 0	3 4 4	0	-1.990625 0 0	6.48089551992685 0 0 6.48089551992685 0 6.48089551992685
0	0	0 0 0	4 4 4	0	-1.9875 0 0	6.45710785032724 0 0 6.45710785032724 0 6.45710785032724
0	0	0 0 0	5 4 4	0	-1.984375 0 0	6.43353902016552 0 0 6.43353902016552 0 6.43353902016552
0	0	0 0 0	6 4 4	0	-1.98125 0 0	6.4101862554294 0 0 6.4101862554294 0 6.4101862554294
0	0	0 0 0	7 4 4	0	-1.978125 0 0	6.38704682713355 0 0 6.38704682713355 0 6.38704682713355
0	0	0 0 0	8 4 4	0	-1.975 0 0	6.36411805043692 0 0 6.36411805043692 0 6.36411805043692
0	0	0 0 0	9 4 4	0	-1.971875 0 0	6.34139728378039 0 0 6.34139728378039 0 6.34139728378039
0	0	0 0 0	10 4 4	0	-1.96875 0 0	6.31888192804399 0 0 6.31888192804399 0 6.31888192804399
0	0	0 0 0	11 4 4	0	-1.965625 0 0	6.2965694257234 0 0 6.2965694257234 0 6.2965694257234
0	0	0 0 0	12 4 4	0	-1.9625 0 0	6.27445726012498 0 0 6.27445726012498 0 6.27445726012498
0	0	0 0 0	13 4 4	0	-1.959375 0 0	6.25254295457916 0 0 6.25254295457916 0 6.25254295457916
0	0	0 0 0	14 4 4	0	-1.95625 0 0	6.23082407167135 0 0 6.23082407167135 0 6.23082407167135
0	0	0 0 0	15 4 4	0	-1.953125 0 0	6.20929821249031 0 0 6.20929821249031 0 6.20929821249031
0	0	0 0 0	16 4 4	0	-1.95 0 0	6.18796301589317 0 0 6.18796301589317 0 6.18796301589317
0	0	0 0 0	17 4 4	0	-1.946875 0 0	6.16681615778697 0 0 6.16681615778697 0 6.16681615778697
0	0	0 0 0	18 4 4	0	-1.94375 0 0	6.14585535042609 0 0 6.14585535042609 0 6.14585535042609
0	0	0 0 0	19 4 4	0	-1.940625 0 0	6.12507834172529 0 0 6.12507834172529 0 6.12507834172529
0	0	0 0 0	20 4 4	0	-1.9375 0 0	6.1044829145879 0 0 6.1044829145879 0 6.1044829145879
0	0	0 0 0	21 4 4	0	-1.934375 0 0	6.08406688624885 0 0 6.08406688624885 0 6.08406688624885
0	0	0 0 0	22 4 4	0	-1.93125 0 0	6.06382810763204 0 0 6.06382810763204 0 6.06382810763204
0	0	0 0 0	23 4 4	0	-1.928125 0 0	6.04376446272185 0 0 6.04376446272185 0 6.04376446272185
0	0	0 0 0	24 4 4	0	-1.925 0 0	6.02387386794832 0 0 6.02387386794832 0 6.02387386794832
0	0	0 0 0	25 4 4	0	-1.921875 0 0	6.00415427158569 0 0 6.00415427158569 0 6.00415427158569
0	0	0 0 0	26 4 4	0	-1.91875 0 0	5.98460365316399 0 0 5.98460365316399 0 5.98460365316399
0	0	0 0 0	27 4 4	0	-1.915625 0 0	5.96522002289335 0 0 5.96522002289335 0 5.96522002289335
0	0	0 0 0	28 4 4	0	-1.9125 0 0	5.94600142110068 0 0 5.94600142110068 0 5.94600142110068
0	0	0 0 0	29 4 4	0	-1.909375 0 0	5.92694591767849 0 0 5.92694591767849 0 5.92694591767849
0	0	0 0 0	30 4 4	0	-1.90625 0 0	5.90805161154544 0 0 5.90805161154544 0 5.90805161154544
0	0	0 0 0	31 4 4	0	-1.903125 0 0	5.88931663011849 0 0 5.88931663011849 0 5.88931663011849
0	0	0 0 0	32 4 4	0	-1.9 0 0	5.8707391287962 0 0 5.8707391287962 0 5.8707391287962
0	0	0 0 0	33 4 4	0	-1.896875 0 0	5.85231729045301 0 0 5.85231729045301 0 5.85231729045301
0	0	0 0 0	34 4 4	0	-1.89375 0 0	5.83404932494425 0 0 5.83404932494425 0 5.83404932494425
0	0	0 0 0	35 4 4	0	-1.890625 0 0	5.81593346862152 0 0 5.81593346862152 0 5.81593346862152
0	0	0 0 0	36 4 4	0	-1.8875 0 0	5.79796798385828 0 0 5.79796798385828 0 5.79796798385828
0	0	0 0 0	37 4 4	0	-1.884375 0 0	5.78015115858542 0 0 5.78015115858542 0 5.78015115858542
0	0	0 0 0	38 4 4	0	-1.88125 0 0	5.76248130583645 0 0 5.76248130583645 0 5.76248130583645
0	0	0 0 0	39 4 4	0	-1.878125 0 0	5.74495676330222 0 0 5.74495676330222 0 5.74495676330222
0	0	0 0 0	40 4 4	0	-1.875 0 0	5.72757589289486 0 0 5.72757589289486 0 5.72757589289486
0	0	0 0 0	41 4 4	0	-1.871875 0 0	5.71033708032072 0 0 5.71033708032072 0 5.71033708032072
0	0	0 0 0	42 4 4	0	-1.86875 0 0	5.69323873466219 0 0 5.69323873466219 0 5.69323873466219
0	0	0 0 0	43 4 4	0	-1.865625 0 0	5.67627928796808 0 0 5.67627928796808 0 5.67627928796808
0	0	0 0 0	44 4 4	0	-1.8625 0 0	5.65945719485234 0 0 5.65945719485234 0 5.65945719485234
0	0	0 0 0	45 4 4	0	-1.859375 0 0	5.64277093210112 0 0 5.64277093210112 0 5.64277093210112
0	0	0 0 0	46 4 4	0	-1.85625 0 0	5.62621899828774 0 0 5.62621899828774 0 5.62621899828774
0	0	0 0 0	47 4 4	0	-1.853125 0 0	5.60979991339549 0 0 5.60979991339549 0 5.60979991339549
0	0	0 0 0	48 4 4	0	-1.85 0 0	5.59351221844815 0 0 5.59351221844815 0 5.59351221844815
0	0	0 0 0	49 4 4	0	-1.846875 0 0	5.57735447514789 0 0 5.57735447514789 0 5.57735447514789
