# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 27 2016 at 23:53:07+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Static/1BH_Static_out1D_0.1_dx0.0015625_near/1bh_static_out1D_0.1_dx0.0015625_near/twopunnear_1bh_static_out1D_0.1_dx0.0015625_near_20.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 0 20	0	3 0.46875 0.5	3.53344201693001e-06
0	0	0 0 0	20 1 20	0	3 0.4703125 0.5	3.53344201693001e-06
0	0	0 0 0	20 2 20	0	3 0.471875 0.5	1.48639774100179e-10
0	0	0 0 0	20 3 20	0	3 0.4734375 0.5	-5.51835729889483e-10
0	0	0 0 0	20 4 20	0	3 0.475 0.5	1.44498003840088e-10
0	0	0 0 0	20 5 20	0	3 0.4765625 0.5	7.8362684396982e-11
0	0	0 0 0	20 6 20	0	3 0.478125 0.5	-5.26969426428714e-10
0	0	0 0 0	20 7 20	0	3 0.4796875 0.5	3.17970358376662e-10
0	0	0 0 0	20 8 20	0	3 0.48125 0.5	-2.42107354997412e-10
0	0	0 0 0	20 9 20	0	3 0.4828125 0.5	-2.20146220697437e-10
0	0	0 0 0	20 10 20	0	3 0.484375 0.5	1.60547006244904e-10
0	0	0 0 0	20 11 20	0	3 0.4859375 0.5	1.05638255087914e-10
0	0	0 0 0	20 12 20	0	3 0.4875 0.5	-1.64601950125576e-10
0	0	0 0 0	20 13 20	0	3 0.4890625 0.5	-3.09118022845389e-10
0	0	0 0 0	20 14 20	0	3 0.490625 0.5	-1.43072359515273e-12
0	0	0 0 0	20 15 20	0	3 0.4921875 0.5	-3.66801311546538e-10
0	0	0 0 0	20 16 20	0	3 0.49375 0.5	1.40139989890375e-10
0	0	0 0 0	20 17 20	0	3 0.4953125 0.5	6.7021325989014e-11
0	0	0 0 0	20 18 20	0	3 0.496875 0.5	-1.14313516985654e-10
0	0	0 0 0	20 19 20	0	3 0.4984375 0.5	-3.03869658602185e-10
0	0	0 0 0	20 20 20	0	3 0.5 0.5	-1.60543855987072e-10
0	0	0 0 0	20 21 20	0	3 0.5015625 0.5	1.63569130462449e-10
0	0	0 0 0	20 22 20	0	3 0.503125 0.5	4.29711821681167e-12
0	0	0 0 0	20 23 20	0	3 0.5046875 0.5	2.65107262531483e-10
0	0	0 0 0	20 24 20	0	3 0.50625 0.5	-2.70220408549182e-10
0	0	0 0 0	20 25 20	0	3 0.5078125 0.5	-8.71200334096045e-11
0	0	0 0 0	20 26 20	0	3 0.509375 0.5	1.11300510474699e-10
0	0	0 0 0	20 27 20	0	3 0.5109375 0.5	2.78406908638118e-10
0	0	0 0 0	20 28 20	0	3 0.5125 0.5	-3.4933326370501e-10
0	0	0 0 0	20 29 20	0	3 0.5140625 0.5	-8.24100163110408e-11
0	0	0 0 0	20 30 20	0	3 0.515625 0.5	2.42167230712909e-10
0	0	0 0 0	20 31 20	0	3 0.5171875 0.5	1.40193634479147e-10
0	0	0 0 0	20 32 20	0	3 0.51875 0.5	-4.4443423941054e-10
0	0	0 0 0	20 33 20	0	3 0.5203125 0.5	-1.19356011185623e-10
0	0	0 0 0	20 34 20	0	3 0.521875 0.5	-3.64613686465454e-10
0	0	0 0 0	20 35 20	0	3 0.5234375 0.5	1.72352021543531e-10
0	0	0 0 0	20 36 20	0	3 0.525 0.5	-1.28315164049653e-10
0	0	0 0 0	20 37 20	0	3 0.5265625 0.5	-2.61423792335957e-10
0	0	0 0 0	20 38 20	0	3 0.528125 0.5	-8.90308382572869e-11
0	0	0 0 0	20 39 20	0	3 0.5296875 0.5	2.86024589337547e-06
0	0	0 0 0	20 40 20	0	3 0.53125 0.5	2.86024589337547e-06


