# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 27 2016 at 23:53:21+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Static/1BH_Static_out1D_0.1_dx0.0015625_near/1bh_static_out1D_0.1_dx0.0015625_near/twopunnear_1bh_static_out1D_0.1_dx0.0015625_near_30.par"
#
# ADMBASE::METRIC z (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	20 20 0	0	3 0.5 0.46875	10.7882540507628 0 0 10.7882540507628 0 10.7882540507628
0	0	0 0 0	20 20 1	0	3 0.5 0.4703125	10.7611726693592 0 0 10.7611726693592 0 10.7611726693592
0	0	0 0 0	20 20 2	0	3 0.5 0.471875	10.7341787297198 0 0 10.7341787297198 0 10.7341787297198
0	0	0 0 0	20 20 3	0	3 0.5 0.4734375	10.7072722325902 0 0 10.7072722325902 0 10.7072722325902
0	0	0 0 0	20 20 4	0	3 0.5 0.475	10.6804531728877 0 0 10.6804531728877 0 10.6804531728877
0	0	0 0 0	20 20 5	0	3 0.5 0.4765625	10.6537215397976 0 0 10.6537215397976 0 10.6537215397976
0	0	0 0 0	20 20 6	0	3 0.5 0.478125	10.62707731687 0 0 10.62707731687 0 10.62707731687
0	0	0 0 0	20 20 7	0	3 0.5 0.4796875	10.6005204821149 0 0 10.6005204821149 0 10.6005204821149
0	0	0 0 0	20 20 8	0	3 0.5 0.48125	10.5740510080966 0 0 10.5740510080966 0 10.5740510080966
0	0	0 0 0	20 20 9	0	3 0.5 0.4828125	10.5476688620269 0 0 10.5476688620269 0 10.5476688620269
0	0	0 0 0	20 20 10	0	3 0.5 0.484375	10.5213740058575 0 0 10.5213740058575 0 10.5213740058575
0	0	0 0 0	20 20 11	0	3 0.5 0.4859375	10.4951663963716 0 0 10.4951663963716 0 10.4951663963716
0	0	0 0 0	20 20 12	0	3 0.5 0.4875	10.4690459852739 0 0 10.4690459852739 0 10.4690459852739
0	0	0 0 0	20 20 13	0	3 0.5 0.4890625	10.4430127192804 0 0 10.4430127192804 0 10.4430127192804
0	0	0 0 0	20 20 14	0	3 0.5 0.490625	10.4170665402069 0 0 10.4170665402069 0 10.4170665402069
0	0	0 0 0	20 20 15	0	3 0.5 0.4921875	10.3912073850562 0 0 10.3912073850562 0 10.3912073850562
0	0	0 0 0	20 20 16	0	3 0.5 0.49375	10.3654351861052 0 0 10.3654351861052 0 10.3654351861052
0	0	0 0 0	20 20 17	0	3 0.5 0.4953125	10.33974987099 0 0 10.33974987099 0 10.33974987099
0	0	0 0 0	20 20 18	0	3 0.5 0.496875	10.314151362791 0 0 10.314151362791 0 10.314151362791
0	0	0 0 0	20 20 19	0	3 0.5 0.4984375	10.2886395801163 0 0 10.2886395801163 0 10.2886395801163
0	0	0 0 0	20 20 20	0	3 0.5 0.5	10.2632144371846 0 0 10.2632144371846 0 10.2632144371846
0	0	0 0 0	20 20 21	0	3 0.5 0.5015625	10.2378758439071 0 0 10.2378758439071 0 10.2378758439071
0	0	0 0 0	20 20 22	0	3 0.5 0.503125	10.2126237059682 0 0 10.2126237059682 0 10.2126237059682
0	0	0 0 0	20 20 23	0	3 0.5 0.5046875	10.1874579249059 0 0 10.1874579249059 0 10.1874579249059
0	0	0 0 0	20 20 24	0	3 0.5 0.50625	10.16237839819 0 0 10.16237839819 0 10.16237839819
0	0	0 0 0	20 20 25	0	3 0.5 0.5078125	10.137385019301 0 0 10.137385019301 0 10.137385019301
0	0	0 0 0	20 20 26	0	3 0.5 0.509375	10.112477677807 0 0 10.112477677807 0 10.112477677807
0	0	0 0 0	20 20 27	0	3 0.5 0.5109375	10.0876562594397 0 0 10.0876562594397 0 10.0876562594397
0	0	0 0 0	20 20 28	0	3 0.5 0.5125	10.0629206461702 0 0 10.0629206461702 0 10.0629206461702
0	0	0 0 0	20 20 29	0	3 0.5 0.5140625	10.0382707162829 0 0 10.0382707162829 0 10.0382707162829
0	0	0 0 0	20 20 30	0	3 0.5 0.515625	10.0137063444495 0 0 10.0137063444495 0 10.0137063444495
0	0	0 0 0	20 20 31	0	3 0.5 0.5171875	9.9892274018014 0 0 9.9892274018014 0 9.9892274018014
0	0	0 0 0	20 20 32	0	3 0.5 0.51875	9.96483375600138 0 0 9.96483375600138 0 9.96483375600138
0	0	0 0 0	20 20 33	0	3 0.5 0.5203125	9.94052527131461 0 0 9.94052527131461 0 9.94052527131461
0	0	0 0 0	20 20 34	0	3 0.5 0.521875	9.91630180867843 0 0 9.91630180867843 0 9.91630180867843
0	0	0 0 0	20 20 35	0	3 0.5 0.5234375	9.89216322577157 0 0 9.89216322577157 0 9.89216322577157
0	0	0 0 0	20 20 36	0	3 0.5 0.525	9.86810937708225 0 0 9.86810937708225 0 9.86810937708225
0	0	0 0 0	20 20 37	0	3 0.5 0.5265625	9.84414011397561 0 0 9.84414011397561 0 9.84414011397561
0	0	0 0 0	20 20 38	0	3 0.5 0.528125	9.82025528476012 0 0 9.82025528476012 0 9.82025528476012
0	0	0 0 0	20 20 39	0	3 0.5 0.5296875	9.79645473475323 0 0 9.79645473475323 0 9.79645473475323
0	0	0 0 0	20 20 40	0	3 0.5 0.53125	9.77273830634613 0 0 9.77273830634613 0 9.77273830634613


