# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 27 2016 at 23:54:00+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Static/1BH_Static_out1D_0.1_dx0.0015625_near/1bh_static_out1D_0.1_dx0.0015625_near/twopunnear_1bh_static_out1D_0.1_dx0.0015625_near_40.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	2.96875 0.5 0.5	3.25598828958273e-06
0	0	0 0 0	1 20 20	0	2.9703125 0.5 0.5	3.25598828958273e-06
0	0	0 0 0	2 20 20	0	2.971875 0.5 0.5	-2.87861456893523e-10
0	0	0 0 0	3 20 20	0	2.9734375 0.5 0.5	-1.67820729535251e-10
0	0	0 0 0	4 20 20	0	2.975 0.5 0.5	-1.88230167563752e-10
0	0	0 0 0	5 20 20	0	2.9765625 0.5 0.5	-1.15045264981184e-10
0	0	0 0 0	6 20 20	0	2.978125 0.5 0.5	3.10556275140428e-10
0	0	0 0 0	7 20 20	0	2.9796875 0.5 0.5	-2.84867351929563e-10
0	0	0 0 0	8 20 20	0	2.98125 0.5 0.5	7.57778007010046e-11
0	0	0 0 0	9 20 20	0	2.9828125 0.5 0.5	-5.3703930191773e-11
0	0	0 0 0	10 20 20	0	2.984375 0.5 0.5	-5.08461814319183e-11
0	0	0 0 0	11 20 20	0	2.9859375 0.5 0.5	9.29596538634669e-11
0	0	0 0 0	12 20 20	0	2.9875 0.5 0.5	1.79669265576443e-10
0	0	0 0 0	13 20 20	0	2.9890625 0.5 0.5	-1.52767735961401e-10
0	0	0 0 0	14 20 20	0	2.990625 0.5 0.5	-1.39488566530677e-10
0	0	0 0 0	15 20 20	0	2.9921875 0.5 0.5	-1.30814178933569e-10
0	0	0 0 0	16 20 20	0	2.99375 0.5 0.5	1.02584357675184e-10
0	0	0 0 0	17 20 20	0	2.9953125 0.5 0.5	-2.84626086588524e-10
0	0	0 0 0	18 20 20	0	2.996875 0.5 0.5	1.0531552019355e-10
0	0	0 0 0	19 20 20	0	2.9984375 0.5 0.5	-1.70130173837713e-10
0	0	0 0 0	20 20 20	0	3 0.5 0.5	-1.60543855987072e-10
0	0	0 0 0	21 20 20	0	3.0015625 0.5 0.5	-9.55581863637534e-11
0	0	0 0 0	22 20 20	0	3.003125 0.5 0.5	-3.17201750976714e-10
0	0	0 0 0	23 20 20	0	3.0046875 0.5 0.5	-9.88030074422497e-11
0	0	0 0 0	24 20 20	0	3.00625 0.5 0.5	-1.16098075597648e-10
0	0	0 0 0	25 20 20	0	3.0078125 0.5 0.5	-1.53093232535539e-11
0	0	0 0 0	26 20 20	0	3.009375 0.5 0.5	-3.66590632849828e-10
0	0	0 0 0	27 20 20	0	3.0109375 0.5 0.5	6.06111827394784e-11
0	0	0 0 0	28 20 20	0	3.0125 0.5 0.5	-5.34134958485311e-11
0	0	0 0 0	29 20 20	0	3.0140625 0.5 0.5	-3.79534764727296e-10
0	0	0 0 0	30 20 20	0	3.015625 0.5 0.5	-1.19721878244494e-10
0	0	0 0 0	31 20 20	0	3.0171875 0.5 0.5	-3.94578952844782e-11
0	0	0 0 0	32 20 20	0	3.01875 0.5 0.5	1.82402655479752e-10
0	0	0 0 0	33 20 20	0	3.0203125 0.5 0.5	-4.08436229282216e-10
0	0	0 0 0	34 20 20	0	3.021875 0.5 0.5	-2.53547668971343e-11
0	0	0 0 0	35 20 20	0	3.0234375 0.5 0.5	2.40869546530575e-11
0	0	0 0 0	36 20 20	0	3.025 0.5 0.5	-3.10859386842832e-10
0	0	0 0 0	37 20 20	0	3.0265625 0.5 0.5	-5.19058268588779e-11
0	0	0 0 0	38 20 20	0	3.028125 0.5 0.5	-7.67408359081401e-11
0	0	0 0 0	39 20 20	0	3.0296875 0.5 0.5	3.25822105846918e-06
0	0	0 0 0	40 20 20	0	3.03125 0.5 0.5	3.25822105846918e-06


