# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 07 2016 at 19:57:21+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Static/1BH_Static_out1D_0.1_near/1bh_static_out1D_0.1_near/manybhnear_1bh_static_out1D_0.1_near_12x13x17.par"
#
# ADMBASE::METRIC y (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	20 0 20	0	3 0.4375 0.5	9.4342662607353 0 0 9.4342662607353 0 9.4342662607353
0	0	0 0 0	20 1 20	0	3 0.440625 0.5	9.38422883640954 0 0 9.38422883640954 0 9.38422883640954
0	0	0 0 0	20 2 20	0	3 0.44375 0.5	9.33450043364801 0 0 9.33450043364801 0 9.33450043364801
0	0	0 0 0	20 3 20	0	3 0.446875 0.5	9.28508183069719 0 0 9.28508183069719 0 9.28508183069719
0	0	0 0 0	20 4 20	0	3 0.45 0.5	9.23597369705163 0 0 9.23597369705163 0 9.23597369705163
0	0	0 0 0	20 5 20	0	3 0.453125 0.5	9.18717659672138 0 0 9.18717659672138 0 9.18717659672138
0	0	0 0 0	20 6 20	0	3 0.45625 0.5	9.1386909914451 0 0 9.1386909914451 0 9.1386909914451
0	0	0 0 0	20 7 20	0	3 0.459375 0.5	9.09051724384837 0 0 9.09051724384837 0 9.09051724384837
0	0	0 0 0	20 8 20	0	3 0.4625 0.5	9.04265562054662 0 0 9.04265562054662 0 9.04265562054662
0	0	0 0 0	20 9 20	0	3 0.465625 0.5	8.99510629519206 0 0 8.99510629519206 0 8.99510629519206
0	0	0 0 0	20 10 20	0	3 0.46875 0.5	8.94786935146455 0 0 8.94786935146455 0 8.94786935146455
0	0	0 0 0	20 11 20	0	3 0.471875 0.5	8.9009447860059 0 0 8.9009447860059 0 8.9009447860059
0	0	0 0 0	20 12 20	0	3 0.475 0.5	8.85433251129743 0 0 8.85433251129743 0 8.85433251129743
0	0	0 0 0	20 13 20	0	3 0.478125 0.5	8.80803235848089 0 0 8.80803235848089 0 8.80803235848089
0	0	0 0 0	20 14 20	0	3 0.48125 0.5	8.76204408012243 0 0 8.76204408012243 0 8.76204408012243
0	0	0 0 0	20 15 20	0	3 0.484375 0.5	8.71636735291986 0 0 8.71636735291986 0 8.71636735291986
0	0	0 0 0	20 16 20	0	3 0.4875 0.5	8.67100178035319 0 0 8.67100178035319 0 8.67100178035319
0	0	0 0 0	20 17 20	0	3 0.490625 0.5	8.62594689527879 0 0 8.62594689527879 0 8.62594689527879
0	0	0 0 0	20 18 20	0	3 0.49375 0.5	8.58120216246709 0 0 8.58120216246709 0 8.58120216246709
0	0	0 0 0	20 19 20	0	3 0.496875 0.5	8.53676698108445 0 0 8.53676698108445 0 8.53676698108445
0	0	0 0 0	20 20 20	0	3 0.5 0.5	8.49264068711928 0 0 8.49264068711928 0 8.49264068711928
0	0	0 0 0	20 21 20	0	3 0.503125 0.5	8.448822555753 0 0 8.448822555753 0 8.448822555753
0	0	0 0 0	20 22 20	0	3 0.50625 0.5	8.40531180367598 0 0 8.40531180367598 0 8.40531180367598
0	0	0 0 0	20 23 20	0	3 0.509375 0.5	8.36210759134932 0 0 8.36210759134932 0 8.36210759134932
0	0	0 0 0	20 24 20	0	3 0.5125 0.5	8.31920902521256 0 0 8.31920902521256 0 8.31920902521256
0	0	0 0 0	20 25 20	0	3 0.515625 0.5	8.27661515983825 0 0 8.27661515983825 0 8.27661515983825
0	0	0 0 0	20 26 20	0	3 0.51875 0.5	8.23432500003364 0 0 8.23432500003364 0 8.23432500003364
0	0	0 0 0	20 27 20	0	3 0.521875 0.5	8.19233750289033 0 0 8.19233750289033 0 8.19233750289033
0	0	0 0 0	20 28 20	0	3 0.525 0.5	8.15065157978229 0 0 8.15065157978229 0 8.15065157978229
0	0	0 0 0	20 29 20	0	3 0.528125 0.5	8.10926609831323 0 0 8.10926609831323 0 8.10926609831323
0	0	0 0 0	20 30 20	0	3 0.53125 0.5	8.06817988421357 0 0 8.06817988421357 0 8.06817988421357
0	0	0 0 0	20 31 20	0	3 0.534375 0.5	8.02739172318815 0 0 8.02739172318815 0 8.02739172318815
0	0	0 0 0	20 32 20	0	3 0.5375 0.5	7.98690036271507 0 0 7.98690036271507 0 7.98690036271507
0	0	0 0 0	20 33 20	0	3 0.540625 0.5	7.94670451379655 0 0 7.94670451379655 0 7.94670451379655
0	0	0 0 0	20 34 20	0	3 0.54375 0.5	7.90680285266257 0 0 7.90680285266257 0 7.90680285266257
0	0	0 0 0	20 35 20	0	3 0.546875 0.5	7.86719402242798 0 0 7.86719402242798 0 7.86719402242798
0	0	0 0 0	20 36 20	0	3 0.55 0.5	7.82787663470383 0 0 7.82787663470383 0 7.82787663470383
0	0	0 0 0	20 37 20	0	3 0.553125 0.5	7.78884927116388 0 0 7.78884927116388 0 7.78884927116388
0	0	0 0 0	20 38 20	0	3 0.55625 0.5	7.75011048506686 0 0 7.75011048506686 0 7.75011048506686
0	0	0 0 0	20 39 20	0	3 0.559375 0.5	7.71165880273538 0 0 7.71165880273538 0 7.71165880273538
0	0	0 0 0	20 40 20	0	3 0.5625 0.5	7.67349272499229 0 0 7.67349272499229 0 7.67349272499229


