# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 07 2016 at 19:57:19+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Static/1BH_Static_out1D_0.1_near/1bh_static_out1D_0.1_near/twopunnear_1bh_static_out1D_0.1_near_40.par"
#
# ADMBASE::METRIC x (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	0 20 20	0	2.9375 0.5 0.5	10.2200018367309 0 0 10.2200018367309 0 10.2200018367309
0	0	0 0 0	1 20 20	0	2.940625 0.5 0.5	10.2251005305262 0 0 10.2251005305262 0 10.2251005305262
0	0	0 0 0	2 20 20	0	2.94375 0.5 0.5	10.22989604104 0 0 10.22989604104 0 10.22989604104
0	0	0 0 0	3 20 20	0	2.946875 0.5 0.5	10.2343870455886 0 0 10.2343870455886 0 10.2343870455886
0	0	0 0 0	4 20 20	0	2.95 0.5 0.5	10.2385722918853 0 0 10.2385722918853 0 10.2385722918853
0	0	0 0 0	5 20 20	0	2.953125 0.5 0.5	10.2424505988129 0 0 10.2424505988129 0 10.2424505988129
0	0	0 0 0	6 20 20	0	2.95625 0.5 0.5	10.2460208571545 0 0 10.2460208571545 0 10.2460208571545
0	0	0 0 0	7 20 20	0	2.959375 0.5 0.5	10.2492820302841 0 0 10.2492820302841 0 10.2492820302841
0	0	0 0 0	8 20 20	0	2.9625 0.5 0.5	10.2522331548132 0 0 10.2522331548132 0 10.2522331548132
0	0	0 0 0	9 20 20	0	2.965625 0.5 0.5	10.2548733411957 0 0 10.2548733411957 0 10.2548733411957
0	0	0 0 0	10 20 20	0	2.96875 0.5 0.5	10.2572017742886 0 0 10.2572017742886 0 10.2572017742886
0	0	0 0 0	11 20 20	0	2.971875 0.5 0.5	10.2592177138675 0 0 10.2592177138675 0 10.2592177138675
0	0	0 0 0	12 20 20	0	2.975 0.5 0.5	10.2609204950984 0 0 10.2609204950984 0 10.2609204950984
0	0	0 0 0	13 20 20	0	2.978125 0.5 0.5	10.2623095289629 0 0 10.2623095289629 0 10.2623095289629
0	0	0 0 0	14 20 20	0	2.98125 0.5 0.5	10.2633843026375 0 0 10.2633843026375 0 10.2633843026375
0	0	0 0 0	15 20 20	0	2.984375 0.5 0.5	10.264144379827 0 0 10.264144379827 0 10.264144379827
0	0	0 0 0	16 20 20	0	2.9875 0.5 0.5	10.26458940105 0 0 10.26458940105 0 10.26458940105
0	0	0 0 0	17 20 20	0	2.990625 0.5 0.5	10.2647190838783 0 0 10.2647190838783 0 10.2647190838783
0	0	0 0 0	18 20 20	0	2.99375 0.5 0.5	10.2645332231274 0 0 10.2645332231274 0 10.2645332231274
0	0	0 0 0	19 20 20	0	2.996875 0.5 0.5	10.2640316910007 0 0 10.2640316910007 0 10.2640316910007
0	0	0 0 0	20 20 20	0	3 0.5 0.5	10.2632144371846 0 0 10.2632144371846 0 10.2632144371846
0	0	0 0 0	21 20 20	0	3.003125 0.5 0.5	10.2620814888962 0 0 10.2620814888962 0 10.2620814888962
0	0	0 0 0	22 20 20	0	3.00625 0.5 0.5	10.2606329508826 0 0 10.2606329508826 0 10.2606329508826
0	0	0 0 0	23 20 20	0	3.009375 0.5 0.5	10.2588690053721 0 0 10.2588690053721 0 10.2588690053721
0	0	0 0 0	24 20 20	0	3.0125 0.5 0.5	10.2567899119777 0 0 10.2567899119777 0 10.2567899119777
0	0	0 0 0	25 20 20	0	3.015625 0.5 0.5	10.2543960075517 0 0 10.2543960075517 0 10.2543960075517
0	0	0 0 0	26 20 20	0	3.01875 0.5 0.5	10.2516877059938 0 0 10.2516877059938 0 10.2516877059938
0	0	0 0 0	27 20 20	0	3.021875 0.5 0.5	10.2486654980101 0 0 10.2486654980101 0 10.2486654980101
0	0	0 0 0	28 20 20	0	3.025 0.5 0.5	10.2453299508263 0 0 10.2453299508263 0 10.2453299508263
0	0	0 0 0	29 20 20	0	3.028125 0.5 0.5	10.2416817078527 0 0 10.2416817078527 0 10.2416817078527
0	0	0 0 0	30 20 20	0	3.03125 0.5 0.5	10.237721488303 0 0 10.237721488303 0 10.237721488303
0	0	0 0 0	31 20 20	0	3.034375 0.5 0.5	10.2334500867671 0 0 10.2334500867671 0 10.2334500867671
0	0	0 0 0	32 20 20	0	3.0375 0.5 0.5	10.2288683727377 0 0 10.2288683727377 0 10.2288683727377
0	0	0 0 0	33 20 20	0	3.040625 0.5 0.5	10.2239772900926 0 0 10.2239772900926 0 10.2239772900926
0	0	0 0 0	34 20 20	0	3.04375 0.5 0.5	10.2187778565307 0 0 10.2187778565307 0 10.2187778565307
0	0	0 0 0	35 20 20	0	3.046875 0.5 0.5	10.2132711629664 0 0 10.2132711629664 0 10.2132711629664
0	0	0 0 0	36 20 20	0	3.05 0.5 0.5	10.2074583728784 0 0 10.2074583728784 0 10.2074583728784
0	0	0 0 0	37 20 20	0	3.053125 0.5 0.5	10.2013407216176 0 0 10.2013407216176 0 10.2013407216176
0	0	0 0 0	38 20 20	0	3.05625 0.5 0.5	10.194919515672 0 0 10.194919515672 0 10.194919515672
0	0	0 0 0	39 20 20	0	3.059375 0.5 0.5	10.188196131892 0 0 10.188196131892 0 10.188196131892
0	0	0 0 0	40 20 20	0	3.0625 0.5 0.5	10.1811720166741 0 0 10.1811720166741 0 10.1811720166741


