# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 28 2016 at 10:05:46+0000
# parameter filename: "/home/admin/simulations/THREE_BH/3bh_with_p/3bh_nps_pinall/manybhfar_3bh_nps_pinall_12x13x17.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 0 20	0	2 8.5696068 -2.2642136	-2.56607105938891e-07
0	0	0 0 0	20 1 20	0	2 8.5727318 -2.2642136	-2.56607105938891e-07
0	0	0 0 0	20 2 20	0	2 8.5758568 -2.2642136	-2.56565163241949e-07
0	0	0 0 0	20 3 20	0	2 8.5789818 -2.2642136	-2.57150815781629e-07
0	0	0 0 0	20 4 20	0	2 8.5821068 -2.2642136	-2.56416224599378e-07
0	0	0 0 0	20 5 20	0	2 8.5852318 -2.2642136	-2.57600086281635e-07
0	0	0 0 0	20 6 20	0	2 8.5883568 -2.2642136	-2.57886396048674e-07
0	0	0 0 0	20 7 20	0	2 8.5914818 -2.2642136	-2.58808169012826e-07
0	0	0 0 0	20 8 20	0	2 8.5946068 -2.2642136	-2.58658242295123e-07
0	0	0 0 0	20 9 20	0	2 8.5977318 -2.2642136	-2.58372726610079e-07
0	0	0 0 0	20 10 20	0	2 8.6008568 -2.2642136	-2.60677758466911e-07
0	0	0 0 0	20 11 20	0	2 8.6039818 -2.2642136	-2.60030054240134e-07
0	0	0 0 0	20 12 20	0	2 8.6071068 -2.2642136	-2.60264075753653e-07
0	0	0 0 0	20 13 20	0	2 8.6102318 -2.2642136	-2.6078111192243e-07
0	0	0 0 0	20 14 20	0	2 8.6133568 -2.2642136	-2.61920148386262e-07
0	0	0 0 0	20 15 20	0	2 8.6164818 -2.2642136	-2.62315528457391e-07
0	0	0 0 0	20 16 20	0	2 8.6196068 -2.2642136	-2.61028014726575e-07
0	0	0 0 0	20 17 20	0	2 8.6227318 -2.2642136	-2.63083888399703e-07
0	0	0 0 0	20 18 20	0	2 8.6258568 -2.2642136	-2.63197364147997e-07
0	0	0 0 0	20 19 20	0	2 8.6289818 -2.2642136	-2.62900640021389e-07
0	0	0 0 0	20 20 20	0	2 8.6321068 -2.2642136	-2.63640337258345e-07
0	0	0 0 0	20 21 20	0	2 8.6352318 -2.2642136	-2.64732738451335e-07
0	0	0 0 0	20 22 20	0	2 8.6383568 -2.2642136	-2.64471925921315e-07
0	0	0 0 0	20 23 20	0	2 8.6414818 -2.2642136	-2.65497136436824e-07
0	0	0 0 0	20 24 20	0	2 8.6446068 -2.2642136	-2.66358004804062e-07
0	0	0 0 0	20 25 20	0	2 8.6477318 -2.2642136	-2.65519311755753e-07
0	0	0 0 0	20 26 20	0	2 8.6508568 -2.2642136	-2.65619936159992e-07
0	0	0 0 0	20 27 20	0	2 8.6539818 -2.2642136	-2.66998437310121e-07
0	0	0 0 0	20 28 20	0	2 8.6571068 -2.2642136	-2.67182721864775e-07
0	0	0 0 0	20 29 20	0	2 8.6602318 -2.2642136	-2.67703997412199e-07
0	0	0 0 0	20 30 20	0	2 8.6633568 -2.2642136	-2.68475056396966e-07
0	0	0 0 0	20 31 20	0	2 8.6664818 -2.2642136	-2.68812632542439e-07
0	0	0 0 0	20 32 20	0	2 8.6696068 -2.2642136	-2.68799962666567e-07
0	0	0 0 0	20 33 20	0	2 8.6727318 -2.2642136	-2.6979746465618e-07
0	0	0 0 0	20 34 20	0	2 8.6758568 -2.2642136	-2.69674415963881e-07
0	0	0 0 0	20 35 20	0	2 8.6789818 -2.2642136	-2.70472302622941e-07
0	0	0 0 0	20 36 20	0	2 8.6821068 -2.2642136	-2.70060630505503e-07
0	0	0 0 0	20 37 20	0	2 8.6852318 -2.2642136	-2.71502241417398e-07
0	0	0 0 0	20 38 20	0	2 8.6883568 -2.2642136	-2.71730307150909e-07
0	0	0 0 0	20 39 20	0	2 8.6914818 -2.2642136	-2.71878250028955e-07
0	0	0 0 0	20 40 20	0	2 8.6946068 -2.2642136	-2.71878250028955e-07


