# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 28 2016 at 10:05:46+0000
# parameter filename: "/home/admin/simulations/THREE_BH/3bh_with_p/3bh_nps_pinall/manybhfar_3bh_nps_pinall_12x13x17.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 20 0	0	2 8.6321068 -2.3267136	-2.63114928390481e-07
0	0	0 0 0	20 20 1	0	2 8.6321068 -2.3235886	-2.63114928390481e-07
0	0	0 0 0	20 20 2	0	2 8.6321068 -2.3204636	-2.63344274032853e-07
0	0	0 0 0	20 20 3	0	2 8.6321068 -2.3173386	-2.6284386614768e-07
0	0	0 0 0	20 20 4	0	2 8.6321068 -2.3142136	-2.63470787847485e-07
0	0	0 0 0	20 20 5	0	2 8.6321068 -2.3110886	-2.62070856410269e-07
0	0	0 0 0	20 20 6	0	2 8.6321068 -2.3079636	-2.63759357668224e-07
0	0	0 0 0	20 20 7	0	2 8.6321068 -2.3048386	-2.62483807963129e-07
0	0	0 0 0	20 20 8	0	2 8.6321068 -2.3017136	-2.63785431814362e-07
0	0	0 0 0	20 20 9	0	2 8.6321068 -2.2985886	-2.63402245938337e-07
0	0	0 0 0	20 20 10	0	2 8.6321068 -2.2954636	-2.62527939481108e-07
0	0	0 0 0	20 20 11	0	2 8.6321068 -2.2923386	-2.64145916412094e-07
0	0	0 0 0	20 20 12	0	2 8.6321068 -2.2892136	-2.63312805818974e-07
0	0	0 0 0	20 20 13	0	2 8.6321068 -2.2860886	-2.63949510400275e-07
0	0	0 0 0	20 20 14	0	2 8.6321068 -2.2829636	-2.6324370174149e-07
0	0	0 0 0	20 20 15	0	2 8.6321068 -2.2798386	-2.62985377598112e-07
0	0	0 0 0	20 20 16	0	2 8.6321068 -2.2767136	-2.63941668469879e-07
0	0	0 0 0	20 20 17	0	2 8.6321068 -2.2735886	-2.63215343615362e-07
0	0	0 0 0	20 20 18	0	2 8.6321068 -2.2704636	-2.63874436077689e-07
0	0	0 0 0	20 20 19	0	2 8.6321068 -2.2673386	-2.63021900670219e-07
0	0	0 0 0	20 20 20	0	2 8.6321068 -2.2642136	-2.63640337258345e-07
0	0	0 0 0	20 20 21	0	2 8.6321068 -2.2610886	-2.64536943017304e-07
0	0	0 0 0	20 20 22	0	2 8.6321068 -2.2579636	-2.63581928570439e-07
0	0	0 0 0	20 20 23	0	2 8.6321068 -2.2548386	-2.64013176528566e-07
0	0	0 0 0	20 20 24	0	2 8.6321068 -2.2517136	-2.64382460149793e-07
0	0	0 0 0	20 20 25	0	2 8.6321068 -2.2485886	-2.63667721275655e-07
0	0	0 0 0	20 20 26	0	2 8.6321068 -2.2454636	-2.64936049098448e-07
0	0	0 0 0	20 20 27	0	2 8.6321068 -2.2423386	-2.63587466916475e-07
0	0	0 0 0	20 20 28	0	2 8.6321068 -2.2392136	-2.64222301186893e-07
0	0	0 0 0	20 20 29	0	2 8.6321068 -2.2360886	-2.64370373031402e-07
0	0	0 0 0	20 20 30	0	2 8.6321068 -2.2329636	-2.6437263295349e-07
0	0	0 0 0	20 20 31	0	2 8.6321068 -2.2298386	-2.6405899151928e-07
0	0	0 0 0	20 20 32	0	2 8.6321068 -2.2267136	-2.64196232998e-07
0	0	0 0 0	20 20 33	0	2 8.6321068 -2.2235886	-2.63677347982716e-07
0	0	0 0 0	20 20 34	0	2 8.6321068 -2.2204636	-2.63780087551918e-07
0	0	0 0 0	20 20 35	0	2 8.6321068 -2.2173386	-2.64845262669807e-07
0	0	0 0 0	20 20 36	0	2 8.6321068 -2.2142136	-2.64403389730789e-07
0	0	0 0 0	20 20 37	0	2 8.6321068 -2.2110886	-2.64413421808153e-07
0	0	0 0 0	20 20 38	0	2 8.6321068 -2.2079636	-2.64960704681595e-07
0	0	0 0 0	20 20 39	0	2 8.6321068 -2.2048386	-2.64794328168246e-07
0	0	0 0 0	20 20 40	0	2 8.6321068 -2.2017136	-2.64794328168246e-07


