# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 28 2016 at 10:05:23+0000
# parameter filename: "/home/admin/simulations/THREE_BH/3bh_with_p/3bh_nps_pinall/manybhfar_3bh_nps_pinall_4x5x9.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	1.9375 8.6321068 -2.2642136	-1.55524139792279e-07
0	0	0 0 0	1 20 20	0	1.940625 8.6321068 -2.2642136	-1.55524139792279e-07
0	0	0 0 0	2 20 20	0	1.94375 8.6321068 -2.2642136	-1.55421405913483e-07
0	0	0 0 0	3 20 20	0	1.946875 8.6321068 -2.2642136	-1.54922242286493e-07
0	0	0 0 0	4 20 20	0	1.95 8.6321068 -2.2642136	-1.56086488381718e-07
0	0	0 0 0	5 20 20	0	1.953125 8.6321068 -2.2642136	-1.54741076448938e-07
0	0	0 0 0	6 20 20	0	1.95625 8.6321068 -2.2642136	-1.53866374112305e-07
0	0	0 0 0	7 20 20	0	1.959375 8.6321068 -2.2642136	-1.551655803803e-07
0	0	0 0 0	8 20 20	0	1.9625 8.6321068 -2.2642136	-1.54124597765403e-07
0	0	0 0 0	9 20 20	0	1.965625 8.6321068 -2.2642136	-1.54831348810291e-07
0	0	0 0 0	10 20 20	0	1.96875 8.6321068 -2.2642136	-1.54134242579279e-07
0	0	0 0 0	11 20 20	0	1.971875 8.6321068 -2.2642136	-1.5373651537696e-07
0	0	0 0 0	12 20 20	0	1.975 8.6321068 -2.2642136	-1.53637974726828e-07
0	0	0 0 0	13 20 20	0	1.978125 8.6321068 -2.2642136	-1.54008804567468e-07
0	0	0 0 0	14 20 20	0	1.98125 8.6321068 -2.2642136	-1.53656219056941e-07
0	0	0 0 0	15 20 20	0	1.984375 8.6321068 -2.2642136	-1.53602197575128e-07
0	0	0 0 0	16 20 20	0	1.9875 8.6321068 -2.2642136	-1.53335429439904e-07
0	0	0 0 0	17 20 20	0	1.990625 8.6321068 -2.2642136	-1.52259283013196e-07
0	0	0 0 0	18 20 20	0	1.99375 8.6321068 -2.2642136	-1.52759004191418e-07
0	0	0 0 0	19 20 20	0	1.996875 8.6321068 -2.2642136	-1.53130533333339e-07
0	0	0 0 0	20 20 20	0	2 8.6321068 -2.2642136	-1.52436413503484e-07
0	0	0 0 0	21 20 20	0	2.003125 8.6321068 -2.2642136	-1.52210014814712e-07
0	0	0 0 0	22 20 20	0	2.00625 8.6321068 -2.2642136	-1.51769513063548e-07
0	0	0 0 0	23 20 20	0	2.009375 8.6321068 -2.2642136	-1.52392809663683e-07
0	0	0 0 0	24 20 20	0	2.0125 8.6321068 -2.2642136	-1.51693862544077e-07
0	0	0 0 0	25 20 20	0	2.015625 8.6321068 -2.2642136	-1.51120970853478e-07
0	0	0 0 0	26 20 20	0	2.01875 8.6321068 -2.2642136	-1.50588732210093e-07
0	0	0 0 0	27 20 20	0	2.021875 8.6321068 -2.2642136	-1.50437793645456e-07
0	0	0 0 0	28 20 20	0	2.025 8.6321068 -2.2642136	-1.513497827792e-07
0	0	0 0 0	29 20 20	0	2.028125 8.6321068 -2.2642136	-1.50256462104178e-07
0	0	0 0 0	30 20 20	0	2.03125 8.6321068 -2.2642136	-1.50481320050429e-07
0	0	0 0 0	31 20 20	0	2.034375 8.6321068 -2.2642136	-1.50404881682248e-07
0	0	0 0 0	32 20 20	0	2.0375 8.6321068 -2.2642136	-1.50623550290256e-07
0	0	0 0 0	33 20 20	0	2.040625 8.6321068 -2.2642136	-1.4926194799755e-07
0	0	0 0 0	34 20 20	0	2.04375 8.6321068 -2.2642136	-1.49558765351164e-07
0	0	0 0 0	35 20 20	0	2.046875 8.6321068 -2.2642136	-1.49382933881525e-07
0	0	0 0 0	36 20 20	0	2.05 8.6321068 -2.2642136	-1.49501378862564e-07
0	0	0 0 0	37 20 20	0	2.053125 8.6321068 -2.2642136	-1.48464735334904e-07
0	0	0 0 0	38 20 20	0	2.05625 8.6321068 -2.2642136	-1.48830144072721e-07
0	0	0 0 0	39 20 20	0	2.059375 8.6321068 -2.2642136	-1.49049758598349e-07
0	0	0 0 0	40 20 20	0	2.0625 8.6321068 -2.2642136	-1.49049758598349e-07


