# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 28 2016 at 08:25:55+0000
# parameter filename: "/home/admin/simulations/THREE_BH/3bh_with_p/3bh_nps_pinall/manybhmid_3bh_nps_pinall_16x17x25.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 4 4	0	-2 3.6338925142857 -7.26242788571413	-6.64682931514243e-09
0	0	0 0 0	1 4 4	0	-1.996875 3.6338925142857 -7.26242788571413	-6.64682931514243e-09
0	0	0 0 0	2 4 4	0	-1.99375 3.6338925142857 -7.26242788571413	-7.85163176823595e-09
0	0	0 0 0	3 4 4	0	-1.990625 3.6338925142857 -7.26242788571413	-6.48552965368093e-09
0	0	0 0 0	4 4 4	0	-1.9875 3.6338925142857 -7.26242788571413	-6.78786305397103e-09
0	0	0 0 0	5 4 4	0	-1.984375 3.6338925142857 -7.26242788571413	-7.40596191805925e-09
0	0	0 0 0	6 4 4	0	-1.98125 3.6338925142857 -7.26242788571413	-7.39882084023856e-09
0	0	0 0 0	7 4 4	0	-1.978125 3.6338925142857 -7.26242788571413	-6.3704570552862e-09
0	0	0 0 0	8 4 4	0	-1.975 3.6338925142857 -7.26242788571413	-7.63067339761667e-09
0	0	0 0 0	9 4 4	0	-1.971875 3.6338925142857 -7.26242788571413	-6.02033291510865e-09
0	0	0 0 0	10 4 4	0	-1.96875 3.6338925142857 -7.26242788571413	-7.15270085943145e-09
0	0	0 0 0	11 4 4	0	-1.965625 3.6338925142857 -7.26242788571413	-6.34984397189398e-09
0	0	0 0 0	12 4 4	0	-1.9625 3.6338925142857 -7.26242788571413	-6.62202061564717e-09
0	0	0 0 0	13 4 4	0	-1.959375 3.6338925142857 -7.26242788571413	-6.81961743463801e-09
0	0	0 0 0	14 4 4	0	-1.95625 3.6338925142857 -7.26242788571413	-7.42374036066267e-09
0	0	0 0 0	15 4 4	0	-1.953125 3.6338925142857 -7.26242788571413	-6.32260626457953e-09
0	0	0 0 0	16 4 4	0	-1.95 3.6338925142857 -7.26242788571413	-7.34381775447844e-09
0	0	0 0 0	17 4 4	0	-1.946875 3.6338925142857 -7.26242788571413	-6.96489432899355e-09
0	0	0 0 0	18 4 4	0	-1.94375 3.6338925142857 -7.26242788571413	-6.84772766214821e-09
0	0	0 0 0	19 4 4	0	-1.940625 3.6338925142857 -7.26242788571413	-7.05191079293607e-09
0	0	0 0 0	20 4 4	0	-1.9375 3.6338925142857 -7.26242788571413	-7.54478139676173e-09
0	0	0 0 0	21 4 4	0	-1.934375 3.6338925142857 -7.26242788571413	-7.2733327447183e-09
0	0	0 0 0	22 4 4	0	-1.93125 3.6338925142857 -7.26242788571413	-6.87902893170113e-09
0	0	0 0 0	23 4 4	0	-1.928125 3.6338925142857 -7.26242788571413	-7.53262622547245e-09
0	0	0 0 0	24 4 4	0	-1.925 3.6338925142857 -7.26242788571413	-6.78614296639218e-09
0	0	0 0 0	25 4 4	0	-1.921875 3.6338925142857 -7.26242788571413	-7.28480547715966e-09
0	0	0 0 0	26 4 4	0	-1.91875 3.6338925142857 -7.26242788571413	-7.16389486825134e-09
0	0	0 0 0	27 4 4	0	-1.915625 3.6338925142857 -7.26242788571413	-7.5615229517022e-09
0	0	0 0 0	28 4 4	0	-1.9125 3.6338925142857 -7.26242788571413	-6.57470726165177e-09
0	0	0 0 0	29 4 4	0	-1.909375 3.6338925142857 -7.26242788571413	-7.14375146891394e-09
0	0	0 0 0	30 4 4	0	-1.90625 3.6338925142857 -7.26242788571413	-7.56860178013816e-09
0	0	0 0 0	31 4 4	0	-1.903125 3.6338925142857 -7.26242788571413	-7.36252933880476e-09
0	0	0 0 0	32 4 4	0	-1.9 3.6338925142857 -7.26242788571413	-6.92145337079216e-09
0	0	0 0 0	33 4 4	0	-1.896875 3.6338925142857 -7.26242788571413	-6.5873532363919e-09
0	0	0 0 0	34 4 4	0	-1.89375 3.6338925142857 -7.26242788571413	-7.39750250765879e-09
0	0	0 0 0	35 4 4	0	-1.890625 3.6338925142857 -7.26242788571413	-6.77499662172686e-09
0	0	0 0 0	36 4 4	0	-1.8875 3.6338925142857 -7.26242788571413	-7.43578042758637e-09
0	0	0 0 0	37 4 4	0	-1.884375 3.6338925142857 -7.26242788571413	-7.23577199547967e-09
0	0	0 0 0	38 4 4	0	-1.88125 3.6338925142857 -7.26242788571413	-7.81102322488939e-09
0	0	0 0 0	39 4 4	0	-1.878125 3.6338925142857 -7.26242788571413	-7.27433430719702e-09
0	0	0 0 0	40 4 4	0	-1.875 3.6338925142857 -7.26242788571413	-6.68424438163016e-09
0	0	0 0 0	41 4 4	0	-1.871875 3.6338925142857 -7.26242788571413	-6.29189457690384e-09
0	0	0 0 0	42 4 4	0	-1.86875 3.6338925142857 -7.26242788571413	-7.14016746619933e-09
0	0	0 0 0	43 4 4	0	-1.865625 3.6338925142857 -7.26242788571413	-7.6781812890592e-09
0	0	0 0 0	44 4 4	0	-1.8625 3.6338925142857 -7.26242788571413	-6.28132650410961e-09
0	0	0 0 0	45 4 4	0	-1.859375 3.6338925142857 -7.26242788571413	-7.88871847891953e-09
0	0	0 0 0	46 4 4	0	-1.85625 3.6338925142857 -7.26242788571413	-7.60380604481374e-09
0	0	0 0 0	47 4 4	0	-1.853125 3.6338925142857 -7.26242788571413	-7.07816935955216e-09
0	0	0 0 0	48 4 4	0	-1.85 3.6338925142857 -7.26242788571413	-7.46673785777615e-09
0	0	0 0 0	49 4 4	0	-1.846875 3.6338925142857 -7.26242788571413	-6.97892490920039e-09
0	0	0 0 0	50 4 4	0	-1.84375 3.6338925142857 -7.26242788571413	-8.15301303731508e-09
0	0	0 0 0	51 4 4	0	-1.840625 3.6338925142857 -7.26242788571413	-6.9169884358697e-09
0	0	0 0 0	52 4 4	0	-1.8375 3.6338925142857 -7.26242788571413	-7.64220159055881e-09
0	0	0 0 0	53 4 4	0	-1.834375 3.6338925142857 -7.26242788571413	-7.58183734494211e-09
0	0	0 0 0	54 4 4	0	-1.83125 3.6338925142857 -7.26242788571413	-6.98704405553202e-09
0	0	0 0 0	55 4 4	0	-1.828125 3.6338925142857 -7.26242788571413	-7.41277407850057e-09
0	0	0 0 0	56 4 4	0	-1.825 3.6338925142857 -7.26242788571413	-6.57766215545737e-09
0	0	0 0 0	57 4 4	0	-1.821875 3.6338925142857 -7.26242788571413	-8.00303062750059e-09
0	0	0 0 0	58 4 4	0	-1.81875 3.6338925142857 -7.26242788571413	-6.99143143515051e-09
0	0	0 0 0	59 4 4	0	-1.815625 3.6338925142857 -7.26242788571413	-7.98915012292904e-09
0	0	0 0 0	60 4 4	0	-1.8125 3.6338925142857 -7.26242788571413	-7.5118161099864e-09
0	0	0 0 0	61 4 4	0	-1.809375 3.6338925142857 -7.26242788571413	-6.95402788796527e-09
0	0	0 0 0	62 4 4	0	-1.80625 3.6338925142857 -7.26242788571413	-7.37979182812991e-09
0	0	0 0 0	63 4 4	0	-1.803125 3.6338925142857 -7.26242788571413	-6.95048766829943e-09
0	0	0 0 0	64 4 4	0	-1.8 3.6338925142857 -7.26242788571413	-7.97995545520185e-09
0	0	0 0 0	65 4 4	0	-1.796875 3.6338925142857 -7.26242788571413	-6.87189159286852e-09
