# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 28 2016 at 06:44:21+0000
# parameter filename: "/home/admin/simulations/THREE_BH/3bh_with_p/3bh_nps_pinall/manybhnear_3bh_nps_pinall_12x13x17.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 0 20	0	0 4.0696068 -6.7642136	2.1783083211489e-08
0	0	0 0 0	20 1 20	0	0 4.0727318 -6.7642136	2.1783083211489e-08
0	0	0 0 0	20 2 20	0	0 4.0758568 -6.7642136	2.02922252243063e-08
0	0	0 0 0	20 3 20	0	0 4.0789818 -6.7642136	2.13781476082602e-08
0	0	0 0 0	20 4 20	0	0 4.0821068 -6.7642136	2.07118426631243e-08
0	0	0 0 0	20 5 20	0	0 4.0852318 -6.7642136	2.14526866687175e-08
0	0	0 0 0	20 6 20	0	0 4.0883568 -6.7642136	2.08925802106176e-08
0	0	0 0 0	20 7 20	0	0 4.0914818 -6.7642136	2.15591083337854e-08
0	0	0 0 0	20 8 20	0	0 4.0946068 -6.7642136	2.15565483567248e-08
0	0	0 0 0	20 9 20	0	0 4.0977318 -6.7642136	2.1155694055041e-08
0	0	0 0 0	20 10 20	0	0 4.1008568 -6.7642136	2.03565196480397e-08
0	0	0 0 0	20 11 20	0	0 4.1039818 -6.7642136	2.04228945756284e-08
0	0	0 0 0	20 12 20	0	0 4.1071068 -6.7642136	2.05423279263533e-08
0	0	0 0 0	20 13 20	0	0 4.1102318 -6.7642136	2.05342583363962e-08
0	0	0 0 0	20 14 20	0	0 4.1133568 -6.7642136	2.06695187902515e-08
0	0	0 0 0	20 15 20	0	0 4.1164818 -6.7642136	2.02258407405342e-08
0	0	0 0 0	20 16 20	0	0 4.1196068 -6.7642136	2.12797192953451e-08
0	0	0 0 0	20 17 20	0	0 4.1227318 -6.7642136	2.12129476877526e-08
0	0	0 0 0	20 18 20	0	0 4.1258568 -6.7642136	1.93934645415507e-08
0	0	0 0 0	20 19 20	0	0 4.1289818 -6.7642136	2.11481506187212e-08
0	0	0 0 0	20 20 20	0	0 4.1321068 -6.7642136	2.04278071974354e-08
0	0	0 0 0	20 21 20	0	0 4.1352318 -6.7642136	1.99410147393136e-08
0	0	0 0 0	20 22 20	0	0 4.1383568 -6.7642136	2.04101127216679e-08
0	0	0 0 0	20 23 20	0	0 4.1414818 -6.7642136	2.03001531714459e-08
0	0	0 0 0	20 24 20	0	0 4.1446068 -6.7642136	2.06946341111276e-08
0	0	0 0 0	20 25 20	0	0 4.1477318 -6.7642136	2.02391479665477e-08
0	0	0 0 0	20 26 20	0	0 4.1508568 -6.7642136	2.02880842149948e-08
0	0	0 0 0	20 27 20	0	0 4.1539818 -6.7642136	2.02996848132488e-08
0	0	0 0 0	20 28 20	0	0 4.1571068 -6.7642136	1.94612421866066e-08
0	0	0 0 0	20 29 20	0	0 4.1602318 -6.7642136	2.09332071606838e-08
0	0	0 0 0	20 30 20	0	0 4.1633568 -6.7642136	2.06521339982177e-08
0	0	0 0 0	20 31 20	0	0 4.1664818 -6.7642136	1.99724690314772e-08
0	0	0 0 0	20 32 20	0	0 4.1696068 -6.7642136	2.02487368824415e-08
0	0	0 0 0	20 33 20	0	0 4.1727318 -6.7642136	2.00361006997592e-08
0	0	0 0 0	20 34 20	0	0 4.1758568 -6.7642136	1.8973309340513e-08
0	0	0 0 0	20 35 20	0	0 4.1789818 -6.7642136	2.07628952747517e-08
0	0	0 0 0	20 36 20	0	0 4.1821068 -6.7642136	1.99865025058228e-08
0	0	0 0 0	20 37 20	0	0 4.1852318 -6.7642136	1.89017394636531e-08
0	0	0 0 0	20 38 20	0	0 4.1883568 -6.7642136	2.0217887986286e-08
0	0	0 0 0	20 39 20	0	0 4.1914818 -6.7642136	1.89980208095333e-08
0	0	0 0 0	20 40 20	0	0 4.1946068 -6.7642136	1.89980208095333e-08


