# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 20 2016 at 04:38:33+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/0.5_away/2bh_m1m2_0.47656_py_sx_0.5_away_pincpower4.0/manybhnear_2bh_m1m2_0.47656_py_sx_0.5_away_pincpower4.0_4x5x9.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	2.96875 0.5 0.5	0.0398692463037284
0	0	0 0 0	1 20 20	0	2.9703125 0.5 0.5	0.0398692463037284
0	0	0 0 0	2 20 20	0	2.971875 0.5 0.5	0.0398852886702931
0	0	0 0 0	3 20 20	0	2.9734375 0.5 0.5	0.0399012814338124
0	0	0 0 0	4 20 20	0	2.975 0.5 0.5	0.0399166254731623
0	0	0 0 0	5 20 20	0	2.9765625 0.5 0.5	0.0399313202913016
0	0	0 0 0	6 20 20	0	2.978125 0.5 0.5	0.0399453649264128
0	0	0 0 0	7 20 20	0	2.9796875 0.5 0.5	0.0399587584452142
0	0	0 0 0	8 20 20	0	2.98125 0.5 0.5	0.0399715003045195
0	0	0 0 0	9 20 20	0	2.9828125 0.5 0.5	0.0399835899356734
0	0	0 0 0	10 20 20	0	2.984375 0.5 0.5	0.0399950262539621
0	0	0 0 0	11 20 20	0	2.9859375 0.5 0.5	0.0400058092137455
0	0	0 0 0	12 20 20	0	2.9875 0.5 0.5	0.0400159377184593
0	0	0 0 0	13 20 20	0	2.9890625 0.5 0.5	0.0400254116361478
0	0	0 0 0	14 20 20	0	2.990625 0.5 0.5	0.0400342303965307
0	0	0 0 0	15 20 20	0	2.9921875 0.5 0.5	0.0400423933478329
0	0	0 0 0	16 20 20	0	2.99375 0.5 0.5	0.0400499004285278
0	0	0 0 0	17 20 20	0	2.9953125 0.5 0.5	0.0400567508338763
0	0	0 0 0	18 20 20	0	2.996875 0.5 0.5	0.0400629447269744
0	0	0 0 0	19 20 20	0	2.9984375 0.5 0.5	0.0400684814679583
0	0	0 0 0	20 20 20	0	3 0.5 0.5	0.040073360978892
0	0	0 0 0	21 20 20	0	3.0015625 0.5 0.5	0.0400775830616575
0	0	0 0 0	22 20 20	0	3.003125 0.5 0.5	0.0400811476138193
0	0	0 0 0	23 20 20	0	3.0046875 0.5 0.5	0.0400840542225484
0	0	0 0 0	24 20 20	0	3.00625 0.5 0.5	0.0400863031527353
0	0	0 0 0	25 20 20	0	3.0078125 0.5 0.5	0.0400878941578333
0	0	0 0 0	26 20 20	0	3.009375 0.5 0.5	0.0400888274238064
0	0	0 0 0	27 20 20	0	3.0109375 0.5 0.5	0.0400891026595579
0	0	0 0 0	28 20 20	0	3.0125 0.5 0.5	0.0400887202623261
0	0	0 0 0	29 20 20	0	3.0140625 0.5 0.5	0.0400876804184633
0	0	0 0 0	30 20 20	0	3.015625 0.5 0.5	0.0400859829525091
0	0	0 0 0	31 20 20	0	3.0171875 0.5 0.5	0.0400836284016324
0	0	0 0 0	32 20 20	0	3.01875 0.5 0.5	0.0400806167543536
0	0	0 0 0	33 20 20	0	3.0203125 0.5 0.5	0.0400769484806058
0	0	0 0 0	34 20 20	0	3.021875 0.5 0.5	0.040072623842226
0	0	0 0 0	35 20 20	0	3.0234375 0.5 0.5	0.0400676430987266
0	0	0 0 0	36 20 20	0	3.025 0.5 0.5	0.0400620068643472
0	0	0 0 0	37 20 20	0	3.0265625 0.5 0.5	0.0400557155787272
0	0	0 0 0	38 20 20	0	3.028125 0.5 0.5	0.0400487695208164
0	0	0 0 0	39 20 20	0	3.0296875 0.5 0.5	0.0400417666375567
0	0	0 0 0	40 20 20	0	3.03125 0.5 0.5	0.0400417666375567


