# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 20 2016 at 04:40:58+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/0.5_away/2bh_m1m2_0.47656_py_sx_0.5_away_pincpower4.0/manybhnear_2bh_m1m2_0.47656_py_sx_0.5_away_pincpower4.0_8x9x13.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 20 0	0	3 0.5 0.46875	0.0421726659671703
0	0	0 0 0	20 20 1	0	3 0.5 0.4703125	0.0421726659671703
0	0	0 0 0	20 20 2	0	3 0.5 0.471875	0.0420653047187434
0	0	0 0 0	20 20 3	0	3 0.5 0.4734375	0.0419586103885935
0	0	0 0 0	20 20 4	0	3 0.5 0.475	0.0418519674062439
0	0	0 0 0	20 20 5	0	3 0.5 0.4765625	0.0417453770380655
0	0	0 0 0	20 20 6	0	3 0.5 0.478125	0.041638841750768
0	0	0 0 0	20 20 7	0	3 0.5 0.4796875	0.0415323631873517
0	0	0 0 0	20 20 8	0	3 0.5 0.48125	0.0414259433491818
0	0	0 0 0	20 20 9	0	3 0.5 0.4828125	0.0413195839632302
0	0	0 0 0	20 20 10	0	3 0.5 0.484375	0.0412132870673324
0	0	0 0 0	20 20 11	0	3 0.5 0.4859375	0.0411070543469271
0	0	0 0 0	20 20 12	0	3 0.5 0.4875	0.0410008877399085
0	0	0 0 0	20 20 13	0	3 0.5 0.4890625	0.0408947890450701
0	0	0 0 0	20 20 14	0	3 0.5 0.490625	0.0407887600016204
0	0	0 0 0	20 20 15	0	3 0.5 0.4921875	0.0406828023091972
0	0	0 0 0	20 20 16	0	3 0.5 0.49375	0.0405769180007739
0	0	0 0 0	20 20 17	0	3 0.5 0.4953125	0.0404711086035822
0	0	0 0 0	20 20 18	0	3 0.5 0.496875	0.0403653760965502
0	0	0 0 0	20 20 19	0	3 0.5 0.4984375	0.0402597218284642
0	0	0 0 0	20 20 20	0	3 0.5 0.5	0.0401541478768573
0	0	0 0 0	20 20 21	0	3 0.5 0.5015625	0.0400486558395963
0	0	0 0 0	20 20 22	0	3 0.5 0.503125	0.039943247329004
0	0	0 0 0	20 20 23	0	3 0.5 0.5046875	0.0398379240057679
0	0	0 0 0	20 20 24	0	3 0.5 0.50625	0.0397326877428159
0	0	0 0 0	20 20 25	0	3 0.5 0.5078125	0.0396275398260898
0	0	0 0 0	20 20 26	0	3 0.5 0.509375	0.0395224823159792
0	0	0 0 0	20 20 27	0	3 0.5 0.5109375	0.039417516490402
0	0	0 0 0	20 20 28	0	3 0.5 0.5125	0.0393126441014397
0	0	0 0 0	20 20 29	0	3 0.5 0.5140625	0.0392078667711622
0	0	0 0 0	20 20 30	0	3 0.5 0.515625	0.0391031859886971
0	0	0 0 0	20 20 31	0	3 0.5 0.5171875	0.038998603361848
0	0	0 0 0	20 20 32	0	3 0.5 0.51875	0.0388941203812875
0	0	0 0 0	20 20 33	0	3 0.5 0.5203125	0.0387897387043994
0	0	0 0 0	20 20 34	0	3 0.5 0.521875	0.0386854597453638
0	0	0 0 0	20 20 35	0	3 0.5 0.5234375	0.0385812849914917
0	0	0 0 0	20 20 36	0	3 0.5 0.525	0.0384772159615815
0	0	0 0 0	20 20 37	0	3 0.5 0.5265625	0.0383732543209682
0	0	0 0 0	20 20 38	0	3 0.5 0.528125	0.0382694011907565
0	0	0 0 0	20 20 39	0	3 0.5 0.5296875	0.0381662164547825
0	0	0 0 0	20 20 40	0	3 0.5 0.53125	0.0381662164547825


