# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 21 2016 at 04:28:05+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py/2bh_m1m2_0.47656_py0.0848/manybhfar_2bh_m1m2_0.47656_py0.0848_12x13x17.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	1280 20 0	0	0 5 4.9375	-8.81645946608445e-09
0	0	0 0 0	1280 20 1	0	0 5 4.940625	-8.81645946608445e-09
0	0	0 0 0	1280 20 2	0	0 5 4.94375	-1.0111808087638e-08
0	0	0 0 0	1280 20 3	0	0 5 4.946875	-9.49217975149206e-09
0	0	0 0 0	1280 20 4	0	0 5 4.95	-1.08461986083696e-08
0	0	0 0 0	1280 20 5	0	0 5 4.953125	-1.00115605288437e-08
0	0	0 0 0	1280 20 6	0	0 5 4.95625	-9.66403191944045e-09
0	0	0 0 0	1280 20 7	0	0 5 4.959375	-1.03987441552074e-08
0	0	0 0 0	1280 20 8	0	0 5 4.9625	-9.98506103990269e-09
0	0	0 0 0	1280 20 9	0	0 5 4.965625	-9.7613727510323e-09
0	0	0 0 0	1280 20 10	0	0 5 4.96875	-9.65343319846326e-09
0	0	0 0 0	1280 20 11	0	0 5 4.971875	-9.73567925621945e-09
0	0	0 0 0	1280 20 12	0	0 5 4.975	-9.41301211715021e-09
0	0	0 0 0	1280 20 13	0	0 5 4.978125	-9.80154854877359e-09
0	0	0 0 0	1280 20 14	0	0 5 4.98125	-9.04093961882258e-09
0	0	0 0 0	1280 20 15	0	0 5 4.984375	-9.8104653931415e-09
0	0	0 0 0	1280 20 16	0	0 5 4.9875	-1.0026357546546e-08
0	0	0 0 0	1280 20 17	0	0 5 4.990625	-9.31613607294239e-09
0	0	0 0 0	1280 20 18	0	0 5 4.99375	-9.46662686822352e-09
0	0	0 0 0	1280 20 19	0	0 5 4.996875	-1.04037510169759e-08
0	0	0 0 0	1280 20 20	0	0 5 5	-8.99965710449778e-09
0	0	0 0 0	1280 20 21	0	0 5 5.003125	-9.57393659559056e-09
0	0	0 0 0	1280 20 22	0	0 5 5.00625	-8.92392118106927e-09
0	0	0 0 0	1280 20 23	0	0 5 5.009375	-1.01040892843668e-08
0	0	0 0 0	1280 20 24	0	0 5 5.0125	-9.46380712385927e-09
0	0	0 0 0	1280 20 25	0	0 5 5.015625	-9.23825938891161e-09
0	0	0 0 0	1280 20 26	0	0 5 5.01875	-9.42769658035474e-09
0	0	0 0 0	1280 20 27	0	0 5 5.021875	-8.91413473132725e-09
0	0	0 0 0	1280 20 28	0	0 5 5.025	-8.74116494857975e-09
0	0	0 0 0	1280 20 29	0	0 5 5.028125	-9.13268702725597e-09
0	0	0 0 0	1280 20 30	0	0 5 5.03125	-9.26870053332543e-09
0	0	0 0 0	1280 20 31	0	0 5 5.034375	-9.52207200493661e-09
0	0	0 0 0	1280 20 32	0	0 5 5.0375	-8.9978120962538e-09
0	0	0 0 0	1280 20 33	0	0 5 5.040625	-8.29253697064006e-09
0	0	0 0 0	1280 20 34	0	0 5 5.04375	-8.97310520776659e-09
0	0	0 0 0	1280 20 35	0	0 5 5.046875	-9.69698487549257e-09
0	0	0 0 0	1280 20 36	0	0 5 5.05	-8.59847608423847e-09
0	0	0 0 0	1280 20 37	0	0 5 5.053125	-9.40897064738855e-09
0	0	0 0 0	1280 20 38	0	0 5 5.05625	-9.06870131686604e-09
0	0	0 0 0	1280 20 39	0	0 5 5.059375	-7.35770676379653e-09
0	0	0 0 0	1280 20 40	0	0 5 5.0625	-7.35770676379653e-09


