# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 21 2016 at 04:31:30+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py/2bh_m1m2_0.47656_py0.0848/manybhfar_2bh_m1m2_0.47656_py0.0848_16x17x25.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	-4 5 5	-2.3283305740229e-08
0	0	0 0 0	1 20 20	0	-3.996875 5 5	-2.3283305740229e-08
0	0	0 0 0	2 20 20	0	-3.99375 5 5	-2.51390693281322e-08
0	0	0 0 0	3 20 20	0	-3.990625 5 5	-2.44694079115371e-08
0	0	0 0 0	4 20 20	0	-3.9875 5 5	-2.38179926542683e-08
0	0	0 0 0	5 20 20	0	-3.984375 5 5	-2.43432414916124e-08
0	0	0 0 0	6 20 20	0	-3.98125 5 5	-2.39610992457418e-08
0	0	0 0 0	7 20 20	0	-3.978125 5 5	-2.42931680522413e-08
0	0	0 0 0	8 20 20	0	-3.975 5 5	-2.43363283556119e-08
0	0	0 0 0	9 20 20	0	-3.971875 5 5	-2.33963919528034e-08
0	0	0 0 0	10 20 20	0	-3.96875 5 5	-2.48697816159225e-08
0	0	0 0 0	11 20 20	0	-3.965625 5 5	-2.47434848053951e-08
0	0	0 0 0	12 20 20	0	-3.9625 5 5	-2.42528991887167e-08
0	0	0 0 0	13 20 20	0	-3.959375 5 5	-2.5018973891242e-08
0	0	0 0 0	14 20 20	0	-3.95625 5 5	-2.44956014494314e-08
0	0	0 0 0	15 20 20	0	-3.953125 5 5	-2.4380870517939e-08
0	0	0 0 0	16 20 20	0	-3.95 5 5	-2.41350620133025e-08
0	0	0 0 0	17 20 20	0	-3.946875 5 5	-2.41443409785541e-08
0	0	0 0 0	18 20 20	0	-3.94375 5 5	-2.46404982552863e-08
0	0	0 0 0	19 20 20	0	-3.940625 5 5	-2.39268231397912e-08
0	0	0 0 0	20 20 20	0	-3.9375 5 5	-2.38551932931576e-08
0	0	0 0 0	21 20 20	0	-3.934375 5 5	-2.46572688211446e-08
0	0	0 0 0	22 20 20	0	-3.93125 5 5	-2.51763998943125e-08
0	0	0 0 0	23 20 20	0	-3.928125 5 5	-2.47961198783064e-08
0	0	0 0 0	24 20 20	0	-3.925 5 5	-2.35169647474515e-08
0	0	0 0 0	25 20 20	0	-3.921875 5 5	-2.46553449493983e-08
0	0	0 0 0	26 20 20	0	-3.91875 5 5	-2.42016361127233e-08
0	0	0 0 0	27 20 20	0	-3.915625 5 5	-2.48551356674094e-08
