# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 20 2016 at 08:54:25+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py/2bh_m1m2_0.47656_py/twopunfar_2bh_m1m2_0.47656_py_20.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	1280 0 20	0	0 4.9375 5	-5.64499328252577e-09
0	0	0 0 0	1280 1 20	0	0 4.940625 5	-5.64499328252577e-09
0	0	0 0 0	1280 2 20	0	0 4.94375 5	-9.14962457880224e-09
0	0	0 0 0	1280 3 20	0	0 4.946875 5	-8.02203174710397e-09
0	0	0 0 0	1280 4 20	0	0 4.95 5	-8.88733032714914e-09
0	0	0 0 0	1280 5 20	0	0 4.953125 5	-7.69603474025233e-09
0	0	0 0 0	1280 6 20	0	0 4.95625 5	-8.42456563820783e-09
0	0	0 0 0	1280 7 20	0	0 4.959375 5	-8.12734923668639e-09
0	0	0 0 0	1280 8 20	0	0 4.9625 5	-8.79313157897539e-09
0	0	0 0 0	1280 9 20	0	0 4.965625 5	-8.13831465847054e-09
0	0	0 0 0	1280 10 20	0	0 4.96875 5	-9.40472058875443e-09
0	0	0 0 0	1280 11 20	0	0 4.971875 5	-8.76094044828033e-09
0	0	0 0 0	1280 12 20	0	0 4.975 5	-8.7859980754402e-09
0	0	0 0 0	1280 13 20	0	0 4.978125 5	-9.03794132837575e-09
0	0	0 0 0	1280 14 20	0	0 4.98125 5	-8.77975287987671e-09
0	0	0 0 0	1280 15 20	0	0 4.984375 5	-7.86379100169661e-09
0	0	0 0 0	1280 16 20	0	0 4.9875 5	-7.76478134177291e-09
0	0	0 0 0	1280 17 20	0	0 4.990625 5	-9.14692214825131e-09
0	0	0 0 0	1280 18 20	0	0 4.99375 5	-9.20791499621024e-09
0	0	0 0 0	1280 19 20	0	0 4.996875 5	-8.09480668586543e-09
0	0	0 0 0	1280 20 20	0	0 5 5	-8.61099049500824e-09
0	0	0 0 0	1280 21 20	0	0 5.003125 5	-8.24828965495332e-09
0	0	0 0 0	1280 22 20	0	0 5.00625 5	-9.88474758574059e-09
0	0	0 0 0	1280 23 20	0	0 5.009375 5	-7.39488124054178e-09
0	0	0 0 0	1280 24 20	0	0 5.0125 5	-9.11889508708693e-09
0	0	0 0 0	1280 25 20	0	0 5.015625 5	-7.15878131609998e-09
0	0	0 0 0	1280 26 20	0	0 5.01875 5	-7.86335368368508e-09
0	0	0 0 0	1280 27 20	0	0 5.021875 5	-8.64908630710003e-09
0	0	0 0 0	1280 28 20	0	0 5.025 5	-8.48208457105164e-09
0	0	0 0 0	1280 29 20	0	0 5.028125 5	-9.35651781520483e-09
0	0	0 0 0	1280 30 20	0	0 5.03125 5	-8.98271779604509e-09
0	0	0 0 0	1280 31 20	0	0 5.034375 5	-9.28137319127967e-09
0	0	0 0 0	1280 32 20	0	0 5.0375 5	-9.21832494810582e-09
0	0	0 0 0	1280 33 20	0	0 5.040625 5	-8.05450282454284e-09
0	0	0 0 0	1280 34 20	0	0 5.04375 5	-8.96790302120078e-09
0	0	0 0 0	1280 35 20	0	0 5.046875 5	-7.59800162658541e-09
0	0	0 0 0	1280 36 20	0	0 5.05 5	-7.4927471585582e-09
0	0	0 0 0	1280 37 20	0	0 5.053125 5	-8.80071959200105e-09
0	0	0 0 0	1280 38 20	0	0 5.05625 5	-8.04684424806531e-09
0	0	0 0 0	1280 39 20	0	0 5.059375 5	-6.58053479674119e-09
0	0	0 0 0	1280 40 20	0	0 5.0625 5	-6.58053479674119e-09


