# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 21 2016 at 09:09:23+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py/2bh_m1m2_0.47656_py0.2245/manybhnear_2bh_m1m2_0.47656_py0.2245_40x41x49.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 10 10	0	2.96875 0.1 0.1	0.00423839424717429
0	0	0 0 0	1 10 10	0	2.971875 0.1 0.1	0.00423839424717429
0	0	0 0 0	2 10 10	0	2.975 0.1 0.1	1.53367892830655e-06
0	0	0 0 0	3 10 10	0	2.978125 0.1 0.1	7.91995527403555e-07
0	0	0 0 0	4 10 10	0	2.98125 0.1 0.1	1.05882932470436e-07
0	0	0 0 0	5 10 10	0	2.984375 0.1 0.1	-5.06796835020654e-07
0	0	0 0 0	6 10 10	0	2.9875 0.1 0.1	-1.02942549674422e-06
0	0	0 0 0	7 10 10	0	2.990625 0.1 0.1	-1.44757275948385e-06
0	0	0 0 0	8 10 10	0	2.99375 0.1 0.1	-1.74923434987165e-06
0	0	0 0 0	9 10 10	0	2.996875 0.1 0.1	-1.92544668917074e-06
0	0	0 0 0	10 10 10	0	3 0.1 0.1	-1.97074716236888e-06
0	0	0 0 0	11 10 10	0	3.003125 0.1 0.1	-1.88301282272145e-06
0	0	0 0 0	12 10 10	0	3.00625 0.1 0.1	-1.66404883366385e-06
0	0	0 0 0	13 10 10	0	3.009375 0.1 0.1	-1.31911674965471e-06
0	0	0 0 0	14 10 10	0	3.0125 0.1 0.1	-8.56875728327995e-07
0	0	0 0 0	15 10 10	0	3.015625 0.1 0.1	-2.89070037703607e-07
0	0	0 0 0	16 10 10	0	3.01875 0.1 0.1	3.70017148709073e-07
0	0	0 0 0	17 10 10	0	3.021875 0.1 0.1	1.10410173325033e-06
0	0	0 0 0	18 10 10	0	3.025 0.1 0.1	1.89542916772915e-06
0	0	0 0 0	19 10 10	0	3.028125 0.1 0.1	0.00424097361575208
0	0	0 0 0	20 10 10	0	3.03125 0.1 0.1	0.00424097361575208


