# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 20 2016 at 02:43:00+0000
# parameter filename: "manybhnear_2bh_m1m2_0.47656_dx0.00625_py_sx_4x5x9.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	2.96875 0.1 0.1	0.085373231478529
0	0	0 0 0	1 20 20	0	2.9703125 0.1 0.1	0.085373231478529
0	0	0 0 0	2 20 20	0	2.971875 0.1 0.1	0.085561783148055
0	0	0 0 0	3 20 20	0	2.9734375 0.1 0.1	0.0857420942259151
0	0	0 0 0	4 20 20	0	2.975 0.1 0.1	0.0859127195905607
0	0	0 0 0	5 20 20	0	2.9765625 0.1 0.1	0.0860735882439655
0	0	0 0 0	6 20 20	0	2.978125 0.1 0.1	0.0862246336637649
0	0	0 0 0	7 20 20	0	2.9796875 0.1 0.1	0.0863657937549565
0	0	0 0 0	8 20 20	0	2.98125 0.1 0.1	0.0864970108518113
0	0	0 0 0	9 20 20	0	2.9828125 0.1 0.1	0.0866182316877652
0	0	0 0 0	10 20 20	0	2.984375 0.1 0.1	0.0867294073576726
0	0	0 0 0	11 20 20	0	2.9859375 0.1 0.1	0.0868304933093723
0	0	0 0 0	12 20 20	0	2.9875 0.1 0.1	0.0869214493027205
0	0	0 0 0	13 20 20	0	2.9890625 0.1 0.1	0.0870022393854117
0	0	0 0 0	14 20 20	0	2.990625 0.1 0.1	0.0870728318692298
0	0	0 0 0	15 20 20	0	2.9921875 0.1 0.1	0.087133199317557
0	0	0 0 0	16 20 20	0	2.99375 0.1 0.1	0.0871833184917926
0	0	0 0 0	17 20 20	0	2.9953125 0.1 0.1	0.087223170377705
0	0	0 0 0	18 20 20	0	2.996875 0.1 0.1	0.0872527401237272
0	0	0 0 0	19 20 20	0	2.9984375 0.1 0.1	0.0872720170569154
0	0	0 0 0	20 20 20	0	3 0.1 0.1	0.0872809946528747
0	0	0 0 0	21 20 20	0	3.0015625 0.1 0.1	0.0872796705635011
0	0	0 0 0	22 20 20	0	3.003125 0.1 0.1	0.0872680465571877
0	0	0 0 0	23 20 20	0	3.0046875 0.1 0.1	0.087246128570745
0	0	0 0 0	24 20 20	0	3.00625 0.1 0.1	0.087213926694486
0	0	0 0 0	25 20 20	0	3.0078125 0.1 0.1	0.0871714551758826
0	0	0 0 0	26 20 20	0	3.009375 0.1 0.1	0.0871187324311499
0	0	0 0 0	27 20 20	0	3.0109375 0.1 0.1	0.0870557810714234
0	0	0 0 0	28 20 20	0	3.0125 0.1 0.1	0.0869826279022916
0	0	0 0 0	29 20 20	0	3.0140625 0.1 0.1	0.0868993039606638
0	0	0 0 0	30 20 20	0	3.015625 0.1 0.1	0.0868058445250865
0	0	0 0 0	31 20 20	0	3.0171875 0.1 0.1	0.086702289139478
0	0	0 0 0	32 20 20	0	3.01875 0.1 0.1	0.0865886816507648
0	0	0 0 0	33 20 20	0	3.0203125 0.1 0.1	0.0864650702105594
0	0	0 0 0	34 20 20	0	3.021875 0.1 0.1	0.0863315073213471
0	0	0 0 0	35 20 20	0	3.0234375 0.1 0.1	0.086188049852413
0	0	0 0 0	36 20 20	0	3.025 0.1 0.1	0.0860347590648205
0	0	0 0 0	37 20 20	0	3.0265625 0.1 0.1	0.0858717006318873
0	0	0 0 0	38 20 20	0	3.028125 0.1 0.1	0.0856989446578897
0	0	0 0 0	39 20 20	0	3.0296875 0.1 0.1	0.0855179136358188
0	0	0 0 0	40 20 20	0	3.03125 0.1 0.1	0.0855179136358188


