# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 20 2016 at 06:28:03+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py/2bh_m1m2_0.47656_py/manybhnear_2bh_m1m2_0.47656_py_40x41x49.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	2.96875 0.1 0.1	0.00109950610644889
0	0	0 0 0	1 20 20	0	2.9703125 0.1 0.1	0.00109950610644889
0	0	0 0 0	2 20 20	0	2.971875 0.1 0.1	8.3686464139119e-08
0	0	0 0 0	3 20 20	0	2.9734375 0.1 0.1	6.27147344967396e-08
0	0	0 0 0	4 20 20	0	2.975 0.1 0.1	4.20214730295285e-08
0	0	0 0 0	5 20 20	0	2.9765625 0.1 0.1	2.20018396032522e-08
0	0	0 0 0	6 20 20	0	2.978125 0.1 0.1	2.60437613011991e-09
0	0	0 0 0	7 20 20	0	2.9796875 0.1 0.1	-1.60774955805174e-08
0	0	0 0 0	8 20 20	0	2.98125 0.1 0.1	-3.35539923038315e-08
0	0	0 0 0	9 20 20	0	2.9828125 0.1 0.1	-4.99316538142211e-08
0	0	0 0 0	10 20 20	0	2.984375 0.1 0.1	-6.51488791386656e-08
0	0	0 0 0	11 20 20	0	2.9859375 0.1 0.1	-7.88943973518974e-08
0	0	0 0 0	12 20 20	0	2.9875 0.1 0.1	-9.11978559562515e-08
0	0	0 0 0	13 20 20	0	2.9890625 0.1 0.1	-1.01649625812092e-07
0	0	0 0 0	14 20 20	0	2.990625 0.1 0.1	-1.10549071661616e-07
0	0	0 0 0	15 20 20	0	2.9921875 0.1 0.1	-1.17548946700595e-07
0	0	0 0 0	16 20 20	0	2.99375 0.1 0.1	-1.22587155601886e-07
0	0	0 0 0	17 20 20	0	2.9953125 0.1 0.1	-1.25698027991002e-07
0	0	0 0 0	18 20 20	0	2.996875 0.1 0.1	-1.2664822399925e-07
0	0	0 0 0	19 20 20	0	2.9984375 0.1 0.1	-1.25427577571564e-07
0	0	0 0 0	20 20 20	0	3 0.1 0.1	-1.22343732195454e-07
0	0	0 0 0	21 20 20	0	3.0015625 0.1 0.1	-1.168360117456e-07
0	0	0 0 0	22 20 20	0	3.003125 0.1 0.1	-1.09369230829378e-07
0	0	0 0 0	23 20 20	0	3.0046875 0.1 0.1	-9.97185987928161e-08
0	0	0 0 0	24 20 20	0	3.00625 0.1 0.1	-8.80622209945003e-08
0	0	0 0 0	25 20 20	0	3.0078125 0.1 0.1	-7.41209587326944e-08
0	0	0 0 0	26 20 20	0	3.009375 0.1 0.1	-5.85028989879069e-08
0	0	0 0 0	27 20 20	0	3.0109375 0.1 0.1	-4.06762099888075e-08
0	0	0 0 0	28 20 20	0	3.0125 0.1 0.1	-2.11493367298365e-08
0	0	0 0 0	29 20 20	0	3.0140625 0.1 0.1	3.35120577121817e-11
0	0	0 0 0	30 20 20	0	3.015625 0.1 0.1	2.30022401555806e-08
0	0	0 0 0	31 20 20	0	3.0171875 0.1 0.1	4.74549932431498e-08
0	0	0 0 0	32 20 20	0	3.01875 0.1 0.1	7.31248653890355e-08
0	0	0 0 0	33 20 20	0	3.0203125 0.1 0.1	1.00230688427835e-07
0	0	0 0 0	34 20 20	0	3.021875 0.1 0.1	1.28452910721794e-07
0	0	0 0 0	35 20 20	0	3.0234375 0.1 0.1	1.57669886003201e-07
0	0	0 0 0	36 20 20	0	3.025 0.1 0.1	1.87708480536408e-07
0	0	0 0 0	37 20 20	0	3.0265625 0.1 0.1	2.18357981363482e-07
0	0	0 0 0	38 20 20	0	3.028125 0.1 0.1	2.4956877023698e-07
0	0	0 0 0	39 20 20	0	3.0296875 0.1 0.1	0.00110026379756984
0	0	0 0 0	40 20 20	0	3.03125 0.1 0.1	0.00110026379756984


