# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 20 2016 at 08:33:11+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py/2bh_m1m2_0.47656_py/twopunnear_2bh_m1m2_0.47656_py_40.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 20 0	0	3 0.1 0.06875	0.00136252548524708
0	0	0 0 0	20 20 1	0	3 0.1 0.0703125	0.00136252548524708
0	0	0 0 0	20 20 2	0	3 0.1 0.071875	-6.49289495277712e-07
0	0	0 0 0	20 20 3	0	3 0.1 0.0734375	-5.73295948541955e-07
0	0	0 0 0	20 20 4	0	3 0.1 0.075	-5.0593828121101e-07
0	0	0 0 0	20 20 5	0	3 0.1 0.0765625	-4.46418274058702e-07
0	0	0 0 0	20 20 6	0	3 0.1 0.078125	-3.94118627383006e-07
0	0	0 0 0	20 20 7	0	3 0.1 0.0796875	-3.48430407065515e-07
0	0	0 0 0	20 20 8	0	3 0.1 0.08125	-3.0874908616297e-07
0	0	0 0 0	20 20 9	0	3 0.1 0.0828125	-2.74574645965989e-07
0	0	0 0 0	20 20 10	0	3 0.1 0.084375	-2.45356794535169e-07
0	0	0 0 0	20 20 11	0	3 0.1 0.0859375	-2.20431374708951e-07
0	0	0 0 0	20 20 12	0	3 0.1 0.0875	-1.99447668632405e-07
0	0	0 0 0	20 20 13	0	3 0.1 0.0890625	-1.8213987614717e-07
0	0	0 0 0	20 20 14	0	3 0.1 0.090625	-1.67684587059919e-07
0	0	0 0 0	20 20 15	0	3 0.1 0.0921875	-1.56336991069886e-07
0	0	0 0 0	20 20 16	0	3 0.1 0.09375	-1.47132394233418e-07
0	0	0 0 0	20 20 17	0	3 0.1 0.0953125	-1.40152441966204e-07
0	0	0 0 0	20 20 18	0	3 0.1 0.096875	-1.34905331743325e-07
0	0	0 0 0	20 20 19	0	3 0.1 0.0984375	-1.31217076047244e-07
0	0	0 0 0	20 20 20	0	3 0.1 0.1	-1.29021577517305e-07
0	0	0 0 0	20 20 21	0	3 0.1 0.1015625	-1.27734463141287e-07
0	0	0 0 0	20 20 22	0	3 0.1 0.103125	-1.27504715142883e-07
0	0	0 0 0	20 20 23	0	3 0.1 0.1046875	-1.28037571839584e-07
0	0	0 0 0	20 20 24	0	3 0.1 0.10625	-1.2913009132939e-07
0	0	0 0 0	20 20 25	0	3 0.1 0.1078125	-1.30839480492161e-07
0	0	0 0 0	20 20 26	0	3 0.1 0.109375	-1.32687436767576e-07
0	0	0 0 0	20 20 27	0	3 0.1 0.1109375	-1.34983330254187e-07
0	0	0 0 0	20 20 28	0	3 0.1 0.1125	-1.37303869097299e-07
0	0	0 0 0	20 20 29	0	3 0.1 0.1140625	-1.39912991552714e-07
0	0	0 0 0	20 20 30	0	3 0.1 0.115625	-1.42426642891005e-07
0	0	0 0 0	20 20 31	0	3 0.1 0.1171875	-1.45062117052393e-07
0	0	0 0 0	20 20 32	0	3 0.1 0.11875	-1.47348042949316e-07
0	0	0 0 0	20 20 33	0	3 0.1 0.1203125	-1.49832518513832e-07
0	0	0 0 0	20 20 34	0	3 0.1 0.121875	-1.51839672356702e-07
0	0	0 0 0	20 20 35	0	3 0.1 0.1234375	-1.54017517249409e-07
0	0	0 0 0	20 20 36	0	3 0.1 0.125	-1.55856064340456e-07
0	0	0 0 0	20 20 37	0	3 0.1 0.1265625	-1.5747399713861e-07
0	0	0 0 0	20 20 38	0	3 0.1 0.128125	-1.59048805010824e-07
0	0	0 0 0	20 20 39	0	3 0.1 0.1296875	0.000640633198923472
0	0	0 0 0	20 20 40	0	3 0.1 0.13125	0.000640633198923472


