# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 21 2016 at 04:28:05+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py/2bh_m1m2_0.47656_py0.0848/manybhfar_2bh_m1m2_0.47656_py0.0848_12x13x17.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	-4 5 5	-8.08582926879096e-08
0	0	0 0 0	1 20 20	0	-3.996875 5 5	-8.08582926879096e-08
0	0	0 0 0	2 20 20	0	-3.99375 5 5	-8.20632231701763e-08
0	0	0 0 0	3 20 20	0	-3.990625 5 5	-8.22386932633234e-08
0	0	0 0 0	4 20 20	0	-3.9875 5 5	-8.12743033097634e-08
0	0	0 0 0	5 20 20	0	-3.984375 5 5	-8.32621804826768e-08
0	0	0 0 0	6 20 20	0	-3.98125 5 5	-8.13319310241145e-08
0	0	0 0 0	7 20 20	0	-3.978125 5 5	-8.2740536343669e-08
0	0	0 0 0	8 20 20	0	-3.975 5 5	-8.33970263272994e-08
0	0	0 0 0	9 20 20	0	-3.971875 5 5	-8.15267269186951e-08
0	0	0 0 0	10 20 20	0	-3.96875 5 5	-8.34590487675768e-08
0	0	0 0 0	11 20 20	0	-3.965625 5 5	-8.2788391720644e-08
0	0	0 0 0	12 20 20	0	-3.9625 5 5	-8.21393839055611e-08
0	0	0 0 0	13 20 20	0	-3.959375 5 5	-8.36730246768955e-08
0	0	0 0 0	14 20 20	0	-3.95625 5 5	-8.30683767645241e-08
0	0	0 0 0	15 20 20	0	-3.953125 5 5	-8.26409320511613e-08
0	0	0 0 0	16 20 20	0	-3.95 5 5	-8.37797913325036e-08
0	0	0 0 0	17 20 20	0	-3.946875 5 5	-8.36306572449832e-08
0	0	0 0 0	18 20 20	0	-3.94375 5 5	-8.34284188445184e-08
0	0	0 0 0	19 20 20	0	-3.940625 5 5	-8.38677954407819e-08
0	0	0 0 0	20 20 20	0	-3.9375 5 5	-8.37920316307807e-08
0	0	0 0 0	21 20 20	0	-3.934375 5 5	-8.36644593659323e-08
0	0	0 0 0	22 20 20	0	-3.93125 5 5	-8.37168038642453e-08
0	0	0 0 0	23 20 20	0	-3.928125 5 5	-8.33325371593983e-08
0	0	0 0 0	24 20 20	0	-3.925 5 5	-8.33604108691779e-08
0	0	0 0 0	25 20 20	0	-3.921875 5 5	-8.38778403662158e-08
0	0	0 0 0	26 20 20	0	-3.91875 5 5	-8.38056818752812e-08
0	0	0 0 0	27 20 20	0	-3.915625 5 5	-8.40696586780418e-08
0	0	0 0 0	28 20 20	0	-3.9125 5 5	-8.32823241603937e-08
0	0	0 0 0	29 20 20	0	-3.909375 5 5	-8.42968158083805e-08
0	0	0 0 0	30 20 20	0	-3.90625 5 5	-8.34899344469431e-08
0	0	0 0 0	31 20 20	0	-3.903125 5 5	-8.48709418259911e-08
0	0	0 0 0	32 20 20	0	-3.9 5 5	-8.38918939192377e-08
0	0	0 0 0	33 20 20	0	-3.896875 5 5	-8.36368194000564e-08
0	0	0 0 0	34 20 20	0	-3.89375 5 5	-8.39518271779974e-08
0	0	0 0 0	35 20 20	0	-3.890625 5 5	-8.43747916589647e-08
0	0	0 0 0	36 20 20	0	-3.8875 5 5	-8.53684684146798e-08
0	0	0 0 0	37 20 20	0	-3.884375 5 5	-8.37736666017787e-08
0	0	0 0 0	38 20 20	0	-3.88125 5 5	-8.42917119532342e-08
0	0	0 0 0	39 20 20	0	-3.878125 5 5	-8.53045053721587e-08
0	0	0 0 0	40 20 20	0	-3.875 5 5	-8.39615370911629e-08
0	0	0 0 0	41 20 20	0	-3.871875 5 5	-8.45781530304363e-08
0	0	0 0 0	42 20 20	0	-3.86875 5 5	-8.53824687701939e-08
0	0	0 0 0	43 20 20	0	-3.865625 5 5	-8.49881375721069e-08
0	0	0 0 0	44 20 20	0	-3.8625 5 5	-8.53216094294878e-08
0	0	0 0 0	45 20 20	0	-3.859375 5 5	-8.49195724609596e-08
0	0	0 0 0	46 20 20	0	-3.85625 5 5	-8.56311645648622e-08
0	0	0 0 0	47 20 20	0	-3.853125 5 5	-8.5145970591107e-08
0	0	0 0 0	48 20 20	0	-3.85 5 5	-8.50818901919576e-08
0	0	0 0 0	49 20 20	0	-3.846875 5 5	-8.47461345760985e-08
0	0	0 0 0	50 20 20	0	-3.84375 5 5	-8.56793086725846e-08
0	0	0 0 0	51 20 20	0	-3.840625 5 5	-8.53404575560199e-08
0	0	0 0 0	52 20 20	0	-3.8375 5 5	-8.53471701074051e-08
0	0	0 0 0	53 20 20	0	-3.834375 5 5	-8.63156902136898e-08
0	0	0 0 0	54 20 20	0	-3.83125 5 5	-8.45507368776625e-08
0	0	0 0 0	55 20 20	0	-3.828125 5 5	-8.57501064441656e-08
0	0	0 0 0	56 20 20	0	-3.825 5 5	-8.56026800089913e-08
0	0	0 0 0	57 20 20	0	-3.821875 5 5	-8.52637568232289e-08
0	0	0 0 0	58 20 20	0	-3.81875 5 5	-8.69659642897649e-08
0	0	0 0 0	59 20 20	0	-3.815625 5 5	-8.58602360071173e-08
0	0	0 0 0	60 20 20	0	-3.8125 5 5	-8.52569510529862e-08
0	0	0 0 0	61 20 20	0	-3.809375 5 5	-8.63108223494883e-08
0	0	0 0 0	62 20 20	0	-3.80625 5 5	-8.60205941132988e-08
0	0	0 0 0	63 20 20	0	-3.803125 5 5	-8.56181109950218e-08
0	0	0 0 0	64 20 20	0	-3.8 5 5	-8.56424542565762e-08
0	0	0 0 0	65 20 20	0	-3.796875 5 5	-8.5555232538723e-08
0	0	0 0 0	66 20 20	0	-3.79375 5 5	-8.59724119804454e-08
0	0	0 0 0	67 20 20	0	-3.790625 5 5	-8.68173298598234e-08
0	0	0 0 0	68 20 20	0	-3.7875 5 5	-8.58592008828435e-08
0	0	0 0 0	69 20 20	0	-3.784375 5 5	-8.61758693546143e-08
0	0	0 0 0	70 20 20	0	-3.78125 5 5	-8.63828327950507e-08
0	0	0 0 0	71 20 20	0	-3.778125 5 5	-8.67881530948942e-08
0	0	0 0 0	72 20 20	0	-3.775 5 5	-8.59307659906228e-08
0	0	0 0 0	73 20 20	0	-3.771875 5 5	-8.65031376731682e-08
0	0	0 0 0	74 20 20	0	-3.76875 5 5	-8.62750840695882e-08
0	0	0 0 0	75 20 20	0	-3.765625 5 5	-8.69389718885206e-08
0	0	0 0 0	76 20 20	0	-3.7625 5 5	-8.70339193208638e-08
0	0	0 0 0	77 20 20	0	-3.759375 5 5	-8.66372424922315e-08
0	0	0 0 0	78 20 20	0	-3.75625 5 5	-8.69027953639557e-08
0	0	0 0 0	79 20 20	0	-3.753125 5 5	-8.64468302497167e-08
0	0	0 0 0	80 20 20	0	-3.75 5 5	-8.61155257422543e-08
0	0	0 0 0	81 20 20	0	-3.746875 5 5	-8.81387457727095e-08
0	0	0 0 0	82 20 20	0	-3.74375 5 5	-8.64432462377478e-08
0	0	0 0 0	83 20 20	0	-3.740625 5 5	-8.57960810573676e-08
0	0	0 0 0	84 20 20	0	-3.7375 5 5	-8.7042922696775e-08
0	0	0 0 0	85 20 20	0	-3.734375 5 5	-8.68786897001422e-08
0	0	0 0 0	86 20 20	0	-3.73125 5 5	-8.6687426684264e-08
0	0	0 0 0	87 20 20	0	-3.728125 5 5	-8.76991838025511e-08
0	0	0 0 0	88 20 20	0	-3.725 5 5	-8.68400628430379e-08
0	0	0 0 0	89 20 20	0	-3.721875 5 5	-8.72614448536393e-08
0	0	0 0 0	90 20 20	0	-3.71875 5 5	-8.73497250310284e-08
0	0	0 0 0	91 20 20	0	-3.715625 5 5	-8.76432003363642e-08
0	0	0 0 0	92 20 20	0	-3.7125 5 5	-8.72970074305407e-08
0	0	0 0 0	93 20 20	0	-3.709375 5 5	-8.74640141284895e-08
0	0	0 0 0	94 20 20	0	-3.70625 5 5	-8.67616424659038e-08
0	0	0 0 0	95 20 20	0	-3.703125 5 5	-8.79559279972929e-08
0	0	0 0 0	96 20 20	0	-3.7 5 5	-8.75901122805546e-08
0	0	0 0 0	97 20 20	0	-3.696875 5 5	-8.7431485574484e-08
0	0	0 0 0	98 20 20	0	-3.69375 5 5	-8.69427036628392e-08
0	0	0 0 0	99 20 20	0	-3.690625 5 5	-8.71226113155108e-08
0	0	0 0 0	100 20 20	0	-3.6875 5 5	-8.78946504818833e-08
0	0	0 0 0	101 20 20	0	-3.684375 5 5	-8.77230789277095e-08
0	0	0 0 0	102 20 20	0	-3.68125 5 5	-8.80674349037523e-08
0	0	0 0 0	103 20 20	0	-3.678125 5 5	-8.67011036411877e-08
0	0	0 0 0	104 20 20	0	-3.675 5 5	-8.78479290104345e-08
0	0	0 0 0	105 20 20	0	-3.671875 5 5	-8.73615358681767e-08
0	0	0 0 0	106 20 20	0	-3.66875 5 5	-8.83137088029422e-08
0	0	0 0 0	107 20 20	0	-3.665625 5 5	-8.79406157586638e-08
0	0	0 0 0	108 20 20	0	-3.6625 5 5	-8.75479051536518e-08
0	0	0 0 0	109 20 20	0	-3.659375 5 5	-8.82874088609765e-08
0	0	0 0 0	110 20 20	0	-3.65625 5 5	-8.80866714967074e-08
0	0	0 0 0	111 20 20	0	-3.653125 5 5	-8.77137478984004e-08
0	0	0 0 0	112 20 20	0	-3.65 5 5	-8.87808301870325e-08
0	0	0 0 0	113 20 20	0	-3.646875 5 5	-8.73737062654054e-08
0	0	0 0 0	114 20 20	0	-3.64375 5 5	-8.84816507101501e-08
0	0	0 0 0	115 20 20	0	-3.640625 5 5	-8.79604609982461e-08
0	0	0 0 0	116 20 20	0	-3.6375 5 5	-8.84198021016367e-08
0	0	0 0 0	117 20 20	0	-3.634375 5 5	-8.90157863216021e-08
0	0	0 0 0	118 20 20	0	-3.63125 5 5	-8.86744666416927e-08
0	0	0 0 0	119 20 20	0	-3.628125 5 5	-8.87006428920046e-08
0	0	0 0 0	120 20 20	0	-3.625 5 5	-8.83273278256091e-08
0	0	0 0 0	121 20 20	0	-3.621875 5 5	-8.90893093157813e-08
0	0	0 0 0	122 20 20	0	-3.61875 5 5	-8.83016528236338e-08
0	0	0 0 0	123 20 20	0	-3.615625 5 5	-8.91867917999125e-08
0	0	0 0 0	124 20 20	0	-3.6125 5 5	-8.84463605001868e-08
0	0	0 0 0	125 20 20	0	-3.609375 5 5	-8.84587241813894e-08
0	0	0 0 0	126 20 20	0	-3.60625 5 5	-8.8533745876264e-08
0	0	0 0 0	127 20 20	0	-3.603125 5 5	-8.85950559024846e-08
0	0	0 0 0	128 20 20	0	-3.6 5 5	-8.92564606327888e-08
0	0	0 0 0	129 20 20	0	-3.596875 5 5	-8.81408590091854e-08
0	0	0 0 0	130 20 20	0	-3.59375 5 5	-8.83161992967932e-08
0	0	0 0 0	131 20 20	0	-3.590625 5 5	-8.88623619161926e-08
0	0	0 0 0	132 20 20	0	-3.5875 5 5	-8.98563161705748e-08
0	0	0 0 0	133 20 20	0	-3.584375 5 5	-8.89214201367487e-08
0	0	0 0 0	134 20 20	0	-3.58125 5 5	-8.95083694990785e-08
0	0	0 0 0	135 20 20	0	-3.578125 5 5	-8.81672907771883e-08
0	0	0 0 0	136 20 20	0	-3.575 5 5	-8.91917704468941e-08
0	0	0 0 0	137 20 20	0	-3.571875 5 5	-8.82889610245967e-08
0	0	0 0 0	138 20 20	0	-3.56875 5 5	-8.95987172163418e-08
0	0	0 0 0	139 20 20	0	-3.565625 5 5	-8.82920584504321e-08
0	0	0 0 0	140 20 20	0	-3.5625 5 5	-8.93516678016824e-08
0	0	0 0 0	141 20 20	0	-3.559375 5 5	-8.97884036047603e-08
0	0	0 0 0	142 20 20	0	-3.55625 5 5	-8.83764571879883e-08
0	0	0 0 0	143 20 20	0	-3.553125 5 5	-8.98676916690929e-08
0	0	0 0 0	144 20 20	0	-3.55 5 5	-8.89745074434966e-08
0	0	0 0 0	145 20 20	0	-3.546875 5 5	-8.83794161154969e-08
0	0	0 0 0	146 20 20	0	-3.54375 5 5	-8.90021275643705e-08
0	0	0 0 0	147 20 20	0	-3.540625 5 5	-8.94636094491242e-08
0	0	0 0 0	148 20 20	0	-3.5375 5 5	-8.85383515321586e-08
0	0	0 0 0	149 20 20	0	-3.534375 5 5	-8.8984809514967e-08
0	0	0 0 0	150 20 20	0	-3.53125 5 5	-8.98071414459933e-08
0	0	0 0 0	151 20 20	0	-3.528125 5 5	-8.88607075140448e-08
0	0	0 0 0	152 20 20	0	-3.525 5 5	-8.94398009388131e-08
0	0	0 0 0	153 20 20	0	-3.521875 5 5	-8.90933985106665e-08
0	0	0 0 0	154 20 20	0	-3.51875 5 5	-8.95835360492867e-08
0	0	0 0 0	155 20 20	0	-3.515625 5 5	-8.91488156709859e-08
0	0	0 0 0	156 20 20	0	-3.5125 5 5	-8.88618560965167e-08
0	0	0 0 0	157 20 20	0	-3.509375 5 5	-8.91823560499291e-08
0	0	0 0 0	158 20 20	0	-3.50625 5 5	-8.94978437278e-08
0	0	0 0 0	159 20 20	0	-3.503125 5 5	-8.94258039566814e-08
0	0	0 0 0	160 20 20	0	-3.5 5 5	-8.94258937369053e-08
0	0	0 0 0	161 20 20	0	-3.496875 5 5	-8.98046776768118e-08
0	0	0 0 0	162 20 20	0	-3.49375 5 5	-8.9413915006247e-08
0	0	0 0 0	163 20 20	0	-3.490625 5 5	-8.96319810623042e-08
0	0	0 0 0	164 20 20	0	-3.4875 5 5	-8.90045848733969e-08
0	0	0 0 0	165 20 20	0	-3.484375 5 5	-9.0058212805645e-08
0	0	0 0 0	166 20 20	0	-3.48125 5 5	-8.84297918961084e-08
0	0	0 0 0	167 20 20	0	-3.478125 5 5	-9.03963544934858e-08
0	0	0 0 0	168 20 20	0	-3.475 5 5	-8.89926921292721e-08
0	0	0 0 0	169 20 20	0	-3.471875 5 5	-8.91177883250263e-08
0	0	0 0 0	170 20 20	0	-3.46875 5 5	-8.97001473646307e-08
0	0	0 0 0	171 20 20	0	-3.465625 5 5	-8.93625357348821e-08
0	0	0 0 0	172 20 20	0	-3.4625 5 5	-8.92531896840922e-08
0	0	0 0 0	173 20 20	0	-3.459375 5 5	-8.93722832487938e-08
0	0	0 0 0	174 20 20	0	-3.45625 5 5	-9.05617232820812e-08
