# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 21 2016 at 04:31:30+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py/2bh_m1m2_0.47656_py0.0848/manybhfar_2bh_m1m2_0.47656_py0.0848_16x17x25.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	1280 20 0	0	0 5 4.9375	2.50959929586429e-08
0	0	0 0 0	1280 20 1	0	0 5 4.940625	2.50959929586429e-08
0	0	0 0 0	1280 20 2	0	0 5 4.94375	2.39763280449188e-08
0	0	0 0 0	1280 20 3	0	0 5 4.946875	2.35638992271045e-08
0	0	0 0 0	1280 20 4	0	0 5 4.95	2.35561808264e-08
0	0	0 0 0	1280 20 5	0	0 5 4.953125	2.29124780889511e-08
0	0	0 0 0	1280 20 6	0	0 5 4.95625	2.39374309374134e-08
0	0	0 0 0	1280 20 7	0	0 5 4.959375	2.27648972680572e-08
0	0	0 0 0	1280 20 8	0	0 5 4.9625	2.34099553666707e-08
0	0	0 0 0	1280 20 9	0	0 5 4.965625	2.27494025290416e-08
0	0	0 0 0	1280 20 10	0	0 5 4.96875	2.33118151623479e-08
0	0	0 0 0	1280 20 11	0	0 5 4.971875	2.30889699987949e-08
0	0	0 0 0	1280 20 12	0	0 5 4.975	2.29733819563607e-08
0	0	0 0 0	1280 20 13	0	0 5 4.978125	2.23696838532004e-08
0	0	0 0 0	1280 20 14	0	0 5 4.98125	2.37337418153054e-08
0	0	0 0 0	1280 20 15	0	0 5 4.984375	2.2376840043024e-08
0	0	0 0 0	1280 20 16	0	0 5 4.9875	2.24667537777255e-08
0	0	0 0 0	1280 20 17	0	0 5 4.990625	2.25893965274708e-08
0	0	0 0 0	1280 20 18	0	0 5 4.99375	2.25957762369316e-08
0	0	0 0 0	1280 20 19	0	0 5 4.996875	2.19645052023912e-08
0	0	0 0 0	1280 20 20	0	0 5 5	2.31531240836503e-08
0	0	0 0 0	1280 20 21	0	0 5 5.003125	2.32572189817449e-08
0	0	0 0 0	1280 20 22	0	0 5 5.00625	2.30957475485561e-08
0	0	0 0 0	1280 20 23	0	0 5 5.009375	2.15509186843272e-08
0	0	0 0 0	1280 20 24	0	0 5 5.0125	2.21990504529603e-08
0	0	0 0 0	1280 20 25	0	0 5 5.015625	2.18361852260831e-08
0	0	0 0 0	1280 20 26	0	0 5 5.01875	2.26234571194616e-08
0	0	0 0 0	1280 20 27	0	0 5 5.021875	2.1355749321957e-08
0	0	0 0 0	1280 20 28	0	0 5 5.025	2.25055419224365e-08
0	0	0 0 0	1280 20 29	0	0 5 5.028125	2.25691232426693e-08
0	0	0 0 0	1280 20 30	0	0 5 5.03125	2.1993424882271e-08
0	0	0 0 0	1280 20 31	0	0 5 5.034375	2.15985705011941e-08
0	0	0 0 0	1280 20 32	0	0 5 5.0375	2.22050704349408e-08
0	0	0 0 0	1280 20 33	0	0 5 5.040625	2.23211816954041e-08
0	0	0 0 0	1280 20 34	0	0 5 5.04375	2.14989438499584e-08
0	0	0 0 0	1280 20 35	0	0 5 5.046875	2.15287990736162e-08
0	0	0 0 0	1280 20 36	0	0 5 5.05	2.18140049165328e-08
0	0	0 0 0	1280 20 37	0	0 5 5.053125	2.18320365961927e-08
0	0	0 0 0	1280 20 38	0	0 5 5.05625	2.16573455801404e-08
0	0	0 0 0	1280 20 39	0	0 5 5.059375	2.33105374276388e-08
0	0	0 0 0	1280 20 40	0	0 5 5.0625	2.33105374276388e-08


