# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 21 2016 at 06:40:30+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py/2bh_m1m2_0.47656_py0.0848/manybhfar_2bh_m1m2_0.47656_py0.0848_40x41x49.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	1280 0 20	0	0 4.9375 5	1.79379381838583e-09
0	0	0 0 0	1280 1 20	0	0 4.940625 5	1.79379381838583e-09
0	0	0 0 0	1280 2 20	0	0 4.94375 5	2.04446562430561e-10
0	0	0 0 0	1280 3 20	0	0 4.946875 5	4.2186565355457e-10
0	0	0 0 0	1280 4 20	0	0 4.95 5	-5.78558597131949e-10
0	0	0 0 0	1280 5 20	0	0 4.953125 5	2.5063319825207e-10
0	0	0 0 0	1280 6 20	0	0 4.95625 5	-2.12607516176909e-10
0	0	0 0 0	1280 7 20	0	0 4.959375 5	-1.09881124697607e-10
0	0	0 0 0	1280 8 20	0	0 4.9625 5	-1.10336783992964e-10
0	0	0 0 0	1280 9 20	0	0 4.965625 5	-3.62812028148831e-10
0	0	0 0 0	1280 10 20	0	0 4.96875 5	3.22700002282323e-10
0	0	0 0 0	1280 11 20	0	0 4.971875 5	-1.36606617651578e-10
0	0	0 0 0	1280 12 20	0	0 4.975 5	-2.98980031338447e-11
0	0	0 0 0	1280 13 20	0	0 4.978125 5	-4.7329911690077e-10
0	0	0 0 0	1280 14 20	0	0 4.98125 5	-5.29527112872537e-11
0	0	0 0 0	1280 15 20	0	0 4.984375 5	-1.08460052826048e-10
0	0	0 0 0	1280 16 20	0	0 4.9875 5	-6.40089528186548e-10
0	0	0 0 0	1280 17 20	0	0 4.990625 5	3.6213772932608e-10
0	0	0 0 0	1280 18 20	0	0 4.99375 5	3.6702377673805e-10
0	0	0 0 0	1280 19 20	0	0 4.996875 5	-7.74879324106242e-10
0	0	0 0 0	1280 20 20	0	0 5 5	1.38604734408977e-10
0	0	0 0 0	1280 21 20	0	0 5.003125 5	1.28589159968583e-10
0	0	0 0 0	1280 22 20	0	0 5.00625 5	1.13159001258978e-09
0	0	0 0 0	1280 23 20	0	0 5.009375 5	-7.26566593158397e-10
0	0	0 0 0	1280 24 20	0	0 5.0125 5	-1.5625286276037e-10
0	0	0 0 0	1280 25 20	0	0 5.015625 5	-2.86806432010962e-10
0	0	0 0 0	1280 26 20	0	0 5.01875 5	-7.50941637059279e-11
0	0	0 0 0	1280 27 20	0	0 5.021875 5	1.06224290552557e-10
0	0	0 0 0	1280 28 20	0	0 5.025 5	1.07712966449504e-09
0	0	0 0 0	1280 29 20	0	0 5.028125 5	3.77155293758077e-10
0	0	0 0 0	1280 30 20	0	0 5.03125 5	-5.54989861745625e-11
0	0	0 0 0	1280 31 20	0	0 5.034375 5	-4.44596077467534e-10
0	0	0 0 0	1280 32 20	0	0 5.0375 5	1.04909768005753e-10
0	0	0 0 0	1280 33 20	0	0 5.040625 5	6.98035355181686e-10
0	0	0 0 0	1280 34 20	0	0 5.04375 5	-1.57587017322675e-10
0	0	0 0 0	1280 35 20	0	0 5.046875 5	2.98365547668337e-10
0	0	0 0 0	1280 36 20	0	0 5.05 5	4.24434631817483e-10
0	0	0 0 0	1280 37 20	0	0 5.053125 5	-5.26048408084251e-10
0	0	0 0 0	1280 38 20	0	0 5.05625 5	2.83057373358225e-10
0	0	0 0 0	1280 39 20	0	0 5.059375 5	1.95201368701194e-09
0	0	0 0 0	1280 40 20	0	0 5.0625 5	1.95201368701194e-09


