# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 20 2016 at 05:38:47+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py/2bh_m1m2_0.47656_py/manybhfar_2bh_m1m2_0.47656_py_8x9x13.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	1280 20 0	0	0 5 4.9375	-9.25782012377894e-07
0	0	0 0 0	1280 20 1	0	0 5 4.940625	-9.25782012377894e-07
0	0	0 0 0	1280 20 2	0	0 5 4.94375	-9.25225308995401e-07
0	0	0 0 0	1280 20 3	0	0 5 4.946875	-9.21586645736617e-07
0	0	0 0 0	1280 20 4	0	0 5 4.95	-9.19825551612781e-07
0	0	0 0 0	1280 20 5	0	0 5 4.953125	-9.17733620367303e-07
0	0	0 0 0	1280 20 6	0	0 5 4.95625	-9.14132276299626e-07
0	0	0 0 0	1280 20 7	0	0 5 4.959375	-9.12924867557248e-07
0	0	0 0 0	1280 20 8	0	0 5 4.9625	-9.08955534273205e-07
0	0	0 0 0	1280 20 9	0	0 5 4.965625	-9.07748994209926e-07
0	0	0 0 0	1280 20 10	0	0 5 4.96875	-9.04443033450699e-07
0	0	0 0 0	1280 20 11	0	0 5 4.971875	-9.02426803227186e-07
0	0	0 0 0	1280 20 12	0	0 5 4.975	-8.99194862305592e-07
0	0	0 0 0	1280 20 13	0	0 5 4.978125	-8.98211349607798e-07
0	0	0 0 0	1280 20 14	0	0 5 4.98125	-8.94242679555124e-07
0	0	0 0 0	1280 20 15	0	0 5 4.984375	-8.9178547213258e-07
0	0	0 0 0	1280 20 16	0	0 5 4.9875	-8.90176670006651e-07
0	0	0 0 0	1280 20 17	0	0 5 4.990625	-8.86761493520667e-07
0	0	0 0 0	1280 20 18	0	0 5 4.99375	-8.84415963945807e-07
0	0	0 0 0	1280 20 19	0	0 5 4.996875	-8.82697919994057e-07
0	0	0 0 0	1280 20 20	0	0 5 5	-8.78951512640707e-07
0	0	0 0 0	1280 20 21	0	0 5 5.003125	-8.76127533503584e-07
0	0	0 0 0	1280 20 22	0	0 5 5.00625	-8.74152610487533e-07
0	0	0 0 0	1280 20 23	0	0 5 5.009375	-8.72141403346691e-07
0	0	0 0 0	1280 20 24	0	0 5 5.0125	-8.69798622530098e-07
0	0	0 0 0	1280 20 25	0	0 5 5.015625	-8.66607370964803e-07
0	0	0 0 0	1280 20 26	0	0 5 5.01875	-8.64265644524173e-07
0	0	0 0 0	1280 20 27	0	0 5 5.021875	-8.61149146506588e-07
0	0	0 0 0	1280 20 28	0	0 5 5.025	-8.5866089104956e-07
0	0	0 0 0	1280 20 29	0	0 5 5.028125	-8.5591477352501e-07
0	0	0 0 0	1280 20 30	0	0 5 5.03125	-8.53575611598266e-07
0	0	0 0 0	1280 20 31	0	0 5 5.034375	-8.50978655574308e-07
0	0	0 0 0	1280 20 32	0	0 5 5.0375	-8.48788874108574e-07
0	0	0 0 0	1280 20 33	0	0 5 5.040625	-8.45676225885725e-07
0	0	0 0 0	1280 20 34	0	0 5 5.04375	-8.440795087275e-07
0	0	0 0 0	1280 20 35	0	0 5 5.046875	-8.4163388520825e-07
0	0	0 0 0	1280 20 36	0	0 5 5.05	-8.38265115914751e-07
0	0	0 0 0	1280 20 37	0	0 5 5.053125	-8.3678266661792e-07
0	0	0 0 0	1280 20 38	0	0 5 5.05625	-8.33859568008528e-07
0	0	0 0 0	1280 20 39	0	0 5 5.059375	-8.29060971405515e-07
0	0	0 0 0	1280 20 40	0	0 5 5.0625	-8.29060971405515e-07


