# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 20 2016 at 05:49:05+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py/2bh_m1m2_0.47656_py/manybhnear_2bh_m1m2_0.47656_py_16x17x25.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	2.96875 0.1 0.1	0.00109946055899139
0	0	0 0 0	1 20 20	0	2.9703125 0.1 0.1	0.00109946055899139
0	0	0 0 0	2 20 20	0	2.971875 0.1 0.1	4.35487763693169e-08
0	0	0 0 0	3 20 20	0	2.9734375 0.1 0.1	2.46119516824142e-08
0	0	0 0 0	4 20 20	0	2.975 0.1 0.1	5.82046960108384e-09
0	0	0 0 0	5 20 20	0	2.9765625 0.1 0.1	-1.21927977644876e-08
0	0	0 0 0	6 20 20	0	2.978125 0.1 0.1	-2.96430391747739e-08
0	0	0 0 0	7 20 20	0	2.9796875 0.1 0.1	-4.6269754474474e-08
0	0	0 0 0	8 20 20	0	2.98125 0.1 0.1	-6.17313930450711e-08
0	0	0 0 0	9 20 20	0	2.9828125 0.1 0.1	-7.60944992156398e-08
0	0	0 0 0	10 20 20	0	2.984375 0.1 0.1	-8.9351968251411e-08
0	0	0 0 0	11 20 20	0	2.9859375 0.1 0.1	-1.00922914099584e-07
0	0	0 0 0	12 20 20	0	2.9875 0.1 0.1	-1.11145434729485e-07
0	0	0 0 0	13 20 20	0	2.9890625 0.1 0.1	-1.19504315287261e-07
0	0	0 0 0	14 20 20	0	2.990625 0.1 0.1	-1.26254569446718e-07
0	0	0 0 0	15 20 20	0	2.9921875 0.1 0.1	-1.31185883890314e-07
0	0	0 0 0	16 20 20	0	2.99375 0.1 0.1	-1.34037312094111e-07
0	0	0 0 0	17 20 20	0	2.9953125 0.1 0.1	-1.34951556549859e-07
0	0	0 0 0	18 20 20	0	2.996875 0.1 0.1	-1.33748921057799e-07
0	0	0 0 0	19 20 20	0	2.9984375 0.1 0.1	-1.30317043167422e-07
0	0	0 0 0	20 20 20	0	3 0.1 0.1	-1.25047752024682e-07
0	0	0 0 0	21 20 20	0	3.0015625 0.1 0.1	-1.17251258816703e-07
0	0	0 0 0	22 20 20	0	3.003125 0.1 0.1	-1.07608755566414e-07
0	0	0 0 0	23 20 20	0	3.0046875 0.1 0.1	-9.56881049275077e-08
0	0	0 0 0	24 20 20	0	3.00625 0.1 0.1	-8.17929039038587e-08
0	0	0 0 0	25 20 20	0	3.0078125 0.1 0.1	-6.5578285942617e-08
0	0	0 0 0	26 20 20	0	3.009375 0.1 0.1	-4.76866416545402e-08
0	0	0 0 0	27 20 20	0	3.0109375 0.1 0.1	-2.76167322708215e-08
0	0	0 0 0	28 20 20	0	3.0125 0.1 0.1	-5.82915577959642e-09
0	0	0 0 0	29 20 20	0	3.0140625 0.1 0.1	1.76465274272404e-08
0	0	0 0 0	30 20 20	0	3.015625 0.1 0.1	4.27864354514938e-08
0	0	0 0 0	31 20 20	0	3.0171875 0.1 0.1	6.95146913434752e-08
0	0	0 0 0	32 20 20	0	3.01875 0.1 0.1	9.75055515408524e-08
0	0	0 0 0	33 20 20	0	3.0203125 0.1 0.1	1.26734952844276e-07
0	0	0 0 0	34 20 20	0	3.021875 0.1 0.1	1.57194698590778e-07
0	0	0 0 0	35 20 20	0	3.0234375 0.1 0.1	1.88622695816709e-07
0	0	0 0 0	36 20 20	0	3.025 0.1 0.1	2.20844084498472e-07
0	0	0 0 0	37 20 20	0	3.0265625 0.1 0.1	2.5378464086007e-07
0	0	0 0 0	38 20 20	0	3.028125 0.1 0.1	2.87090615224382e-07
0	0	0 0 0	39 20 20	0	3.0296875 0.1 0.1	0.00110029987118434
0	0	0 0 0	40 20 20	0	3.03125 0.1 0.1	0.00110029987118434


