# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 20 2016 at 09:07:10+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py/2bh_m1m2_0.47656_py/twopunfar_2bh_m1m2_0.47656_py_30.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	-4 5 5	9.26527813395201e-10
0	0	0 0 0	1 20 20	0	-3.996875 5 5	9.26527813395201e-10
0	0	0 0 0	2 20 20	0	-3.99375 5 5	-5.35643169826772e-10
0	0	0 0 0	3 20 20	0	-3.990625 5 5	-3.04579026543905e-10
0	0	0 0 0	4 20 20	0	-3.9875 5 5	3.65377901145761e-10
0	0	0 0 0	5 20 20	0	-3.984375 5 5	1.97730936916311e-11
0	0	0 0 0	6 20 20	0	-3.98125 5 5	3.56824242225275e-11
0	0	0 0 0	7 20 20	0	-3.978125 5 5	-4.29096335564504e-10
0	0	0 0 0	8 20 20	0	-3.975 5 5	-7.62714083764901e-10
0	0	0 0 0	9 20 20	0	-3.971875 5 5	7.94023930868117e-10
0	0	0 0 0	10 20 20	0	-3.96875 5 5	4.15149448523247e-10
0	0	0 0 0	11 20 20	0	-3.965625 5 5	-4.45924958647503e-10
0	0	0 0 0	12 20 20	0	-3.9625 5 5	-1.83149672504542e-10
0	0	0 0 0	13 20 20	0	-3.959375 5 5	-6.32940816349282e-10
0	0	0 0 0	14 20 20	0	-3.95625 5 5	8.81539549365574e-10
0	0	0 0 0	15 20 20	0	-3.953125 5 5	5.35265914619989e-10
0	0	0 0 0	16 20 20	0	-3.95 5 5	1.07232817460681e-11
0	0	0 0 0	17 20 20	0	-3.946875 5 5	-9.21893226471168e-10
0	0	0 0 0	18 20 20	0	-3.94375 5 5	7.19392062562582e-10
0	0	0 0 0	19 20 20	0	-3.940625 5 5	-1.13031624506118e-10
0	0	0 0 0	20 20 20	0	-3.9375 5 5	8.62671314340779e-10
0	0	0 0 0	21 20 20	0	-3.934375 5 5	-1.00600228813947e-10
0	0	0 0 0	22 20 20	0	-3.93125 5 5	-4.03510820975094e-10
0	0	0 0 0	23 20 20	0	-3.928125 5 5	-5.053523733308e-10
0	0	0 0 0	24 20 20	0	-3.925 5 5	5.10810080306634e-10
0	0	0 0 0	25 20 20	0	-3.921875 5 5	-8.71877245574982e-10
0	0	0 0 0	26 20 20	0	-3.91875 5 5	2.38475332099101e-10
0	0	0 0 0	27 20 20	0	-3.915625 5 5	1.94647062953367e-11
0	0	0 0 0	28 20 20	0	-3.9125 5 5	-7.6486580852681e-10
0	0	0 0 0	29 20 20	0	-3.909375 5 5	5.59990221128502e-10
0	0	0 0 0	30 20 20	0	-3.90625 5 5	-3.6256089838745e-10
0	0	0 0 0	31 20 20	0	-3.903125 5 5	2.88144963286527e-10
0	0	0 0 0	32 20 20	0	-3.9 5 5	4.48356495735879e-10
0	0	0 0 0	33 20 20	0	-3.896875 5 5	1.17771638036453e-10
0	0	0 0 0	34 20 20	0	-3.89375 5 5	-8.56772381045142e-10
0	0	0 0 0	35 20 20	0	-3.890625 5 5	-4.12795090444447e-10
0	0	0 0 0	36 20 20	0	-3.8875 5 5	5.32315228619115e-10
0	0	0 0 0	37 20 20	0	-3.884375 5 5	-8.04751784213632e-12
0	0	0 0 0	38 20 20	0	-3.88125 5 5	4.10283232325212e-10
0	0	0 0 0	39 20 20	0	-3.878125 5 5	-2.75489441148465e-10
0	0	0 0 0	40 20 20	0	-3.875 5 5	-3.85335382807101e-10
0	0	0 0 0	41 20 20	0	-3.871875 5 5	3.09313722150675e-10
0	0	0 0 0	42 20 20	0	-3.86875 5 5	-9.41189196227549e-10
0	0	0 0 0	43 20 20	0	-3.865625 5 5	1.39331206233737e-10
0	0	0 0 0	44 20 20	0	-3.8625 5 5	-5.73260769752657e-10
0	0	0 0 0	45 20 20	0	-3.859375 5 5	-2.48820518564661e-11
0	0	0 0 0	46 20 20	0	-3.85625 5 5	-8.12031633283522e-10
0	0	0 0 0	47 20 20	0	-3.853125 5 5	3.47970832131065e-10
0	0	0 0 0	48 20 20	0	-3.85 5 5	2.4807797786844e-10
0	0	0 0 0	49 20 20	0	-3.846875 5 5	-3.48507915648238e-10
0	0	0 0 0	50 20 20	0	-3.84375 5 5	8.19151789178659e-12
0	0	0 0 0	51 20 20	0	-3.840625 5 5	-1.12481693435453e-09
0	0	0 0 0	52 20 20	0	-3.8375 5 5	4.50114298254195e-10
0	0	0 0 0	53 20 20	0	-3.834375 5 5	-3.04984043618064e-10
0	0	0 0 0	54 20 20	0	-3.83125 5 5	2.73067355365523e-10
0	0	0 0 0	55 20 20	0	-3.828125 5 5	-1.82012361271396e-10
0	0	0 0 0	56 20 20	0	-3.825 5 5	-6.02084685971308e-10
0	0	0 0 0	57 20 20	0	-3.821875 5 5	9.19981236434657e-10
0	0	0 0 0	58 20 20	0	-3.81875 5 5	-7.2853752221055e-10
0	0	0 0 0	59 20 20	0	-3.815625 5 5	8.61318392517542e-10
0	0	0 0 0	60 20 20	0	-3.8125 5 5	1.95630511254732e-10
0	0	0 0 0	61 20 20	0	-3.809375 5 5	-6.65834027975163e-10
0	0	0 0 0	62 20 20	0	-3.80625 5 5	-9.60588938287452e-10
0	0	0 0 0	63 20 20	0	-3.803125 5 5	1.06530328645882e-09
0	0	0 0 0	64 20 20	0	-3.8 5 5	7.18404977569304e-11
0	0	0 0 0	65 20 20	0	-3.796875 5 5	-4.32374985471953e-10
0	0	0 0 0	66 20 20	0	-3.79375 5 5	-6.6494092834825e-11
0	0	0 0 0	67 20 20	0	-3.790625 5 5	4.8261614979934e-10
0	0	0 0 0	68 20 20	0	-3.7875 5 5	-4.63091240518693e-10
0	0	0 0 0	69 20 20	0	-3.784375 5 5	2.98850490591828e-10
0	0	0 0 0	70 20 20	0	-3.78125 5 5	1.753391949184e-10
0	0	0 0 0	71 20 20	0	-3.778125 5 5	-6.05095560070041e-10
0	0	0 0 0	72 20 20	0	-3.775 5 5	7.01944097319967e-10
0	0	0 0 0	73 20 20	0	-3.771875 5 5	-6.30953572951286e-10
0	0	0 0 0	74 20 20	0	-3.76875 5 5	-1.82174541751623e-10
0	0	0 0 0	75 20 20	0	-3.765625 5 5	1.05664142065141e-09
0	0	0 0 0	76 20 20	0	-3.7625 5 5	-2.68912440509343e-10
0	0	0 0 0	77 20 20	0	-3.759375 5 5	-1.95284782837863e-10
0	0	0 0 0	78 20 20	0	-3.75625 5 5	-9.33372851108657e-10
0	0	0 0 0	79 20 20	0	-3.753125 5 5	7.17543984414548e-10
0	0	0 0 0	80 20 20	0	-3.75 5 5	-5.77881089470567e-10
