# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 20 2016 at 09:43:43+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py/2bh_m1m2_0.47656_py/twopunfar_2bh_m1m2_0.47656_py_40.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	1280 0 20	0	0 4.9375 5	2.66261017087163e-09
0	0	0 0 0	1280 1 20	0	0 4.940625 5	2.66261017087163e-09
0	0	0 0 0	1280 2 20	0	0 4.94375 5	-4.35646139192029e-10
0	0	0 0 0	1280 3 20	0	0 4.946875 5	1.04528788443382e-10
0	0	0 0 0	1280 4 20	0	0 4.95 5	1.97946878293097e-10
0	0	0 0 0	1280 5 20	0	0 4.953125 5	9.49008992941327e-10
0	0	0 0 0	1280 6 20	0	0 4.95625 5	-2.93528662611902e-10
0	0	0 0 0	1280 7 20	0	0 4.959375 5	3.73468157963098e-10
0	0	0 0 0	1280 8 20	0	0 4.9625 5	-1.17482316250658e-09
0	0	0 0 0	1280 9 20	0	0 4.965625 5	1.10234682006058e-09
0	0	0 0 0	1280 10 20	0	0 4.96875 5	-1.04668451672145e-09
0	0	0 0 0	1280 11 20	0	0 4.971875 5	1.14481951963939e-10
0	0	0 0 0	1280 12 20	0	0 4.975 5	9.10268246616017e-11
0	0	0 0 0	1280 13 20	0	0 4.978125 5	-6.01660808698915e-10
0	0	0 0 0	1280 14 20	0	0 4.98125 5	-1.2076822690759e-10
0	0	0 0 0	1280 15 20	0	0 4.984375 5	-8.80894952793275e-11
0	0	0 0 0	1280 16 20	0	0 4.9875 5	3.81068988433627e-10
0	0	0 0 0	1280 17 20	0	0 4.990625 5	-6.30824912769954e-10
0	0	0 0 0	1280 18 20	0	0 4.99375 5	-3.95220575670751e-10
0	0	0 0 0	1280 19 20	0	0 4.996875 5	6.45677096380528e-10
0	0	0 0 0	1280 20 20	0	0 5 5	5.73739951381658e-10
0	0	0 0 0	1280 21 20	0	0 5.003125 5	-1.68828832272145e-10
0	0	0 0 0	1280 22 20	0	0 5.00625 5	-8.44401374319612e-10
0	0	0 0 0	1280 23 20	0	0 5.009375 5	9.70241100427206e-11
0	0	0 0 0	1280 24 20	0	0 5.0125 5	-2.96854796471478e-10
0	0	0 0 0	1280 25 20	0	0 5.015625 5	3.35895116981285e-10
0	0	0 0 0	1280 26 20	0	0 5.01875 5	1.25716113411859e-09
0	0	0 0 0	1280 27 20	0	0 5.021875 5	-7.08523179579826e-10
0	0	0 0 0	1280 28 20	0	0 5.025 5	-5.40095838597033e-10
0	0	0 0 0	1280 29 20	0	0 5.028125 5	-7.48282062262287e-10
0	0	0 0 0	1280 30 20	0	0 5.03125 5	-4.46838130912223e-10
0	0	0 0 0	1280 31 20	0	0 5.034375 5	-5.22330316409729e-10
0	0	0 0 0	1280 32 20	0	0 5.0375 5	-6.05523305453914e-10
0	0	0 0 0	1280 33 20	0	0 5.040625 5	1.90318665229441e-10
0	0	0 0 0	1280 34 20	0	0 5.04375 5	-1.68249661171486e-09
0	0	0 0 0	1280 35 20	0	0 5.046875 5	9.45461439712502e-10
0	0	0 0 0	1280 36 20	0	0 5.05 5	9.10816595417279e-11
0	0	0 0 0	1280 37 20	0	0 5.053125 5	1.15450559001236e-10
0	0	0 0 0	1280 38 20	0	0 5.05625 5	1.24066533506136e-09
0	0	0 0 0	1280 39 20	0	0 5.059375 5	1.58992395225994e-09
0	0	0 0 0	1280 40 20	0	0 5.0625 5	1.58992395225994e-09


