# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 20 2016 at 22:07:02+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py/2bh_m1m2_0.47656_py/twopunnear_2bh_m1m2_0.47656_py_70.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 0 20	0	3 0.06875 0.1	0.00136360524527184
0	0	0 0 0	20 1 20	0	3 0.0703125 0.1	0.00136360524527184
0	0	0 0 0	20 2 20	0	3 0.071875 0.1	-6.46302675237501e-07
0	0	0 0 0	20 3 20	0	3 0.0734375 0.1	-5.70248122005448e-07
0	0	0 0 0	20 4 20	0	3 0.075 0.1	-5.02823543753255e-07
0	0	0 0 0	20 5 20	0	3 0.0765625 0.1	-4.43240940749701e-07
0	0	0 0 0	20 6 20	0	3 0.078125 0.1	-3.90956934093883e-07
0	0	0 0 0	20 7 20	0	3 0.0796875 0.1	-3.45187057400938e-07
0	0	0 0 0	20 8 20	0	3 0.08125 0.1	-3.05531707943006e-07
0	0	0 0 0	20 9 20	0	3 0.0828125 0.1	-2.71306322332555e-07
0	0	0 0 0	20 10 20	0	3 0.084375 0.1	-2.4204520445879e-07
0	0	0 0 0	20 11 20	0	3 0.0859375 0.1	-2.17222946118437e-07
0	0	0 0 0	20 12 20	0	3 0.0875 0.1	-1.96314673485886e-07
0	0	0 0 0	20 13 20	0	3 0.0890625 0.1	-1.78953396220462e-07
0	0	0 0 0	20 14 20	0	3 0.090625 0.1	-1.64614977432673e-07
0	0	0 0 0	20 15 20	0	3 0.0921875 0.1	-1.5328832624539e-07
0	0	0 0 0	20 16 20	0	3 0.09375 0.1	-1.44153322838465e-07
0	0	0 0 0	20 17 20	0	3 0.0953125 0.1	-1.37270921436207e-07
0	0	0 0 0	20 18 20	0	3 0.096875 0.1	-1.32046799125249e-07
0	0	0 0 0	20 19 20	0	3 0.0984375 0.1	-1.28514388117017e-07
0	0	0 0 0	20 20 20	0	3 0.1 0.1	-1.26350532557006e-07
0	0	0 0 0	20 21 20	0	3 0.1015625 0.1	-1.25124803051265e-07
0	0	0 0 0	20 22 20	0	3 0.103125 0.1	-1.25050132086975e-07
0	0	0 0 0	20 23 20	0	3 0.1046875 0.1	-1.25656129861505e-07
0	0	0 0 0	20 24 20	0	3 0.10625 0.1	-1.26876460005299e-07
0	0	0 0 0	20 25 20	0	3 0.1078125 0.1	-1.28672672213351e-07
0	0	0 0 0	20 26 20	0	3 0.109375 0.1	-1.30584448055152e-07
0	0	0 0 0	20 27 20	0	3 0.1109375 0.1	-1.32998751667217e-07
0	0	0 0 0	20 28 20	0	3 0.1125 0.1	-1.35452927435206e-07
0	0	0 0 0	20 29 20	0	3 0.1140625 0.1	-1.38153588316765e-07
0	0	0 0 0	20 30 20	0	3 0.115625 0.1	-1.40821567395748e-07
0	0	0 0 0	20 31 20	0	3 0.1171875 0.1	-1.43488645963728e-07
0	0	0 0 0	20 32 20	0	3 0.11875 0.1	-1.45929574636456e-07
0	0	0 0 0	20 33 20	0	3 0.1203125 0.1	-1.48485760429872e-07
0	0	0 0 0	20 34 20	0	3 0.121875 0.1	-1.50682683519501e-07
0	0	0 0 0	20 35 20	0	3 0.1234375 0.1	-1.52891842450376e-07
0	0	0 0 0	20 36 20	0	3 0.125 0.1	-1.54842295074439e-07
0	0	0 0 0	20 37 20	0	3 0.1265625 0.1	-1.56564596945005e-07
0	0	0 0 0	20 38 20	0	3 0.128125 0.1	-1.58278086371741e-07
0	0	0 0 0	20 39 20	0	3 0.1296875 0.1	0.000639939884710828
0	0	0 0 0	20 40 20	0	3 0.13125 0.1	0.000639939884710828


