# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 21 2016 at 08:04:58+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py/2bh_m1m2_0.47656_py0.2245/manybhnear_2bh_m1m2_0.47656_py0.2245_32x33x41.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	10 10 0	0	3 0.1 0.06875	0.00522863687414846
0	0	0 0 0	10 10 1	0	3 0.1 0.071875	0.00522863687414846
0	0	0 0 0	10 10 2	0	3 0.1 0.075	-7.76580311705275e-06
0	0	0 0 0	10 10 3	0	3 0.1 0.078125	-6.04163218395799e-06
0	0	0 0 0	10 10 4	0	3 0.1 0.08125	-4.72693583270303e-06
0	0	0 0 0	10 10 5	0	3 0.1 0.084375	-3.7496297934838e-06
0	0	0 0 0	10 10 6	0	3 0.1 0.0875	-3.04586868206391e-06
0	0	0 0 0	10 10 7	0	3 0.1 0.090625	-2.5599317502057e-06
0	0	0 0 0	10 10 8	0	3 0.1 0.09375	-2.2442147797324e-06
0	0	0 0 0	10 10 9	0	3 0.1 0.096875	-2.05836740350355e-06
0	0	0 0 0	10 10 10	0	3 0.1 0.1	-1.9690475979578e-06
0	0	0 0 0	10 10 11	0	3 0.1 0.103125	-1.94875401044077e-06
0	0	0 0 0	10 10 12	0	3 0.1 0.10625	-1.97557957814631e-06
0	0	0 0 0	10 10 13	0	3 0.1 0.109375	-2.03206745733216e-06
0	0	0 0 0	10 10 14	0	3 0.1 0.1125	-2.10465249325751e-06
0	0	0 0 0	10 10 15	0	3 0.1 0.115625	-2.18308586621974e-06
0	0	0 0 0	10 10 16	0	3 0.1 0.11875	-2.25986937092866e-06
0	0	0 0 0	10 10 17	0	3 0.1 0.121875	-2.32961767390825e-06
0	0	0 0 0	10 10 18	0	3 0.1 0.125	-2.38872965276603e-06
0	0	0 0 0	10 10 19	0	3 0.1 0.128125	0.0025451629823335
0	0	0 0 0	10 10 20	0	3 0.1 0.13125	0.0025451629823335


