# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 21 2016 at 07:33:38+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py/2bh_m1m2_0.47656_py0.2245/manybhnear_2bh_m1m2_0.47656_py0.2245_4x5x9.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 10 10	0	2.96875 0.1 0.1	0.00423940334880391
0	0	0 0 0	1 10 10	0	2.971875 0.1 0.1	0.00423940334880391
0	0	0 0 0	2 10 10	0	2.975 0.1 0.1	2.99042983312701e-06
0	0	0 0 0	3 10 10	0	2.978125 0.1 0.1	2.10037818757294e-06
0	0	0 0 0	4 10 10	0	2.98125 0.1 0.1	1.26406940365639e-06
0	0	0 0 0	5 10 10	0	2.984375 0.1 0.1	4.99123088679165e-07
0	0	0 0 0	6 10 10	0	2.9875 0.1 0.1	-1.78147026614825e-07
0	0	0 0 0	7 10 10	0	2.990625 0.1 0.1	-7.53612515697055e-07
0	0	0 0 0	8 10 10	0	2.99375 0.1 0.1	-1.21568648874838e-06
0	0	0 0 0	9 10 10	0	2.996875 0.1 0.1	-1.5557628911568e-06
0	0	0 0 0	10 10 10	0	3 0.1 0.1	-1.76877913982219e-06
0	0	0 0 0	11 10 10	0	3.003125 0.1 0.1	-1.85311365313769e-06
0	0	0 0 0	12 10 10	0	3.00625 0.1 0.1	-1.81108859864665e-06
0	0	0 0 0	13 10 10	0	3.009375 0.1 0.1	-1.64841048432875e-06
0	0	0 0 0	14 10 10	0	3.0125 0.1 0.1	-1.37433206800347e-06
0	0	0 0 0	15 10 10	0	3.015625 0.1 0.1	-1.00115743972666e-06
0	0	0 0 0	16 10 10	0	3.01875 0.1 0.1	-5.43673312634364e-07
0	0	0 0 0	17 10 10	0	3.021875 0.1 0.1	-1.87817827922154e-08
0	0	0 0 0	18 10 10	0	3.025 0.1 0.1	5.55261310022405e-07
0	0	0 0 0	19 10 10	0	3.028125 0.1 0.1	0.00423883616439009
0	0	0 0 0	20 10 10	0	3.03125 0.1 0.1	0.00423883616439009


