# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 18 2016 at 19:55:49+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py_sx/manybhfar_2bh_m1m2_0.47656_py_sx_12x13x17.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	-4 5 5	3.14288130948673e-05
0	0	0 0 0	1 20 20	0	-3.996875 5 5	3.14288130948673e-05
0	0	0 0 0	2 20 20	0	-3.99375 5 5	3.1436832793414e-05
0	0	0 0 0	3 20 20	0	-3.990625 5 5	3.14468977574219e-05
0	0	0 0 0	4 20 20	0	-3.9875 5 5	3.14571158886984e-05
0	0	0 0 0	5 20 20	0	-3.984375 5 5	3.14672064492256e-05
0	0	0 0 0	6 20 20	0	-3.98125 5 5	3.14773034384727e-05
0	0	0 0 0	7 20 20	0	-3.978125 5 5	3.14870987460546e-05
0	0	0 0 0	8 20 20	0	-3.975 5 5	3.14965330588359e-05
0	0	0 0 0	9 20 20	0	-3.971875 5 5	3.15072043465172e-05
0	0	0 0 0	10 20 20	0	-3.96875 5 5	3.15162910820688e-05
0	0	0 0 0	11 20 20	0	-3.965625 5 5	3.15264679340195e-05
0	0	0 0 0	12 20 20	0	-3.9625 5 5	3.15357704281917e-05
0	0	0 0 0	13 20 20	0	-3.959375 5 5	3.15451883855495e-05
0	0	0 0 0	14 20 20	0	-3.95625 5 5	3.15553243631586e-05
0	0	0 0 0	15 20 20	0	-3.953125 5 5	3.15646292919275e-05
0	0	0 0 0	16 20 20	0	-3.95 5 5	3.15736786683301e-05
0	0	0 0 0	17 20 20	0	-3.946875 5 5	3.1583791581428e-05
0	0	0 0 0	18 20 20	0	-3.94375 5 5	3.15930617028919e-05
0	0	0 0 0	19 20 20	0	-3.940625 5 5	3.16024497736804e-05
0	0	0 0 0	20 20 20	0	-3.9375 5 5	3.16116485789809e-05
0	0	0 0 0	21 20 20	0	-3.934375 5 5	3.16206541742709e-05
0	0	0 0 0	22 20 20	0	-3.93125 5 5	3.16298480508728e-05
0	0	0 0 0	23 20 20	0	-3.928125 5 5	3.16391708965409e-05
0	0	0 0 0	24 20 20	0	-3.925 5 5	3.16483984010061e-05
0	0	0 0 0	25 20 20	0	-3.921875 5 5	3.16575265700677e-05
0	0	0 0 0	26 20 20	0	-3.91875 5 5	3.16663038558487e-05
0	0	0 0 0	27 20 20	0	-3.915625 5 5	3.16750289270316e-05
0	0	0 0 0	28 20 20	0	-3.9125 5 5	3.16842201289896e-05
0	0	0 0 0	29 20 20	0	-3.909375 5 5	3.16933508896303e-05
0	0	0 0 0	30 20 20	0	-3.90625 5 5	3.17023346818901e-05
0	0	0 0 0	31 20 20	0	-3.903125 5 5	3.17103984512687e-05
0	0	0 0 0	32 20 20	0	-3.9 5 5	3.17195713239618e-05
0	0	0 0 0	33 20 20	0	-3.896875 5 5	3.17283107374123e-05
0	0	0 0 0	34 20 20	0	-3.89375 5 5	3.17369424292294e-05
0	0	0 0 0	35 20 20	0	-3.890625 5 5	3.17456271961806e-05
0	0	0 0 0	36 20 20	0	-3.8875 5 5	3.17536475549987e-05
0	0	0 0 0	37 20 20	0	-3.884375 5 5	3.17629752113169e-05
0	0	0 0 0	38 20 20	0	-3.88125 5 5	3.17708900109436e-05
0	0	0 0 0	39 20 20	0	-3.878125 5 5	3.17791165023085e-05
0	0	0 0 0	40 20 20	0	-3.875 5 5	3.17877876090128e-05
0	0	0 0 0	41 20 20	0	-3.871875 5 5	3.17963508753953e-05
0	0	0 0 0	42 20 20	0	-3.86875 5 5	3.18040351945086e-05
0	0	0 0 0	43 20 20	0	-3.865625 5 5	3.18122071162326e-05
0	0	0 0 0	44 20 20	0	-3.8625 5 5	3.1820314543844e-05
0	0	0 0 0	45 20 20	0	-3.859375 5 5	3.18289833924188e-05
0	0	0 0 0	46 20 20	0	-3.85625 5 5	3.18365942443091e-05
0	0	0 0 0	47 20 20	0	-3.853125 5 5	3.18448955518588e-05
0	0	0 0 0	48 20 20	0	-3.85 5 5	3.18528432313345e-05
0	0	0 0 0	49 20 20	0	-3.846875 5 5	3.18607071896072e-05
0	0	0 0 0	50 20 20	0	-3.84375 5 5	3.18689212129165e-05
0	0	0 0 0	51 20 20	0	-3.840625 5 5	3.18765515348609e-05
0	0	0 0 0	52 20 20	0	-3.8375 5 5	3.18843328340986e-05
0	0	0 0 0	53 20 20	0	-3.834375 5 5	3.18920152057458e-05
0	0	0 0 0	54 20 20	0	-3.83125 5 5	3.18997588351978e-05
0	0	0 0 0	55 20 20	0	-3.828125 5 5	3.19074232526263e-05
0	0	0 0 0	56 20 20	0	-3.825 5 5	3.19147316668633e-05
0	0	0 0 0	57 20 20	0	-3.821875 5 5	3.19225269100401e-05
0	0	0 0 0	58 20 20	0	-3.81875 5 5	3.19297948557289e-05
0	0	0 0 0	59 20 20	0	-3.815625 5 5	3.19371325221651e-05
0	0	0 0 0	60 20 20	0	-3.8125 5 5	3.1944836194973e-05
0	0	0 0 0	61 20 20	0	-3.809375 5 5	3.1952329026775e-05
0	0	0 0 0	62 20 20	0	-3.80625 5 5	3.19595528658606e-05
0	0	0 0 0	63 20 20	0	-3.803125 5 5	3.19668313651999e-05
0	0	0 0 0	64 20 20	0	-3.8 5 5	3.1974269791486e-05
0	0	0 0 0	65 20 20	0	-3.796875 5 5	3.19811284350181e-05
0	0	0 0 0	66 20 20	0	-3.79375 5 5	3.19884939549354e-05
0	0	0 0 0	67 20 20	0	-3.790625 5 5	3.19952725670686e-05
0	0	0 0 0	68 20 20	0	-3.7875 5 5	3.20027683123325e-05
0	0	0 0 0	69 20 20	0	-3.784375 5 5	3.20093160270386e-05
0	0	0 0 0	70 20 20	0	-3.78125 5 5	3.20164644281392e-05
0	0	0 0 0	71 20 20	0	-3.778125 5 5	3.20230663169608e-05
0	0	0 0 0	72 20 20	0	-3.775 5 5	3.20303428634628e-05
0	0	0 0 0	73 20 20	0	-3.771875 5 5	3.2036929770151e-05
0	0	0 0 0	74 20 20	0	-3.76875 5 5	3.2043313417753e-05
0	0	0 0 0	75 20 20	0	-3.765625 5 5	3.20505508051465e-05
0	0	0 0 0	76 20 20	0	-3.7625 5 5	3.2057033811688e-05
0	0	0 0 0	77 20 20	0	-3.759375 5 5	3.20635203403121e-05
0	0	0 0 0	78 20 20	0	-3.75625 5 5	3.20698166191169e-05
0	0	0 0 0	79 20 20	0	-3.753125 5 5	3.20769242397385e-05
0	0	0 0 0	80 20 20	0	-3.75 5 5	3.20833453804095e-05
0	0	0 0 0	81 20 20	0	-3.746875 5 5	3.20894570268471e-05
0	0	0 0 0	82 20 20	0	-3.74375 5 5	3.20956630884842e-05
0	0	0 0 0	83 20 20	0	-3.740625 5 5	3.21025298788042e-05
0	0	0 0 0	84 20 20	0	-3.7375 5 5	3.21086152501628e-05
0	0	0 0 0	85 20 20	0	-3.734375 5 5	3.21152184059063e-05
0	0	0 0 0	86 20 20	0	-3.73125 5 5	3.21206538705769e-05
0	0	0 0 0	87 20 20	0	-3.728125 5 5	3.21271967271039e-05
0	0	0 0 0	88 20 20	0	-3.725 5 5	3.21333245063645e-05
0	0	0 0 0	89 20 20	0	-3.721875 5 5	3.21390610997645e-05
0	0	0 0 0	90 20 20	0	-3.71875 5 5	3.21451349602304e-05
0	0	0 0 0	91 20 20	0	-3.715625 5 5	3.21511901983663e-05
0	0	0 0 0	92 20 20	0	-3.7125 5 5	3.2156681604042e-05
0	0	0 0 0	93 20 20	0	-3.709375 5 5	3.21626893536782e-05
0	0	0 0 0	94 20 20	0	-3.70625 5 5	3.21685056968506e-05
0	0	0 0 0	95 20 20	0	-3.703125 5 5	3.21741273582946e-05
0	0	0 0 0	96 20 20	0	-3.7 5 5	3.21800110556777e-05
0	0	0 0 0	97 20 20	0	-3.696875 5 5	3.21857474277061e-05
0	0	0 0 0	98 20 20	0	-3.69375 5 5	3.21916035947008e-05
0	0	0 0 0	99 20 20	0	-3.690625 5 5	3.21967377634572e-05
0	0	0 0 0	100 20 20	0	-3.6875 5 5	3.22023907514661e-05
0	0	0 0 0	101 20 20	0	-3.684375 5 5	3.22080993223736e-05
0	0	0 0 0	102 20 20	0	-3.68125 5 5	3.22131304084211e-05
0	0	0 0 0	103 20 20	0	-3.678125 5 5	3.22190481468823e-05
0	0	0 0 0	104 20 20	0	-3.675 5 5	3.22239577512324e-05
0	0	0 0 0	105 20 20	0	-3.671875 5 5	3.22295309893802e-05
0	0	0 0 0	106 20 20	0	-3.66875 5 5	3.22342250237484e-05
0	0	0 0 0	107 20 20	0	-3.665625 5 5	3.22397107848978e-05
0	0	0 0 0	108 20 20	0	-3.6625 5 5	3.22448509909058e-05
0	0	0 0 0	109 20 20	0	-3.659375 5 5	3.22499393015554e-05
0	0	0 0 0	110 20 20	0	-3.65625 5 5	3.22549725031978e-05
0	0	0 0 0	111 20 20	0	-3.653125 5 5	3.22598664628338e-05
0	0	0 0 0	112 20 20	0	-3.65 5 5	3.22648336989549e-05
0	0	0 0 0	113 20 20	0	-3.646875 5 5	3.22703292223721e-05
0	0	0 0 0	114 20 20	0	-3.64375 5 5	3.22745705852309e-05
0	0	0 0 0	115 20 20	0	-3.640625 5 5	3.22799266330804e-05
0	0	0 0 0	116 20 20	0	-3.6375 5 5	3.22844268434277e-05
0	0	0 0 0	117 20 20	0	-3.634375 5 5	3.22892535635232e-05
0	0	0 0 0	118 20 20	0	-3.63125 5 5	3.22936763449833e-05
0	0	0 0 0	119 20 20	0	-3.628125 5 5	3.22983923128608e-05
0	0	0 0 0	120 20 20	0	-3.625 5 5	3.23030750625615e-05
0	0	0 0 0	121 20 20	0	-3.621875 5 5	3.23075599364074e-05
0	0	0 0 0	122 20 20	0	-3.61875 5 5	3.23116825328296e-05
0	0	0 0 0	123 20 20	0	-3.615625 5 5	3.23163544606118e-05
0	0	0 0 0	124 20 20	0	-3.6125 5 5	3.23210343677422e-05
0	0	0 0 0	125 20 20	0	-3.609375 5 5	3.23253965061212e-05
