# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 19 2016 at 00:59:29+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py_sx/manybhfar_2bh_m1m2_0.47656_py_sx_24x25x33.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	1280 20 0	0	0 5 4.9375	2.5491537111125e-05
0	0	0 0 0	1280 20 1	0	0 5 4.940625	2.5491537111125e-05
0	0	0 0 0	1280 20 2	0	0 5 4.94375	2.54593419554284e-05
0	0	0 0 0	1280 20 3	0	0 5 4.946875	2.54310708743173e-05
0	0	0 0 0	1280 20 4	0	0 5 4.95	2.54029028010642e-05
0	0	0 0 0	1280 20 5	0	0 5 4.953125	2.53740113293849e-05
0	0	0 0 0	1280 20 6	0	0 5 4.95625	2.53456894073086e-05
0	0	0 0 0	1280 20 7	0	0 5 4.959375	2.53176293997733e-05
0	0	0 0 0	1280 20 8	0	0 5 4.9625	2.52893341941009e-05
0	0	0 0 0	1280 20 9	0	0 5 4.965625	2.52615330835163e-05
0	0	0 0 0	1280 20 10	0	0 5 4.96875	2.52329020949752e-05
0	0	0 0 0	1280 20 11	0	0 5 4.971875	2.52044539006719e-05
0	0	0 0 0	1280 20 12	0	0 5 4.975	2.51765885087103e-05
0	0	0 0 0	1280 20 13	0	0 5 4.978125	2.51484294720842e-05
0	0	0 0 0	1280 20 14	0	0 5 4.98125	2.51201397947862e-05
0	0	0 0 0	1280 20 15	0	0 5 4.984375	2.50920248615968e-05
0	0	0 0 0	1280 20 16	0	0 5 4.9875	2.50635377759477e-05
0	0	0 0 0	1280 20 17	0	0 5 4.990625	2.50361929353488e-05
0	0	0 0 0	1280 20 18	0	0 5 4.99375	2.50082821529662e-05
0	0	0 0 0	1280 20 19	0	0 5 4.996875	2.497954116481e-05
0	0	0 0 0	1280 20 20	0	0 5 5	2.49525306806289e-05
0	0	0 0 0	1280 20 21	0	0 5 5.003125	2.49236164414389e-05
0	0	0 0 0	1280 20 22	0	0 5 5.00625	2.48962870098495e-05
0	0	0 0 0	1280 20 23	0	0 5 5.009375	2.48682597347662e-05
0	0	0 0 0	1280 20 24	0	0 5 5.0125	2.48400306146327e-05
0	0	0 0 0	1280 20 25	0	0 5 5.015625	2.48126207328132e-05
0	0	0 0 0	1280 20 26	0	0 5 5.01875	2.47845759664659e-05
0	0	0 0 0	1280 20 27	0	0 5 5.021875	2.47572275483754e-05
0	0	0 0 0	1280 20 28	0	0 5 5.025	2.47291911056555e-05
0	0	0 0 0	1280 20 29	0	0 5 5.028125	2.47014889443882e-05
0	0	0 0 0	1280 20 30	0	0 5 5.03125	2.46737849428044e-05
0	0	0 0 0	1280 20 31	0	0 5 5.034375	2.46463154969737e-05
0	0	0 0 0	1280 20 32	0	0 5 5.0375	2.461828985017e-05
0	0	0 0 0	1280 20 33	0	0 5 5.040625	2.45907087648004e-05
0	0	0 0 0	1280 20 34	0	0 5 5.04375	2.45634029962568e-05
0	0	0 0 0	1280 20 35	0	0 5 5.046875	2.45358438548327e-05
0	0	0 0 0	1280 20 36	0	0 5 5.05	2.45083397043907e-05
0	0	0 0 0	1280 20 37	0	0 5 5.053125	2.44803848255961e-05
0	0	0 0 0	1280 20 38	0	0 5 5.05625	2.44530307345657e-05
0	0	0 0 0	1280 20 39	0	0 5 5.059375	2.44289152019458e-05
0	0	0 0 0	1280 20 40	0	0 5 5.0625	2.44289152019458e-05


