# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 18 2016 at 19:39:32+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py_sx/manybhfar_2bh_m1m2_0.47656_py_sx_8x9x13.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	1280 0 20	0	0 4.9375 5	2.20237346866768e-05
0	0	0 0 0	1280 1 20	0	0 4.940625 5	2.20237346866768e-05
0	0	0 0 0	1280 2 20	0	0 4.94375 5	2.19943663226511e-05
0	0	0 0 0	1280 3 20	0	0 4.946875 5	2.19690528989808e-05
0	0	0 0 0	1280 4 20	0	0 4.95 5	2.19431081886115e-05
0	0	0 0 0	1280 5 20	0	0 4.953125 5	2.19176130678513e-05
0	0	0 0 0	1280 6 20	0	0 4.95625 5	2.18919061363071e-05
0	0	0 0 0	1280 7 20	0	0 4.959375 5	2.1866268003697e-05
0	0	0 0 0	1280 8 20	0	0 4.9625 5	2.1841098021367e-05
0	0	0 0 0	1280 9 20	0	0 4.965625 5	2.18154265776444e-05
0	0	0 0 0	1280 10 20	0	0 4.96875 5	2.17901249669123e-05
0	0	0 0 0	1280 11 20	0	0 4.971875 5	2.17645534301529e-05
0	0	0 0 0	1280 12 20	0	0 4.975 5	2.17393479789785e-05
0	0	0 0 0	1280 13 20	0	0 4.978125 5	2.1713560327318e-05
0	0	0 0 0	1280 14 20	0	0 4.98125 5	2.16892001793812e-05
0	0	0 0 0	1280 15 20	0	0 4.984375 5	2.16636378387586e-05
0	0	0 0 0	1280 16 20	0	0 4.9875 5	2.1638172830665e-05
0	0	0 0 0	1280 17 20	0	0 4.990625 5	2.16132300025116e-05
0	0	0 0 0	1280 18 20	0	0 4.99375 5	2.15880248790782e-05
0	0	0 0 0	1280 19 20	0	0 4.996875 5	2.15630296083314e-05
0	0	0 0 0	1280 20 20	0	0 5 5	2.1538123446944e-05
0	0	0 0 0	1280 21 20	0	0 5.003125 5	2.15129240125994e-05
0	0	0 0 0	1280 22 20	0	0 5.00625 5	2.14885698685569e-05
0	0	0 0 0	1280 23 20	0	0 5.009375 5	2.14631329623728e-05
0	0	0 0 0	1280 24 20	0	0 5.0125 5	2.14379897211649e-05
0	0	0 0 0	1280 25 20	0	0 5.015625 5	2.14137814569161e-05
0	0	0 0 0	1280 26 20	0	0 5.01875 5	2.13886961202458e-05
0	0	0 0 0	1280 27 20	0	0 5.021875 5	2.13641604911011e-05
0	0	0 0 0	1280 28 20	0	0 5.025 5	2.13391233661643e-05
0	0	0 0 0	1280 29 20	0	0 5.028125 5	2.13149897647218e-05
0	0	0 0 0	1280 30 20	0	0 5.03125 5	2.12896571157204e-05
0	0	0 0 0	1280 31 20	0	0 5.034375 5	2.12652713985647e-05
0	0	0 0 0	1280 32 20	0	0 5.0375 5	2.12406842380268e-05
0	0	0 0 0	1280 33 20	0	0 5.040625 5	2.12164668242922e-05
0	0	0 0 0	1280 34 20	0	0 5.04375 5	2.11914684832511e-05
0	0	0 0 0	1280 35 20	0	0 5.046875 5	2.11671939216424e-05
0	0	0 0 0	1280 36 20	0	0 5.05 5	2.11425876252646e-05
0	0	0 0 0	1280 37 20	0	0 5.053125 5	2.11183895606726e-05
0	0	0 0 0	1280 38 20	0	0 5.05625 5	2.10936864673959e-05
0	0	0 0 0	1280 39 20	0	0 5.059375 5	2.10731018271837e-05
0	0	0 0 0	1280 40 20	0	0 5.0625 5	2.10731018271837e-05


