# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 18 2016 at 22:50:21+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py_sx/manybhmid_2bh_m1m2_0.47656_py_sx_24x25x33.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 4 4	0	-2 0 0	0.000161552420276349
0	0	0 0 0	1 4 4	0	-1.996875 0 0	0.000161552420276349
0	0	0 0 0	2 4 4	0	-1.99375 0 0	0.000162786656636533
0	0	0 0 0	3 4 4	0	-1.990625 0 0	0.00016256337714099
0	0	0 0 0	4 4 4	0	-1.9875 0 0	0.000162338363496608
0	0	0 0 0	5 4 4	0	-1.984375 0 0	0.000162111821173219
0	0	0 0 0	6 4 4	0	-1.98125 0 0	0.000161883604678033
0	0	0 0 0	7 4 4	0	-1.978125 0 0	0.00016165382579906
0	0	0 0 0	8 4 4	0	-1.975 0 0	0.000161422618237434
0	0	0 0 0	9 4 4	0	-1.971875 0 0	0.000161189907180289
0	0	0 0 0	10 4 4	0	-1.96875 0 0	0.000160955666051949
0	0	0 0 0	11 4 4	0	-1.965625 0 0	0.000160720049665223
0	0	0 0 0	12 4 4	0	-1.9625 0 0	0.000160482994533392
0	0	0 0 0	13 4 4	0	-1.959375 0 0	0.000160244558258786
0	0	0 0 0	14 4 4	0	-1.95625 0 0	0.000160004796925907
0	0	0 0 0	15 4 4	0	-1.953125 0 0	0.000159763696230311
0	0	0 0 0	16 4 4	0	-1.95 0 0	0.000159521387559058
0	0	0 0 0	17 4 4	0	-1.946875 0 0	0.000159277634615502
0	0	0 0 0	18 4 4	0	-1.94375 0 0	0.000159032784916775
0	0	0 0 0	19 4 4	0	-1.940625 0 0	0.00015878670465602
0	0	0 0 0	20 4 4	0	-1.9375 0 0	0.000158539343111854
0	0	0 0 0	21 4 4	0	-1.934375 0 0	0.000158290916719641
0	0	0 0 0	22 4 4	0	-1.93125 0 0	0.000158041385151209
0	0	0 0 0	23 4 4	0	-1.928125 0 0	0.000157790629811791
0	0	0 0 0	24 4 4	0	-1.925 0 0	0.000157538882692096
0	0	0 0 0	25 4 4	0	-1.921875 0 0	0.00015728612341133
0	0	0 0 0	26 4 4	0	-1.91875 0 0	0.000157032152666772
0	0	0 0 0	27 4 4	0	-1.915625 0 0	0.000156777293353981
0	0	0 0 0	28 4 4	0	-1.9125 0 0	0.000156521485746977
0	0	0 0 0	29 4 4	0	-1.909375 0 0	0.000156264627527259
0	0	0 0 0	30 4 4	0	-1.90625 0 0	0.000156006922740628
0	0	0 0 0	31 4 4	0	-1.903125 0 0	0.000155748241488684
0	0	0 0 0	32 4 4	0	-1.9 0 0	0.000155488662211703
0	0	0 0 0	33 4 4	0	-1.896875 0 0	0.000155228251192809
0	0	0 0 0	34 4 4	0	-1.89375 0 0	0.000154966930931006
0	0	0 0 0	35 4 4	0	-1.890625 0 0	0.00015470486087014
0	0	0 0 0	36 4 4	0	-1.8875 0 0	0.000154441981489555
0	0	0 0 0	37 4 4	0	-1.884375 0 0	0.000154178265864616
0	0	0 0 0	38 4 4	0	-1.88125 0 0	0.000153913863081514
0	0	0 0 0	39 4 4	0	-1.878125 0 0	0.000153648621143238
0	0	0 0 0	40 4 4	0	-1.875 0 0	0.000153382830999718
